		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
		"DOTA_Tooltip_ability_solunia_rune_q_4"								"[Q4] Mercuria"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_Description"					"Увеличивает урон <font color=ELEMENT_FIRE>Огня</font>, когда Герой в Солнечной форме, и урон <font color=ELEMENT_ICE>Льда</font>, когда Герой в Лунной форме."
    	"DOTA_Tooltip_ability_solunia_rune_q_4_property_one"				"Элемент <font color=ELEMENT_FIRE>Огня</font> или <font color=ELEMENT_ICE>Льда</font>"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_suffix"						"%"
		
		"DOTA_Tooltip_ability_solunia_boomerang_solar"								"Соларанг"
    	"DOTA_Tooltip_ability_solunia_boomerang_solar_Description"					"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_NORMAL>Нормальный</font><br>Солуния использует свои Соларанги в качестве метательного оружия. Пролетая и возвращаясь к герою, Соларанги наносят урон при попадании по противнику (интервал обнаружения цели 0.2 сек). Урон Атаки героя добавляется к урону Лунарангов."
    	"DOTA_Tooltip_ability_solunia_boomerang_solar_max_boomerangs"				"МАКСИМУМ ЛУНАРАНГОВ:"
    	"DOTA_Tooltip_ability_solunia_boomerang_solar_damage"						"УРОН:"
        "DOTA_Tooltip_ability_solunia_boomerang_solar_atk_power_added_to_dmg"       "% УРОН АТАКИ ГЕРОЯ В УРОН ЛУНАРАНГОВ:"

    	"DOTA_Tooltip_modifier_boomerang_counter_solar"							"Счетчик Соларангов"
    	"DOTA_Tooltip_modifier_boomerang_counter_lunar"							"Счетчик Лунарангов"
        "DOTA_Tooltip_modifier_boomerang_counter_galactic"                         "Счетчик Галактических Чакрамов"

    	"DOTA_Tooltip_ability_solunia_boomerang_lunar"								"Лунаранг"
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_Description"					"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_NORMAL>Нормальный</font><br>Солуния использует свои Лунаранги в качестве метательного оружия. Пролетая и возвращаясь к герою, Лунаранги наносят урон при попадании по противнику (интервал обнаружения цели 0.2 сек). Урон Атаки героя добавляется к урону Лунарангов."
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_max_boomerangs"				"МАКСИМУМ ЛУНАРАНГОВ:"
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_damage"						"УРОН:"
        "DOTA_Tooltip_ability_solunia_boomerang_lunar_atk_power_added_to_dmg"       "% УРОН АТАКИ ГЕРОЯ В УРОН ЛУНАРАНГОВ:"

        "DOTA_Tooltip_ability_solunia_boomerang_galactic"                              "Галактический Чакрам"
        "DOTA_Tooltip_ability_solunia_boomerang_galactic_Description"                  "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_NORMAL>Нормальный</font><br>Солуния использует Галактические Чакрамы в качестве метательного оружия. Пролетая и возвращаясь к герою, Чакрамы наносят урон при попадании по противнику (интервал обнаружения цели 0.2 сек). Урон Атаки героя добавляется к урону Чакрамов."
        "DOTA_Tooltip_ability_solunia_boomerang_galactic_max_boomerangs"               "МАКСИМУМ ЧАКРАМОВ:"
        "DOTA_Tooltip_ability_solunia_boomerang_galactic_damage"                       "УРОН:"
        "DOTA_Tooltip_ability_solunia_boomerang_galactic_atk_power_added_to_dmg"       "% УРОН АТАКИ ГЕРОЯ В УРОН ЧАКРАМОВ:"
		
		"DOTA_Tooltip_ability_solunia_rune_w_1"                             "[W1] Razor Blades"
        "DOTA_Tooltip_ability_solunia_rune_w_1_Description"                 "@Ability2 получает шанс <% SOLUNIA_W1_CRIT_CHANCE %>% нанести критический урон."
        "DOTA_Tooltip_ability_solunia_rune_w_1_property_one"                "Дополнительный Критический Урон"
        "DOTA_Tooltip_ability_solunia_rune_w_1_suffix"                      "%"
		
		"DOTA_Tooltip_ability_solunia_rune_w_2"								"[W2] Galaxy Nitro"
    	"DOTA_Tooltip_ability_solunia_rune_w_2_Description"					"Прочтение @Ability3 создает взрыв вокруг всех летящих бумерангов, нанося урон в радиусе <% SOLUNIA_W2_RADIUS %>, в зависимости от урона самого бумеранга. Взрывы могут получать критический бонус от [W1]."
    	"DOTA_Tooltip_ability_solunia_rune_w_2_property_one"				"Урон Взрыва"
    	"DOTA_Tooltip_ability_solunia_rune_w_2_suffix"						"% от урона бумеранга"	
		
		"DOTA_Tooltip_ability_solunia_rune_w_3"								"[W3] Ricochet"
    	"DOTA_Tooltip_ability_solunia_rune_w_3_Description"					"Соларанги и Лунаранги имеют уменьшенную точку каста и большую дальность применения."
    	"DOTA_Tooltip_ability_solunia_rune_w_3_property_one"				"Увеличение Дальности"
    	"DOTA_Tooltip_ability_solunia_rune_w_3_suffix"						""
        "DOTA_Tooltip_ability_solunia_rune_w_3_property_two"                "Уменьшение Точки Каста"
        "DOTA_Tooltip_ability_solunia_rune_w_3_suffix_two"                  "%"
		
		"DOTA_Tooltip_ability_solunia_rune_w_4"								"[W4] Fortuna"
    	"DOTA_Tooltip_ability_solunia_rune_w_4_Description"					"Каждый летящий Соларанг увеличивает Пробитие Брони, каждый Лунаранг - Пробитие Магической Защиты."
    	"DOTA_Tooltip_ability_solunia_rune_w_4_property_one"				"Увеличение Пробития"
    	"DOTA_Tooltip_ability_solunia_rune_w_4_suffix"						" за бумеранг"
		
		"DOTA_Tooltip_ability_solunia_warp_flare_solar"							"Solar Warp Flare"
    	"DOTA_Tooltip_ability_solunia_warp_flare_solar_Description"				"Перелетает в точку над указанной областью. Может быть использовано до 3 раз подряд перед перезарядкой."
    	"DOTA_Tooltip_ability_solunia_warp_flare_solar_cast_range"				"ДАЛЬНОСТЬ ПОЛЁТА:"

    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar"						    "Lunar Warp Flare"
    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar_Description"				"Перелетает в точку над указанной областью. Может быть использовано до 3 раз подряд перед перезарядкой."
    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar_cast_range"				"ДАЛЬНОСТЬ ПОЛЁТА:"

        "DOTA_Tooltip_ability_solunia_warp_flare_galactic"                         "Galactic Warp Flare"
        "DOTA_Tooltip_ability_solunia_warp_flare_galactic_Description"             "Перелетает в точку над указанной областью. Может быть использовано до 3 раз подряд перед перезарядкой."
        "DOTA_Tooltip_ability_solunia_warp_flare_galactic_cast_range"              "ДАЛЬНОСТЬ ПОЛЁТА:"

    	"DOTA_Tooltip_modifier_solunia_in_between_flare"					"Warp Flare"
		
		"DOTA_Tooltip_ability_solunia_rune_e_1"								"[E1] Nova Shield"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_Description"					"Во время перемещения в @Ability3, Солуния получает щит, увеличивающий Регенерацию Здоровья, Броню и Магическую Защиту."
    	"DOTA_Tooltip_ability_solunia_rune_e_1_property_one"				"Регенерация Здоровья"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_e_1_property_two"				"Броня и Маг. Защита"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_suffix_two"					""	

    	"DOTA_Tooltip_modifier_solunia_warp_flare_e1"                      "Nova Shield"
        "DOTA_Tooltip_modifier_solunia_warp_flare_e1_Description"          "Увеличивает Регенерацию Здоровья, Броню и Магическую Защиту" 
		
		"DOTA_Tooltip_ability_solunia_rune_e_2"								"[E2] Warp Core"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_Description"					"При полном прочтении @Ability3 Солуния создает Warp Core, деформированное пространство, к котором противники теряют Скорость Перемещения, Броню в Солнечных Warp Core и Магическую Защиту в Лунных Warp Core."
    	"DOTA_Tooltip_ability_solunia_rune_e_2_property_one"				"Замедление Перемещения"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_e_2_property_two"				"Потеря Брони (Солнечные) или Магической Защиты (Лунные)"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_suffix_two"					""

        "DOTA_Tooltip_modifier_solunia_warp_flare_e2_debuff"                "Warp Core"
        "DOTA_Tooltip_modifier_solunia_warp_flare_e2_debuff_Description"    "Противники теряют Скорость Перемещения, Броню в Солнечных Warp Core и Магическую Защиту в Лунных Warp Core."
		
		"DOTA_Tooltip_ability_solunia_rune_e_3"								"[E3] Hydrogen"
    	"DOTA_Tooltip_ability_solunia_rune_e_3_Description"					"Запас Максимального Здоровья героя увеличивается."
    	"DOTA_Tooltip_ability_solunia_rune_e_3_property_one"				"Запас Здоровья"
    	"DOTA_Tooltip_ability_solunia_rune_e_3_suffix"						""
		
		"DOTA_Tooltip_ability_solunia_rune_e_4"								"[E4] Transimission"
    	"DOTA_Tooltip_ability_solunia_rune_e_4_Description"					"Увеличивает Дальность Перемещения и Скорость Перемещения @Ability3."
    	"DOTA_Tooltip_ability_solunia_rune_e_4_property_one"				"Дальность Перемещения"
    	"DOTA_Tooltip_ability_solunia_rune_e_4_suffix"						""
        "DOTA_Tooltip_ability_solunia_rune_e_4_property_two"                "Скорость Перемещения [E]"
        "DOTA_Tooltip_ability_solunia_rune_e_4_suffix_two"                  "%"
		
		"DOTA_Tooltip_ability_solunia_supernova_solar"							"Supernova"
    	"DOTA_Tooltip_ability_solunia_supernova_solar_Description"				"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Солуния нагревается и взрывается, совершая переход в Лунное состояние. Урон от взрыва увеличивается от всех атрибутов героя. При расстоянии в <% SOLUNIA_R_HEIGHT_FOR_ATTACK_IMMUNE %> от поверхности и более, Солуния не может быть атакована и иммунна к магическому урону, пока она произносит Supernova."
    	"DOTA_Tooltip_ability_solunia_supernova_solar_damage"						"УРОН:"
    	"DOTA_Tooltip_ability_solunia_supernova_solar_stun_duration"				"ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_supernova_solar_all_attributes_damage"              "ДОПОЛНИТЕЛЬНЫЙ УРОН, МНОЖИТЕЛЬ ОТ АТРИБУТОВ:"

    	"DOTA_Tooltip_ability_solunia_supernova_lunar"								"Eclipse"
    	"DOTA_Tooltip_ability_solunia_supernova_lunar_Description"					"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Солуния остужается и взрывается, совершая переход в Солнечное состояние. Урон от взрыва увеличивается от всех атрибутов героя. При расстоянии в <% SOLUNIA_R_HEIGHT_FOR_ATTACK_IMMUNE %> от поверхности и более, Солуния не может быть атакована и иммунна к магическому урону, пока она произносит Eclipse."
    	"DOTA_Tooltip_ability_solunia_supernova_lunar_damage"						"УРОН:"
    	"DOTA_Tooltip_ability_solunia_supernova_lunar_stun_duration"				"ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_supernova_lunar_all_attributes_damage"              "ДОПОЛНИТЕЛЬНЫЙ УРОН, МНОЖИТЕЛЬ ОТ АТРИБУТОВ:"
		
		"DOTA_Tooltip_ability_solunia_rune_r_1"								"[R1] Rebirth"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_Description"					"Базовый Урон Способности [R] повышается, а при переходе между Лунным и Солнечным состояниями понижаются все текущие значения перезарядки."
    	"DOTA_Tooltip_ability_solunia_rune_r_1_property_one"				"Снижение Текущих Перезарядок"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_suffix"						" сек"	
        "DOTA_Tooltip_ability_solunia_rune_r_1_property_two"                "Базовый Урон Способности [R]"
        "DOTA_Tooltip_ability_solunia_rune_r_1_suffix_two"                  "%"         
		
		"DOTA_Tooltip_ability_solunia_rune_r_2"								"[R2] Cluster Fire"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_Description"					"Противники, задетые взрывами @Ability4 загораются и получают урон каждые 0.5 сек в течение <% SOLUNIA_R2_DUAL_BURN_DURATION %> сек, основанный на уроне @Ability4. Если цель горит от Лунного и Солнечного взрывов одновременно, оба горения наносят повышенный урон в <% SOLUNIA_R2_DUAL_BURN_MULT %>x."
    	"DOTA_Tooltip_ability_solunia_rune_r_2_property_one"				"Урон Горения"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_suffix"						"% от урона взрывов"

    	"DOTA_Tooltip_modifier_solunia_r2_dual_burn_solar"					"Cluster Fire - Solar"
    	"DOTA_Tooltip_modifier_solunia_r2_dual_burn_lunar"					"Cluster Fire - Lunar"
		
		"DOTA_Tooltip_ability_solunia_rune_r_3"								"[R3] Gravitron"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_Description"					"В Солнечной фазе герой получает дополнительную Ловкость, в Лунной фазе - дополнительный Интеллект."
    	"DOTA_Tooltip_ability_solunia_rune_r_3_property_one"				"Бонус Ловкости или Интеллекта"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_suffix"						""	
		
		"DOTA_Tooltip_ability_solunia_rune_r_4"								"[R4] Equinox"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_Description"					"Перезарядка @Ability4 снижается, урон элемента <font color=ELEMENT_COSMOS>Космос</font> повышается."
    	"DOTA_Tooltip_ability_solunia_rune_r_4_property_one"				"Снижение перезарядки [R]"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_suffix"						" сек"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_property_two"				"Урон Космоса"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_suffix_two"					"%"
		
		//Arcanas
		"item_property_solunia_arcana1"										"Solar & Lunar Comet"
    	"property_solunia_arcana1_description"								"Заменяет @Ability1 и все соответствующие руны на Solar & Lunar Comet."

    	"DOTA_Tooltip_ability_solunia_comet_solar"								"Solar Comet"
    	"DOTA_Tooltip_ability_solunia_comet_solar_Description"					"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>На выбранное место падает огненная комета, которая оглушает противников и наносит урон. Ловкость повышает урон кометы. Кометы не имеют перезарядки, но количество использований ограничено и может быть восстановлено только при использовании [R]."
    	"DOTA_Tooltip_ability_solunia_comet_solar_damage"						"УРОН:"
    	"DOTA_Tooltip_ability_solunia_comet_solar_stun_duration"					"ОГЛУШЕНИЕ, СЕК:"
    	"DOTA_Tooltip_ability_solunia_comet_solar_damage_add_agility"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ЛОВКОСТИ:"
        "DOTA_Tooltip_ability_solunia_comet_solar_max_charges"              "ДОСТУПНО ИСПОЛЬЗОВАНИЙ:"


    	"DOTA_Tooltip_ability_solunia_comet_lunar"								"Lunar Comet"
    	"DOTA_Tooltip_ability_solunia_comet_lunar_Description"					"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_ICE>Лёд</font><br>На выбранное место падает ледяная комета, которая оглушает противников и наносит урон. Интеллект повышает урон кометы. Кометы не имеют перезарядки, но количество использований ограничено и может быть восстановлено только при использовании [R]."
    	"DOTA_Tooltip_ability_solunia_comet_lunar_damage"						"УРОН:"
    	"DOTA_Tooltip_ability_solunia_comet_lunar_stun_duration"					"ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_comet_lunar_damage_add_intelligence"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ИНТЕЛЛЕКТА:"
        "DOTA_Tooltip_ability_solunia_comet_lunar_max_charges"              	"ДОСТУПНО ИСПОЛЬЗОВАНИЙ:"

        "DOTA_Tooltip_ability_solunia_comet_galactic"                              "Galactic Comet"
        "DOTA_Tooltip_ability_solunia_comet_galactic_Description"                  "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_ICE>Лёд</font><br>На выбранное место падает галактическая комета, которая оглушает противников и наносит урон. Интеллект и Ловкость повышают урон кометы. Кометы не имеют перезарядки, но количество использований ограничено и может быть восстановлено только при использовании [R]."
        "DOTA_Tooltip_ability_solunia_comet_galactic_damage"                       "УРОН:"
        "DOTA_Tooltip_ability_solunia_comet_galactic_stun_duration"                    "ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_comet_galactic_damage_add_agility"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ЛОВКОСТИ:"
        "DOTA_Tooltip_ability_solunia_comet_galactic_damage_add_intelligence"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ИНТЕЛЛЕКТА:"
        "DOTA_Tooltip_ability_solunia_comet_galactic_max_charges"              "ДОСТУПНО ИСПОЛЬЗОВАНИЙ:"

        "DOTA_Tooltip_modifier_solunia_arcana_q_charges"                    "Заряды Кометы"

    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1"						"[Q1] Ultraviolet"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_Description"			"Попадание кометы по противнику увеличивает Регенерацию Маны и Урон Атаки на <% SOLUNIA_ARCANA1_Q1_DURATION %> сек."
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_property_one"			"Регенерация Маны"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_suffix"					"" 
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_property_two"			"Бонусный Урон Атаки"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_suffix_two"				"%" 

    	"DOTA_Tooltip_modifier_solunia_ultraviolet"							"Ultraviolet"
    	"DOTA_Tooltip_modifier_solunia_ultraviolet_Description"				"Увеличение Регенерации Маны и Бонусного Урона Атаки %%"	

    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1"							"[Q2] Gamma Blaze"
        "DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_Description"              "Добавляет затраты Маны к @Ability1 и увеличивает урон этой способности в зависимости от затрат маны."
        "DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_property_one"             "Увеличение Базового Урона"
        "DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_suffix"                   "x Затраты Маны"   
        "DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_property_two"             "Затраты Маны"
        "DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_suffix_two"               ""
        
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1"							"[Q3] Polythea"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_Description"				"Увеличивает Силу и Дух героя на %."
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_property_one"			"Бонус Силы и Духа"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_suffix"					"%"

    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1"								"[Q4] Mercuria X"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_Description"					"Ловкость увеличивает Базовый Урон Атаки в Солнечной фазе, либо Интеллект дает такой же бонус в Лунной фазе."
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_property_one"				"Базовый Урон Атаки"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_suffix"						" за Атрибут"

       	"item_property_solunia_arcana2"										"Hypernova"
    	"property_solunia_arcana2_description"								"Заменяет @Ability4 и все соответствующие руны на Hypernova."

        "DOTA_Tooltip_ability_solunia_hypernova"                              "Hypernova"
        "DOTA_Tooltip_ability_solunia_hypernova_Description"                  "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Солуния взрывается и обнуляет перезарядки всех остальных способностей. Урон от взрыва увеличивается от всех атрибутов героя. При расстоянии в <% SOLUNIA_R_HEIGHT_FOR_ATTACK_IMMUNE %> от поверхности и более, Солуния не может быть атакована и иммунна к магическому урону, пока она произносит Hypernova."
        "DOTA_Tooltip_ability_solunia_hypernova_damage"                       "УРОН:"
        "DOTA_Tooltip_ability_solunia_hypernova_stun_duration"                "ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_hypernova_all_attributes_damage"              "ДОПОЛНИТЕЛЬНЫЙ УРОН, МНОЖИТЕЛЬ ОТ АТРИБУТОВ:"
	
  		"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2"						"[R1] Warpspeed"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_Description"			"Солуния повышает Скорость Перемещения и Лимит Скорости на <% SOLUNIA_ARCANA_R1_DURATION %> сек после прочтения @Ability4"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_property_one"			"Бонус Скорости Перемещения"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_suffix"					""
     	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_property_two"			"Бонус Лимита Скорости"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_suffix_two"					""

    	"DOTA_Tooltip_modifier_solunia_hypernova_warpspeed"			"Warpspeed"
    	"DOTA_Tooltip_modifier_solunia_hypernova_warpspeed_Description"	"Солуния повышает Скорость Перемещения и Лимит Скорости"

  		"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2"						"[R2] Heat Transfer"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_Description"				"Все Базовые Способности получают шанс нанести урон Чистым типом урона."
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_property_one"			"Шанс"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_suffix"					"%"	

  		"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2"						"[R3] Gravitex"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_Description"			"Все Атрибуты увеличиваются на %"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_property_one"		"Бонус Атрибутов"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_suffix"				"%"

  		"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2"						"[R4] Tellarias"
        "DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_Description"         "Уменьшает перезарядку @Ability4 и увеличивает урон элемента <font color=ELEMENT_COSMOS>Космос</font>."
        "DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_property_one"        "Уменьшение перезарядки [R]"
        "DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_suffix"              " сек"
        "DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_property_two"        "Урон Космоса"
        "DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_suffix_two"          "%"

        //ARCANA 3
        "DOTA_Tooltip_ability_item_rpc_solunia_arcana3"                     "Tellurian Bracers"

        "item_property_solunia_arcana3"                                     "Vorpal Blades"
