		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
    	"DOTA_Tooltip_modifier_boomerang_counter_solar"							"Outbound Solarangs"
    	"DOTA_Tooltip_modifier_boomerang_counter_lunar"							"Outbound Lunarangs"

    	"DOTA_Tooltip_ability_solunia_boomerang_lunar"								"Lunarang"
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_Description"					"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_NORMAL>Normal</font><br>Solunia's weapon is tossed as a boomerang towards the target location. The blade deals damage every 0.2 seconds to all enemies in its razor-sharp spin. Solunia's Attack Power increases the boomerang's damage."
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_max_boomerangs"				"MAX CONCURRENT LUNARANGS:"
    	"DOTA_Tooltip_ability_solunia_boomerang_lunar_damage"						"DAMAGE:"
        "DOTA_Tooltip_ability_solunia_boomerang_lunar_atk_power_added_to_dmg"       "% ATTACK POWER ADDED TO BASE DAMAGE:"
		
		"DOTA_Tooltip_ability_solunia_rune_w_1"                             "[W1] Razor Blades"
        "DOTA_Tooltip_ability_solunia_rune_w_1_Description"                 "Boomerangs have a <% SOLUNIA_W1_CRIT_CHANCE %>% chance to do increased damage."
        "DOTA_Tooltip_ability_solunia_rune_w_1_property_one"                "Additional Critical Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_1_suffix"                      "%"
		
		"DOTA_Tooltip_ability_solunia_rune_w_2"								"[W2] Galaxy Nitro"
    	"DOTA_Tooltip_ability_solunia_rune_w_2_Description"					"Casting @Ability3 creates an explosion around all active boomerangs that deal damage in a <% SOLUNIA_W2_RADIUS %> radius based on the boomerang's damage. The explosions can be critical hits from [W1]."
    	"DOTA_Tooltip_ability_solunia_rune_w_2_property_one"				"Explosion Damage"
    	"DOTA_Tooltip_ability_solunia_rune_w_2_suffix"						"% of base boomerang damage"	
		
		"DOTA_Tooltip_ability_solunia_rune_w_3"								"[W3] Ricochet"
    	"DOTA_Tooltip_ability_solunia_rune_w_3_Description"					"Solarang and Lunarangs have reduced cast point and increased cast range."
    	"DOTA_Tooltip_ability_solunia_rune_w_3_property_one"				"Cast Range Increase"
    	"DOTA_Tooltip_ability_solunia_rune_w_3_suffix"						""
        "DOTA_Tooltip_ability_solunia_rune_w_3_property_two"                "Cast Point Reduction"
        "DOTA_Tooltip_ability_solunia_rune_w_3_suffix_two"                  "%"
		
		"DOTA_Tooltip_ability_solunia_rune_w_4"								"[W4] Fortuna"
    	"DOTA_Tooltip_ability_solunia_rune_w_4_Description"					"Each outstanding Solarang increases Armor Pierce, and each outstanding Lunarang increases Spell Pierce."
    	"DOTA_Tooltip_ability_solunia_rune_w_4_property_one"				"Armor Pierce or Spell Pierce"
    	"DOTA_Tooltip_ability_solunia_rune_w_4_suffix"						" per boomerang"
		
		"DOTA_Tooltip_ability_solunia_warp_flare_solar"							"Solar Warp Flare"
    	"DOTA_Tooltip_ability_solunia_warp_flare_solar_Description"				"Hyperdash towards the target location while climbing space. Can be used 3 times in succession before the cooldown activates."
    	"DOTA_Tooltip_ability_solunia_warp_flare_solar_cast_range"				"MAX WARP DISTANCE:"

    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar"						    "Lunar Warp Flare"
    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar_Description"				"Hyperdash towards the target location while climbing space. Can be used 3 times in succession before the cooldown activates."
    	"DOTA_Tooltip_ability_solunia_warp_flare_lunar_cast_range"				"MAX WARP DISTANCE:"

    	"DOTA_Tooltip_modifier_solunia_in_between_flare"					"Warp Flare"
		
		"DOTA_Tooltip_ability_solunia_rune_e_1"								"[E1] Nova Shield"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_Description"					"During all phases of Warp Flare, Solunia has a shield that increases Health Regen, Armor and Magic Armor."
    	"DOTA_Tooltip_ability_solunia_rune_e_1_property_one"				"Health Regen"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_e_1_property_two"				"Armor and Magic Armor"
    	"DOTA_Tooltip_ability_solunia_rune_e_1_suffix_two"					""	

    	"DOTA_Tooltip_modifier_solunia_warp_flare_e1"                      "Nova Shield"
        "DOTA_Tooltip_modifier_solunia_warp_flare_e1_Description"          "Increased Health Regen, Armor and Magic Armor" 
		
		"DOTA_Tooltip_ability_solunia_rune_e_2"								"[E2] Warp Core"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_Description"					"When Solunia reaches the end of a Warp Flare jump she creates a Warp Core on the ground beneath her that lasts <%SOLUNIA_E2_PAD_DURATION %> seconds. Enemies standing in Warp Core have reduced Movespeed, and Reduced Armor in Solar Cores and Reduced Magic Armor in Lunar Cores."
    	"DOTA_Tooltip_ability_solunia_rune_e_2_property_one"				"Movespeed Slow"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_e_2_property_two"					"Armor (Solar) or Magic Armor (Lunar) Reduction"
    	"DOTA_Tooltip_ability_solunia_rune_e_2_suffix_two"					""

        "DOTA_Tooltip_modifier_solunia_warp_flare_e2_debuff"                "Warp Core"
        "DOTA_Tooltip_modifier_solunia_warp_flare_e2_debuff_Description"    "Reduced Movespeed and Armor (Solar) or Magic Armor (Lunar)"
		
		"DOTA_Tooltip_ability_solunia_rune_e_3"								"[E3] Hydrogen"
    	"DOTA_Tooltip_ability_solunia_rune_e_3_Description"					"Increases Solunia's Max Health."
    	"DOTA_Tooltip_ability_solunia_rune_e_3_property_one"				"Max Health"
    	"DOTA_Tooltip_ability_solunia_rune_e_3_suffix"						""
		
		"DOTA_Tooltip_ability_solunia_rune_e_4"								"[E4] Transimission"
    	"DOTA_Tooltip_ability_solunia_rune_e_4_Description"					"Increases the Warp Range and Travel Speed of Warp Flare."
    	"DOTA_Tooltip_ability_solunia_rune_e_4_property_one"				"Warp Range"
    	"DOTA_Tooltip_ability_solunia_rune_e_4_suffix"						""
        "DOTA_Tooltip_ability_solunia_rune_e_4_property_two"                "Travel Speed"
        "DOTA_Tooltip_ability_solunia_rune_e_4_suffix_two"                  "%"
		
		"DOTA_Tooltip_ability_solunia_supernova"							"Supernova"
    	"DOTA_Tooltip_ability_solunia_supernova_Description"				"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>Solunia heats up and explodes, transferring her energy into the Moon. If over 180 distance above the ground, Solunia is immune while channeling."
    	"DOTA_Tooltip_ability_solunia_supernova_damage"						"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_supernova_stun_duration"				"STUN DURATION:"

    	"DOTA_Tooltip_ability_solunia_eclipse"								"Eclipse"
    	"DOTA_Tooltip_ability_solunia_eclipse_Description"					"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>Solunia cools down and explodes, transferring her energy into the Sun. If over 180 distance above the ground, Solunia is immune while channeling."
    	"DOTA_Tooltip_ability_solunia_eclipse_damage"						"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_eclipse_stun_duration"				"STUN DURATION:"
		
		"DOTA_Tooltip_ability_solunia_rune_r_1"								"[R1] Rebirth"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_Description"					"Supernova and Eclipse restore health and mana on successful cast."
    	"DOTA_Tooltip_ability_solunia_rune_r_1_property_one"				"Health"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_r_1_property_two"				"Mana"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_suffix_two"					""
		
		"DOTA_Tooltip_ability_solunia_rune_r_2"								"[R2] Cluster Fire"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_Description"					"Enemies hit by Supernova and Eclipse take burn damage every second based on the damage taken. If both the Lunar and Solar burns are active at the same time, the fire does increased damage. Enemies can have multiple stacks of the same burn, but each stack has its own duration. Each burn will deal the damage of all stacks in 1 instance. Lasts 8 seconds."
    	"DOTA_Tooltip_ability_solunia_rune_r_2_property_one"				"Burn Damage"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_suffix"						"% of original damage per tick"	
    	"DOTA_Tooltip_ability_solunia_rune_r_2_property_two"				"Dual Burn Amplification"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_suffix_two"					"%"	

    	"DOTA_Tooltip_modifier_modifier_solunia_solar_burn"					"Cluster Fire - Solar"
    	"DOTA_Tooltip_modifier_modifier_solunia_lunar_burn"					"Cluster Fire - Lunar"
		
		"DOTA_Tooltip_ability_solunia_rune_r_3"								"[R3] Gravitron"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_Description"					"Channelling Supernova and Eclipse emits waves that deal attack damage to surrounding enemy and push them. Solar waves push out and lunar waves pull in."
    	"DOTA_Tooltip_ability_solunia_rune_r_3_property_one"				"Wave Damage"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_suffix"						"% of Attack Power"	
    	"DOTA_Tooltip_ability_solunia_rune_r_3_property_two"				"Range"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_suffix_two"					""
		
		"DOTA_Tooltip_ability_solunia_rune_r_4"								"[R4] Equinox"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_Description"					"Reduces the cooldowns of Super Nova and Eclipse and increases their damage based on all attributes."
    	"DOTA_Tooltip_ability_solunia_rune_r_4_property_one"				"Cooldown Reduction"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_suffix"						" seconds"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_property_two"				"Damage Increase"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_suffix_two"					"x all attributes"
		
		//Arcanas
		"item_property_solunia_arcana1"										"Solar & Lunar Comet"
    	"property_solunia_arcana1_description"								"Replaces @Ability1 and all of its runes with Solar & Lunar Comet."

    	"DOTA_Tooltip_ability_solunia_arcana_solar_comet"								"Solar Comet"
    	"DOTA_Tooltip_ability_solunia_arcana_solar_comet_Description"					"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>Drops a firey comet at the target location that stuns and damages targets in an AOE when it comes into contact with earth. Has no cooldown but has a number of charges before needing to reload by switching to Lunar."
    	"DOTA_Tooltip_ability_solunia_arcana_solar_comet_damage"						"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_arcana_solar_comet_stun_duration"					"STUN DURATION:"
    	"DOTA_Tooltip_ability_solunia_arcana_solar_comet_max_charges"					"CHARGES BEFORE RELOAD:"

    	"DOTA_Tooltip_modifier_solar_comet_free_cast"									"Solar Comet Charge"

    	"DOTA_Tooltip_ability_solunia_arcana_lunar_comet"								"Lunar Comet"
    	"DOTA_Tooltip_ability_solunia_arcana_lunar_comet_Description"					"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_ICE>Ice</font><br>Drops an icy comet at the target location that stuns and damages targets in an AOE when it comes into contact with earth. Has no cooldown but has a number of charges before needing to reload by switching to Solar."
    	"DOTA_Tooltip_ability_solunia_arcana_lunar_comet_damage"						"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_arcana_lunar_comet_stun_duration"					"STUN DURATION:"
    	"DOTA_Tooltip_ability_solunia_arcana_lunar_comet_max_charges"					"CHARGES BEFORE RELOAD:"

    	"DOTA_Tooltip_modifier_lunar_comet_free_cast"									"Lunar Comet Charge"

    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1"						"[Q1] Ultraviolet"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_Description"			"Dealing damage massively increases Health Regen and attack damage % for 0.5 seconds."
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_property_one"			"Health Regen after dealing damage"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_suffix"					"" 
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_property_two"			"Attack Damage Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_arcana1_suffix_two"				"%" 

    	"DOTA_Tooltip_modifier_solunia_ultraviolet"							"Ultraviolet"
    	"DOTA_Tooltip_modifier_solunia_ultraviolet_Description"				"Gaining health regen and attack damage %%"	

    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1"							"[Q2] Polythea"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_Description"				"Increases base attack damage by a multiple of current health while in Solar state, or a multiple of missing health while in Lunar State."
    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_property_one"			"Base Attack Damage (Solar)"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_suffix"					" per current HP"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_property_two"			"Base Attack Damage"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_arcana1_suffix_two"				" per missing HP (Lunar)"


    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1"							"[Q3] Compression"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_Description"				"Enemies hit by comets receive a stacking debuff that reduces Armor if Lunar or Magic Armor if Solar for <% SOLUNIA_ARCANA_Q3_DURATION %> seconds. Max 10 stacks and both the lunar and solar debuff can be active at the same time. Additionally a portion of attack damage is added to comet damage."
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_property_one"			"Armor (Lunar) or Magic Armor (Solar) Reduction"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_property_two"			"Attack damage added to comet"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_arcana1_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_lunar_compression_visible"						"Compression"
    	"DOTA_Tooltip_modifier_lunar_compression_visible_Description"			"Reduced Armor."
    	"DOTA_Tooltip_modifier_solar_compression_visible"						"Compression"
    	"DOTA_Tooltip_modifier_solar_compression_visible_Description"			"Reduced Magic Armor."

    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1"								"[Q4] Mercuria X"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_Description"					"Increases all <font color=ELEMENT_COSMOS>Cosmic</font> damage."
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_property_one"				"Cosmic Damage Amp"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_arcana1_suffix"						"%"

       	"item_property_solunia_arcana2"										"Alpha Spark"
    	"property_solunia_arcana2_description"								"Replaces @Ability4 and all of its runes with Solar and Lunar Alpha Spark."

    	"DOTA_Tooltip_ability_solunia_solar_alpha_spark"					"Solar Alpha Spark"				
    	"DOTA_Tooltip_ability_solunia_solar_alpha_spark_Description"		"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>In a flash of cosmic heat, Solunia teleports to the target position and explodes - transferring her energy to Lunar."
    	"DOTA_Tooltip_ability_solunia_solar_alpha_spark_damage"				"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_solar_alpha_spark_stun_duration"		"STUN DURATION:"
    	"DOTA_Tooltip_ability_solunia_solar_alpha_spark_cast_range"			"CAST RANGE:"

    	"DOTA_Tooltip_ability_solunia_lunar_alpha_spark"					"Lunar Alpha Spark"				
    	"DOTA_Tooltip_ability_solunia_lunar_alpha_spark_Description"		"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>In a flash of cosmic heat, Solunia teleports to the target position and explodes - transferring her energy to Solar."
    	"DOTA_Tooltip_ability_solunia_lunar_alpha_spark_damage"				"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_lunar_alpha_spark_stun_duration"		"STUN DURATION:"
    	"DOTA_Tooltip_ability_solunia_lunar_alpha_spark_cast_range"			"CAST RANGE:"
	
  		"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2"						"[R1] Vanguard"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_Description"			"Gain a random amount of Max Health for 20 seconds after casting Alpha Spark"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_property_one"			"Minimum Health Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_suffix"					""
     	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_property_two"			"Maximum Potential Health Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_r_1_arcana2_suffix_two"					""

    	"DOTA_Tooltip_modifier_solunia_arcana_a_d_health_visible"			"Vanguard"
    	"DOTA_Tooltip_modifier_solunia_arcana_a_d_health_visible_Description"	"Increased Max Health"

  		"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2"						"[R2] Heat Transfer"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_Description"				"Gain Spell Pierce while in Solar state, or gain Armor Pierce while in Lunar state."
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_property_one"			"Spell Pierce (Solar)"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_suffix"					""	
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_property_two"			"Armor Pierce (Lunar)"
    	"DOTA_Tooltip_ability_solunia_rune_r_2_arcana2_suffix_two"				""	

  		"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2"						"[R3] Dimension Shell"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_Description"			"For a short duration after casting Alpha Spark, gain a shield that reduces damage taken by <% SOLUNIA_ARCANA2_R3_DAMAGE_REDUCTION_PCT * 100 %>%, and allows unit walking and +100 movespeed."
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_property_one"		"Duration"
    	"DOTA_Tooltip_ability_solunia_rune_r_3_arcana2_suffix"				" seconds"

    	"DOTA_Tooltip_modifier_solunia_c_d_arcana_shell"					"Dimension Shell"
    	"DOTA_Tooltip_modifier_solunia_c_d_arcana_shell_Description"		"Damage taken reduced by <% SOLUNIA_ARCANA2_R3_DAMAGE_REDUCTION_PCT * 100 %>%, +100 movespeed and unit walking."

  		"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2"						"[R4] Tellarias"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_Description"			"Increases all attributes. Increases <font color=ELEMENT_FIRE>Fire</font> damage, <font color=ELEMENT_ICE>Ice</font> damage, and <font color=ELEMENT_COSMOS>Cosmic</font> damage."
    	"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_property_one"		"Elemental Amp"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_suffix"				"%"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_property_two"		"Passive Stat Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_r_4_arcana2_suffix_two"			""

        //ARCANA 3
        "DOTA_Tooltip_ability_item_rpc_solunia_arcana3"                     "Tellurian Bracers"

        "item_property_solunia_arcana3"                                     "Vorpal Blades"
        "property_solunia_arcana3_description"                              "Replaces @Ability2 and all of its runes with Solar and Lunar Vorpal Blades."

        "DOTA_Tooltip_ability_solunia_solar_vorpal_blades"                    "Solar Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_solar_vorpal_blades_Description"        "Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>Throws out 3 solar vorpal blades that seek out enemies within 1000 range of Solunia. The blades deal damage on hit and can bounce to other enemies if there are any nearby."
        "DOTA_Tooltip_ability_solunia_solar_vorpal_blades_damage"             "DAMAGE:"
        "DOTA_Tooltip_ability_solunia_solar_vorpal_blades_max_blades"           "MAXIMUM ACTIVE CONCURRENT BLADES:"
        "DOTA_Tooltip_ability_solunia_solar_vorpal_blades_base_bounces"         "BOUNCES:"

        "DOTA_Tooltip_modifier_active_sun_vorpals"                           "Active Solar Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_lunar_vorpal_blades"                    "Lunar Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_lunar_vorpal_blades_Description"        "Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_ICE>Ice</font><br>Throws out 3 lunar vorpal blades that seek out enemies within 1000 range of Solunia. The blades deal damage on hit and can bounce to other enemies if there are any nearby."
        "DOTA_Tooltip_ability_solunia_lunar_vorpal_blades_damage"             "DAMAGE:"
        "DOTA_Tooltip_ability_solunia_lunar_vorpal_blades_max_blades"           "MAXIMUM ACTIVE CONCURRENT BLADES:"
        "DOTA_Tooltip_ability_solunia_lunar_vorpal_blades_base_bounces"         "BOUNCES:"

        "DOTA_Tooltip_modifier_active_moon_vorpals"                           "Active Lunar Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3"                     "[W1] Aphelion Weapon"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_Description"         "Solunia's attack damage is added to Vorpal Blade's base damage."
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_property_one"            "Additional Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_suffix"                  "% of attack power"

        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3"                     "[W2] Blades of Neptune"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_Description"             "Vorpal Blades restore mana to Solunia when striking an enemy, and deal additional damage based on her current mana."
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_one"            "Mana Restored"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix"                  " per hit" 
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_two"            "Additional Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix_two"              "% of current mana" 

        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3"                     "[W3] Binary Rift"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_Description"         "Grants Vorpal Blades a <% SOLUNIA_ARCANA_W3_CRIT_CHANCE %>% chance to deal a critical strike."
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_property_one"        "Critical Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_suffix"              "%"

        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3"                     "[W4] Eccentric Orbit"
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_Description"         "Gives Vorpal Blades a chance to bounce additional times. Greater than 100% means they can gain multiple extra bounces."
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_property_one"        "Chance for additional bounce"
