    	//Abilities
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_1"							"[Q1] Cloudburst"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_Description"			"По приземлении после @Ability3 герой начинает быстро вращаться в течение 2.5 секунд. В это время Seinaru невосприимчив к любому урону и исцеляет себя усиленным умением @Ability2 каждые 0.5 секунды."
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_property_one"			"Усиление исцеления"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_suffix"					"x"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_property_two"			"Урон"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_suffix_two"				"% от общего урона"

    	"DOTA_Tooltip_modifier_seinaru_b_c_wakizashi"				"Wakizashi"
    	"DOTA_Tooltip_modifier_seinaru_b_c_wakizashi_Description"	"Невосприимчив к урону."

    	"DOTA_Tooltip_ability_seinaru_rune_e_3"						"[E3] Spiral Leap"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_Description"			"После прочтения (E) Odachi Leap, умение будет заменено на (E) Spiral Leap, которое позволяет герою прыгнуть в указанную точку. Во время прыжка невосприимчив к магии и может уклониться от атак и заклинаний."
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_property_one"			"Макс. дальность прыжка"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_suffix"					""
		
		"DOTA_Tooltip_ability_seinaru_rune_e_4"						"[E4] Wings of the Swift"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_Description"			"Снижение брони усиливается, позволяя руне [R1] опускать ее значение ниже нуля до определенной границы. Дополнительно увеличивается наносимый пост-резистный урон стихии <font color=\"#F6FFB5\">Света</font><br> против врагов со значением брони ниже 0."
		"DOTA_Tooltip_ability_seinaru_rune_e_4_property_one"			"Макс. отрицательное значение брони"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix"					""
	 	"DOTA_Tooltip_ability_seinaru_rune_e_4_property_two"			"Доп. урон Света"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix_two"				"% за каждые 10 очков брони ниже нуля"
		
		"DOTA_Tooltip_ability_seinaru_gorudo"						"Gorudo"
		"DOTA_Tooltip_ability_seinaru_gorudo_Description"			"Seinaru превращается в золото, обретая иммунитет к магии и увеличивая свой урон."
		"DOTA_Tooltip_ability_seinaru_gorudo_duration"			"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_seinaru_gorudo_attack_damage_percent"			"ДОП. УРОН %:"

		"DOTA_Tooltip_modifier_monk_ulti_gorudo"					"Gorudo"
		"DOTA_Tooltip_modifier_monk_ulti_gorudo_Description"		"Иммунитет к магии"

    	"DOTA_Tooltip_ability_seinaru_rune_r_1"						"[R1] Armor Piercing"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_Description"			"Обычные атаки Seinaru значительно снижают броню врагов на 8 секунд.<br>Эффект не будет снижать броню ниже 0.<br>Эффект применяется перед атакой."
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_property_one"			"Макс. снижение брони"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_gorudo_rune_r_1"				"Armor Piercing"

    	"DOTA_Tooltip_ability_seinaru_rune_r_2"						"[R2] Duelist Ring"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_Description"			"После прочтения @Ability4, от героя исходит кольцо света, которое постепенно расширяется. Seinaru получает на 80% меньше урона от врагов, находящихся в кольце."
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_one"			"Длительность кольца"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix"					" сек."
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_two"			"Радиус"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix_two"					""

    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring"				"Duelist Ring"
    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring_Description"	"Наносит меньше урона герою Seinaru"	

    	"DOTA_Tooltip_modifier_seinaru_rune_r_2_immunity"				"Gorudo"
    	"DOTA_Tooltip_modifier_seinaru_rune_r_2_immunity_Description"	"Полный иммунитет к магии"

    	"DOTA_Tooltip_ability_seinaru_rune_r_3"						"[R3] Dexterity"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_Description"			"Даёт бонусный урон, равный % от Ловкости героя. Пока действует эффект @Ability4, с <% SEINARU_R3_PROC_CHANCE %>% шансом вместе с обычными атаками будет нанесён чистый урон."
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_property_one"			"Доп. урон от Ловкости"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_property_two"			"Доп. чистый урон"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_suffix_two"				"% от общего урона героя"

    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect"				"Dexterity"
    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect_Description"	"Увеличен урон от ловкости"

    	"DOTA_Tooltip_ability_seinaru_rune_r_4"						"[R4] Trial of Valor"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_Description"			"Враги, находящиеся внутри кольца от руны [R2] получают дополнительный урон от Seinaru."
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_property_one"			"Доп. урон"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_suffix"					"%"

    	"DOTA_Tooltip_ability_seinaru_blade_dash"						"Blade Dash"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_Description"			"Стихия: <font color=\"#DDDDDD\">Нормальный</font><br>Seinaru прорывается вперёд к выбранной точке, совершая дополнительную атаку с увеличенным уроном всем задетым на пути целям."
    	"DOTA_Tooltip_ability_seinaru_blade_dash_damage_percent_of_atk"			"МНОЖИТЕЛЬ АТАКИ, %:"

		//Arcanas
		
    	"item_property_seinaru_arcana1"										"Blade Dash"
    	"property_seinaru_arcana1_description"								"Заменяет (Q) @Ability1 и все соответствующие руны на Blade Dash."

  		"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1"						"[Q1] Samurai Crit"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_Description"			"С <% SEINARU_ARCANA_Q1_CRIT_CHANCE %>% шансом при атаке герой нанесёт критический урон."
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_property_one"			"Доп. урон крита"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_suffix"					"%"

  		"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1"						"[Q2] Blade Dance"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_Description"			"Атакуя врагов с помощью @Ability1 герой получает бонус к урону. Складывается до <% SEINARU_ARCANA_Q2_MAX_STACKS %> раз. Когда герой совершит 15 атак, исчезнет 1 заряд бонуса."
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_property_one"			"Усиление урона за заряд"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible"					"[Q2] Blade Dance"
    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible_Description"		"Урон увеличен."

  		"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1"						"[Q3] Swiftblade"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_Description"			"После прочтения @Ability1 получает бонус к Ловкости."
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_property_one"			"Доп. Ловкости"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff"						"Swiftblade"
    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff_Description"			"Значение Ловкости увеличено"	

  		"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1"						"[Q4] Sidestep"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_Description"			"После прочтения @Ability1 герой получает возможность уклоняться от 100% атак."
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_property_one"			"Длительность"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_suffix"					" сек."

    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff"						"Sidestep"
    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff_Description"			"100%% уклонение"

    	"DOTA_Tooltip_ability_seinaru_blade_dash"						"Blade Dash"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_Description"			"Стихия: <font color=\"#DDDDDD\">Нормальный</font><br>Seinaru прорывается вперёд к выбранной точке, совершая дополнительную атаку с увеличенным уроном всем задетым на пути целям."
    	"DOTA_Tooltip_ability_seinaru_blade_dash_damage_percent_of_atk"			"МНОЖИТЕЛЬ АТАКИ, %:"

    	"item_property_seinaru_arcana2"										"Sunstrider"
    	"property_seinaru_arcana2_description"								"Заменяет (E) @Ability3 и все соответствующие руны на (E) Sunstrider."

    	"DOTA_Tooltip_ability_seinaru_sunstrider"						"Sunstrider"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_Description"			"С благословления самого солнца, Seinaru совершает мощный рывок в выбранную точку."
    	"DOTA_Tooltip_ability_seinaru_sunstrider_cast_range"			"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"

    	"DOTA_Tooltip_modifier_sunstrider_in_air"						"Sunstrider"

  		"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2"						"[E1] Sunblade"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_Description"			"Враги, находящиеся в пределах досягаемости умения будут атакованы героем с задержкой в 0.06 секунды. При каждой атаке будет нанесён бонусный урон."
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_one"			"Доп. урон"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_two"			"Максимум целей"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix_two"				""

  		"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2"						"[E2] Lightsworn"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_Description"			"Сразу после прочтения (E) Sunstrider, получает 80% бонус к сопротивлению магическому и чистому урону."
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_property_one"			"Длительность"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_suffix"					" сек."

    	"DOTA_Tooltip_modifier_sunstrider_lightsworn"						"Lightsworn"

		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2"						"[E3] Sunwarrior's Vengeance"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_Description"			"Каждая атака [E1] разносится эхом, наносящим урон в небольшой области. Этот эффект имеет свой собственный бонус к пост-резистному урону."
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_property_one"			"Урон по области"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_suffix"					"% от урона героя"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_property_two"			"Доп. пост-резистный урон"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_suffix_two"					"%"

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack"		"Sunwarrior's Vengeance"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack_Description"	"Следующая атака нанесёт чистый урон стихии Света в области вокруг атакуемой цели."

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit"	"Sunwarrior's Vengeance"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit_Description"	"Пост-резистный урон увеличен"

		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2"						"[E4] Luminary"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_Description"			"Добавляет шанс, что когда умение @Ability3 начнёт перезарядку, будет возможность снова произнести это умение без перезарядки. Значение выше 100% гарантирует получение нескольких зарядов для прыжка. Дополнительно увеличивает стихийный урон <font color=\"#F6FFB5\">Света</font>."
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_one"			"Шанс на свободное прочтение"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix"					"%"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_two"			"Увеличение урона Света:"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_sunstrider_freecast"							"Герой может свободно произнести (E) Sunstrider"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_1_1"		"(T1) Символ духа меча"
		"item_rpc_seinaru_glyph_1_1_description" 				"Атаки восстанавливают здоровье в размере @glyph_property1% от нанесенного урона."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_2_1"		"(T2) Символ Solid Gold"
		"item_rpc_seinaru_glyph_2_1_description" 				"Увеличивает показатель брони на @glyph_property1 во время действия (R) Gorudo."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_3_1"		"(T3) Символ Diving Eagle"
		"item_rpc_seinaru_glyph_3_1_description" 				"Враги, задетые руной [E1] дополнительно получат магический урон в размере @glyph_property1% от основного урона героя."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_4_1"		"(T4) Символ Инь"
		"item_rpc_seinaru_glyph_4_1_description" 				"Скорость передвижения героя увеличена на @glyph_property1"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_1"		"(T5) Символ светлого воина" //Red burst particle effect for damage
		"item_rpc_seinaru_glyph_5_1_description" 				"(W) Hands of Hikari наносит урон, равный эффекту исцеления."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_6_1"		"(T6) Символ девяти хвостов"
		"item_rpc_seinaru_glyph_6_1_description" 				"(W) Hands of Hikari произносится мгновенно, что позволяет перемещаться во время прочтения."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_7_1"		"(T7) Символ исчезающего бриза"
		"item_rpc_seinaru_glyph_7_1_description" 				"По окончании действия руны [E2], герой уворачивается от 100% атак в течении 2 секунд."

		"DOTA_Tooltip_modifier_seinaru_glyph_7_1_effect"				"Vanishing Breeze"
		"DOTA_Tooltip_modifier_seinaru_glyph_7_1_effect_Description"	"<% SEINARU_GLYPH7_EVA %>% уклонение"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_a"		"(Immortal) Символ арены"
		"item_rpc_seinaru_glyph_5_a_description" 				"Кольцо от (R) Duelist Ring следует за героем."
		
		//Weapons
		"seinaru_weapon_01"			"Samurai Sword"
		"seinaru_weapon_02"			"Katana"
		"seinaru_weapon_03"			"Ninja Blade"
		"seinaru_weapon_11"			"Storm Cleaver"
		"seinaru_weapon_12"			"Runeblade"
		"seinaru_weapon_13"			"Tornadofire Blade"
		"seinaru_weapon_14"			"Sword of Faith"
		"seinaru_weapon_21"			"Blade of Seven Trials"
		"seinaru_weapon_22"			"Sword of Seikatsu"
		"seinaru_weapon_23"			"Blade of Ryu"
		"seinaru_weapon_24"			"Hariken Blade"
		"seinaru_weapon_25"			"Elder's Sageblade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_00"	"Basic Sword"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_01"   "Samurai Sword"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_02"   "Katana"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_03"   "Ninja Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_11"   "Storm Cleaver"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_12"   "Runeblade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_13"   "Tornadofire Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_14"   "Sword of Faith"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_21"   "Blade of Seven Trials"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_22"   "Sword of Seikatsu"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_23"   "Blade of Ryu"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_24"   "Hariken Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_25"   "Elder's Sageblade"
		
		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_1"		"Onimaru"
		"item_property_seinaru_immortal_weapon"								"Piercing Attacks"
		"property_seinaru_immortal_weapon_description"						"Атаки наносят дополнительно <% SEINARU_WEAP_1_DMG_PER_ATT * 100 %>% физического урона <font color=\"#7AE2A7\">Ветра</font> от показателя общей атаки в радиусе <% SEINARU_WEAP_1_RADIUS %> и наложат на пораженных противников эффект [R1]."
		
		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_2"            "Musashi Swiftblade"
        "item_property_seinaru_immortal_weapon2"                             "Five Rings Insight"
        "property_seinaru_immortal_weapon2_description"                      "Увеличивает скорость передвижения на @special_property1 и максимально возможную скорость передвижения на @special_property2. Снижает время перезарядки (Q) @Ability1 на @special_property3%."


        "DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_3"            "Heavy Sangeblade"
        "item_property_seinaru_immortal_weapon3"                             "Adamantia"
        "property_seinaru_immortal_weapon3_description"                      "Каждое очко скорости передвижения увеличивает Силу на @special_property1. Снижает базовую скорость передвижения на @special_property2"
