		//Abilities
		"ekkan_corpse"														"Труп"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_Description"					"С каждым прочтением @Ability3 появляется гаргулья, которая имеет иммунитет к магии. Запас здоровья гаргульи равен <% EKKAN_E2_HP_MULT * 100 %>% от макс. здоровья героя. Максимум может существовать 2 гаргульи."
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix"						"% от общего урона героя"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_two"					"Броня"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix_two"					"% от брони и магической защиты героя"

    	"DOTA_Tooltip_ability_ekkan_rune_e_3"								"[E3] Decomposition"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_Description"					"Атаки гаргулий снижают броню цели."
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_property_one"					"Снижение брони"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_suffix"						""

    	"DOTA_Tooltip_ability_ekkan_rune_e_4"								"[E4] Stoneform"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_Description"					"Гаргульи получают дополнительную способность обращаться в камень. Когда гаргулья приземляется, она оглушает противников, получает иммунитет к любому урону и восстанавливает своё здоровье. Это умение применяется автоматически, когда уровень здоровья опускается ниже 70% в агрессивном режиме."
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_one"					"Длительность оглушения"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix"						" сек."
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_two"					"Доп. регенерация здоровья"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix_two"					"%"

    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform"						"Stoneform"
    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform_Description"			"Оглушает задетых врагов, наделяется иммунитетом к урону и восстанавливает своё здоровье. Это умение применяется автоматически, когда уровень здоровья опускается ниже 70% в агрессивном режиме."

    	"DOTA_Tooltip_modifier_familiar_stoneform"							"Stoneform"
		
		"DOTA_Tooltip_ability_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_ability_ekkan_supercharge_Description"				"Ekkan наделяет подчинённого юнита некоторыми бонусами."
		"DOTA_Tooltip_ability_ekkan_supercharge_buff_duration"				"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_ekkan_supercharge_percent_attack_damage"		"БОНУС К УРОНУ, %:"
		"DOTA_Tooltip_ability_ekkan_supercharge_attack_speed"				"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_ekkan_supercharge_health_regen"				"ДОП. РЕГЕН. ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_modifier_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_modifier_ekkan_supercharge_Description"				"Усилен волей Ekkan"
		
		"DOTA_Tooltip_ability_ekkan_rune_r_1"								"[R1] Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_Description"					"Юниты, усиленные умением @Ability4 наделяются вампиризмом. Эффект вампиризма дополнительно исцеляет самого героя."
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_property_one"					"Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_r_2"								"[R2] Scourge Swarm"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_Description"					"@Ability4 можно применить на врага. Враг получает чистый урон, основанный на сумме урона всей подчинённой армии."
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_suffix"						"% от общего урона всех подчинённых юнитов."

    	"DOTA_Tooltip_ability_ekkan_rune_r_3"								"[R3] Skeleton King"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_Description"					"Применение @Ability4 на труп призывает недвижимого короля скелетов на 8 секунд, который каждые 0.2 секунды поражает врагов молнией. Наносимый урон зависит от урона убитого существа, ставшего трупом."
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_suffix"						"% от урона трупа"

    	//IDEA - TARGET ITEM WITH R AND CREATE GOLEM BASED ON ITEM STATS

    	"DOTA_Tooltip_ability_ekkan_rune_r_4"								"[R4] Chain Charge"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_Description"					"После прочтения на подчинённом существе, @Ability4 может отскочить к другому дружественному юниту в радиусе 800. Значение шанса выше 100% гарантирует многократное срабатывание эффекта."
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_property_one"					"Шанс повторного отскока"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_suffix"						"%"
		
		//Arcanas
		
		"item_property_ekkan_arcana1"										"Aphotic Dominion"
    	"property_ekkan_arcana1_description"								"Заменяет (Q) @Ability1 и все соответствующие руны на (Q) Aphotic Dominion."

    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion"								"Aphotic Dominion"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_Description"					"Стихия: <font color=\"#5C776E\">Нежить</font> / <font color=\"#5B648C\">Демон</font><br>Ekkan проклинает душу выбранного существа. Цель каждые 0.5 секунды получает урон, зависящий от собственного урона и замедляется. Если жертва проклятья погибает во время действия этого умения, юнит присоединяется к армии Ekkan до своей последней смерти. Подчинённые юниты всегда получают бонусную способность 'Steadfast', которая снижает получаемый урон."
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_max_summons"					"МАКСИМУМ ПОДЧИНЁННЫХ ЮНИТОВ:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_move_slow"						"ЗАМЕДЛЕНИЕ, %:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_burn_damage"					"УРОН, % ОТ УРОНА ЦЕЛИ:"

    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1"						"[Q1] Soul Drain"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_Description"			"Подчинённые юниты крадут жизнь всех ближайших врагов. Восстанавливают своё здоровье на 10% от нанесённого урона. Дополнительно скорость передвижения врагов снижается на 30%."
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_suffix"				"% от урона подчинённых юнитов" 

    	"DOTA_Tooltip_ability_black_dominion_lifesteal" 					"Soul Drain"
    	"DOTA_Tooltip_ability_black_dominion_lifesteal_Description"			"Крадёт жизнь у ближайших врагов. Восстанавливает своё здоровье на 10% от нанесённого урона. Замедляет врагов на 30%." 

    	"DOTA_Tooltip_modifier_black_dominion_lifesteal"					"Soul Drain"
    	"DOTA_Tooltip_modifier_black_dominion_lifesteal_Description"		"Замедлен и теряет здоровье"

    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1"							"[Q2] Corpse Eater"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_Description"				"Подчинённые юниты могут поглощать трупы, чтобы на 12 секунд получить бонус к своему базовому урону и скорости передвижения. Когда заканчивается время действия баффа, от юнита разойдутся по 2 роя жуков за каждый поглощённый труп. Задетые жуками враги отравляются и получают урон от яда, <% EKKAN_ARCANA_Q2_POISON_PER_ATTACK *100 %>% от урона подчинённого юнита, и теряют часть Брони и Магической Защиты. Отравленные враги не могут исцеляться. В случае, если противник умрёт, пока был отравлен, он сгенерирует дополнительный труп."
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_one"				"Бонус к базовому урону за поглощённый труп"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_two"				"Снижение Брони и Магической Защиты"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_corpse_picked_up_visible"						"Corpse Eater"
    	"DOTA_Tooltip_modifier_corpse_picked_up_visible_Description"			"Получает бонус к урону. По окончании действия этого эффекта выпускает рой ядовитых жуков."

    	"DOTA_Tooltip_modifier_swarm_effect"									"Corpse Eater Poison"
    	"DOTA_Tooltip_modifier_swarm_effect_Description"						"Теряет часть Брони и Маг. Защиты, а также получает урон каждые 0.5 секунды. В случае смерти с этим эффектом сгенерирует дополнительный труп"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1"							"[Q3] Aphotic Journey"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_Description"				"Враги, умирающие в радиусе 1200 от подчинённого юнита навсегда даруют ему бонус к базовому урону и броне. Максимум <% EKKAN_ARCANA_Q3_MAX_STACKS %> зарядов. Заряды бонуса к броне неограничены."
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_one"				"Бонус к урону"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_two"				"Бонус к броне"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_visible"						"Aphotic Journey"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_visible_Description"			"Навсегда получает бонус к урону. Максимум зарядов для урона - <% EKKAN_ARCANA_Q3_MAX_STACKS %>."	

    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1"							"[Q4] Gravekeeper Aura"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_Description"				"Подчинённые юниты распространяют ауру, которая увеличивает урон, магическую защиту и броню другим юнитам из армии и самому Ekkan. Аура пульсирует каждые 5 секунд, с каждым пульсом добавляя 2 заряда щита, позволяющего полностью поглотить урон."
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_one"				"Аура бонусного урона"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix"					"%"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_two"				"Аура бонусной брони и маг. защиты"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect"					"Gravekeeper Aura"
    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect_Description"		"Урон и броня увеличены"	

    	"DOTA_Tooltip_modifier_black_dominion_shield"							"Gravekeeper Shield"
    	"DOTA_Tooltip_modifier_black_dominion_shield_Description"				"Поглощает урон."
		
		 //ARCANA 2 - a

        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2a"                      "Wretched Grasp of Cruxys"

        "item_property_ekkan_arcana2a"                                       "Abyssal Reanimation (Яд)"
        "property_ekkan_arcana2a_description"                                "Заменяет @Ability2 и её руны на Вызов Разносчиков Чумы."

        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer"                        "Вызов Разносчиков Чумы"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_Description"            "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#37DD3D\">Яд</font><br>Противники, умирающие в радиусе 1500 от Эккана оставляют кучи костей после смерти. Эккан может вызвать из них Разносчиков Чумы для битвы на его стороне. Разносчики Чумы имеют ядовитую атаку."
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_max_skeletons"         			 "МАКСИМУМ РАЗНОСЧИКОВ ЧУМЫ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_skeleton_duration"     			 "ВРЕМЯ СУЩЕСТВОВАНИЯ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_armor_mult"            			 "МНОЖИТЕЛЬ БРОНИ И ЗАЩИТЫ ОТ ПОКАЗАТЕЛЯ БРОНИ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_attack_mult"           			 "МНОЖИТЕЛЬ УРОНА ОТ УРОНА EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_skeleton_health"       			 "ЗДОРОВЬЕ РАЗНОСЧИКОВ ЧУМЫ, % ОТ ЗДОРОВЬЯ ГЕРОЯ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_duration"       			 "ДЛИТЕЛЬНОСТЬ ЯДА:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_damage_interval"		     "ЧАСТОТА УРОНА ОТ ЯДА:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_damage"         			 "УРОН ЯДА ОТ % УРОНА РАЗНОСЧИКОВ ЧУМЫ:" 

        "DOTA_Tooltip_modifier_plaguebearer_basic_poison"                   "Яд Разносчиков Чумы"
        "DOTA_Tooltip_modifier_plaguebearer_basic_poison_Description"       "Получает урон каждую секунду"

        "ekkan_plaguebearer"                                                        "Разносчик Чумы"

        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive"                   "Plaguebearer Attacks"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_Description"       "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#37DD3D\">Яд</font><br>Атаки оставляют эффект яда, наносящий урон в зависимости от Силы Атаки Разносчика Чумы."   
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_duration"        "ДЛИТЕЛЬНОСТЬ ЯДА:"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_damage_interval"          "ИНТЕРВАЛ ЯДА:"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_damage"          "УРОН ЯДА % ОТ СИЛЫ АТАКИ:" 

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a"                               "[W1] Corrosive Armor"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_Description"                   "Противники, атакующие Разносчиков Чумы, получают дополнительный яд, который наносит урон каждые <% EKKAN_ARCANA_W1A_DAMAGE_INTERVAL %> сек. Урон основан на Броне Разносчика Чумы."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_property_one"                  "Длительность Яда"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_suffix"                        " сек"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_property_two"                  "Урон Яда"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_suffix_two"                    "% от Брони Разносчиков Чумы"

        "DOTA_Tooltip_modifier_plaguebearer_w_1_poison"                              "Corrosive Armor"
        "DOTA_Tooltip_modifier_plaguebearer_w_1_poison_Description"                 "Получает урон каждую секунду"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a"                               "[W2] Poison Cloud"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_Description"                   "Облако ядовитого газа окружает Разносчиков Чумы. Противники внутри такого облака, в радиусе <% EKKAN_ARCANA_W2A_RADIUS %>, замедлены и получают урон каждые <% EKKAN_ARCANA_W2A_DAMAGE_INTERVAL %> сек, основанный на Здоровья Разносчика Чумы."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_property_one"                  "Урон Яда"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_suffix"                        "% от Запаса Здоровья"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_property_two"                  "Замедление Передвижения"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_suffix_two"                     ""

        "DOTA_Tooltip_modifier_plaguebearer_rot_effect"                               "Poison Cloud"

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a"                               "[W3] Acid Pool"
