		//Abilities
		"ekkan_corpse"														"Corpse"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton"						"Summon Skeleton"
   		"DOTA_Tooltip_ability_ekkan_summon_skeleton_Description"			"Enemies that die within 1500 of Ekkan leave a pile of their bones at their point of death. Ekkan can target an area containing corpses to summon skeleton warriors that will fight for him."
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_max_skeletons"			"MAX SKELETONS:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_duration"		"SKELETON LIFE DURATION:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_armor_mult"				"SKELETON ARMOR AND MAGIC ARMOR MULTIPLE OF EKKAN'S:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_attack_mult"			"SKELETON ATTACK POWER MULTIPLE OF EKKAN'S:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_health"		"SKELETON HEALTH:"

		"castle_skeleton_warrior"											"Skeleton Warrior"

		"DOTA_Tooltip_modifier_summon_skeleton_counter"						"Skeleton Army Size"
		"DOTA_Tooltip_modifier_summon_skeleton_counter_Description"			""

		"DOTA_Tooltip_modifier_skeleton_summon_unit"						"Summoned Skeleton"
		
		"DOTA_Tooltip_ability_ekkan_rune_w_1"								"[W1] Skeleton Archers"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_Description"					"30% of summoned skeletons spawn as a skeleton archer that has ranged attacks and a scaling attack multiplier. Archers have a 30% chance to deal critical strikes that pierce armor and have <font color=ELEMENT_UNDEAD>Undead</font> element."
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_property_one"					"Attack power multiple of Ekkan's"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_suffix"						"%"
		"DOTA_Tooltip_ability_ekkan_rune_w_1_property_two"                  "Base Attack Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_suffix_two"                    ""
        "DOTA_Tooltip_ability_ekkan_rune_w_1_property_three"                  "Critical Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_suffix_three"                    "%"

    	"DOTA_Tooltip_ability_ekkan_rune_w_2"								"[W2] Extended Reanimation"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_Description"					"Increases the lifetime duration of summoned skeletons. Each active skeleton increases Ekkan's <font color=ELEMENT_UNDEAD>Undead</font> damage."
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_property_one"					"Life Duration Increase"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_suffix"						" seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_property_two"                  "Undead Amplification"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_suffix_two"                        "% per active skeleton"

    	"DOTA_Tooltip_ability_ekkan_rune_w_3"								"[W3] Skeleton Mages"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_Description"					"30% of summoned skeletons spawn as a skeleton mage that casts an AOE magic attack that also slows enemies and lowers their magic armor."
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_one"					"Magic Damage AOE"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix"						"% of attack power"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_two"					"Movement slow"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix_two"					""
        "DOTA_Tooltip_ability_ekkan_rune_w_3_property_three"                "Magic Armor Reduction"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_suffix_three"                  ""

    	"DOTA_Tooltip_ability_ekkan_mage_blast"								"Grave Blast"
    	"DOTA_Tooltip_ability_ekkan_mage_blast_Description"					"Damages enemies in an area after 1 second delay and slows their movement speed. Is considered base ability damage for Summon Skeletons."

    	"DOTA_Tooltip_modifier_mage_blast_slow"								"Grave Blast"
    	"DOTA_Tooltip_modifier_mage_blast_slow_Description"					"Movespeed slowed"

    	"DOTA_Tooltip_ability_ekkan_rune_w_4"								"[W4] Cloak of Shadows"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_Description"					"All skeleton summons and Ekkan gain permanent bonus Magic Armor, Armor Pierce, and Spell Pierce."
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_property_one"					"Magic Armor"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_suffix"						""
        "DOTA_Tooltip_ability_ekkan_rune_w_4_property_two"                  "Armor Pierce and Spell Pierce"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_suffix_two"                    ""
		
		"DOTA_Tooltip_ability_ekkan_river_of_souls"							"Acheron's Portal"
		"DOTA_Tooltip_ability_ekkan_river_of_souls_Description"				"Creates a portal at the target location. Stepping in a portal teleports you and your entire army to the other portal after a 1.5 second delay. Any hero can use Ekkan's portal."	
		"DOTA_Tooltip_ability_ekkan_river_of_souls_cast_range"				"CAST RANGE:"

		"DOTA_Tooltip_modifier_river_of_souls_teleporting"					"Acheron's Portal Teleporting"
		
		"DOTA_Tooltip_ability_ekkan_rune_e_1"								"[E1] Detonate Corpse"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_Description"					"Acheron's Portal can target a corpse, causing it to explode into multiple projectiles that deal damage based on the corpse's max health before it died."
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_one"					"Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix"						"% of max health"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_two"					"Explosion Range"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix_two"					""

    	"DOTA_Tooltip_ability_ekkan_rune_e_2"								"[E2] Summon Familiars"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_Description"					"A familiar is raised from the Acheron's Portal that has magic immunity. Has <% EKKAN_E2_HP_MULT * 100 %>% of the max HP of Ekkan. Max 2 familiars."
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_one"					"Attack Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix"						"% of Ekkan's Base Attack Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_two"					"Armors and Pierces"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix_two"					"% of Ekkan's Armor and Pierces"

    	"DOTA_Tooltip_ability_ekkan_rune_e_3"								"[E3] Decomposition"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_Description"					"Familiars' attacks reduce their target's armor."
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_property_one"					"Armor Reduction"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_suffix"						""

    	"DOTA_Tooltip_ability_ekkan_rune_e_4"								"[E4] Stoneform"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_Description"					"Familiars have a stoneform ability. When the familiar lands it stuns for a long duration, gains attack immunity and health regen."
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_one"					"Stun Duration"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix"						" seconds"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_two"					"Health Regen"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix_two"					"%"

    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform"						"Stoneform"
    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform_Description"			"Stuns enemies below and adds health regen for the duration. This ability is casted automatically when below 70% HP while in aggressive stance."

    	"DOTA_Tooltip_modifier_familiar_stoneform"							"Stoneform"
		
		"DOTA_Tooltip_ability_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_ability_ekkan_supercharge_Description"				"Ekkan grants a brief power boost to any unit under his command."
		"DOTA_Tooltip_ability_ekkan_supercharge_buff_duration"				"BUFF DURATION:"
		"DOTA_Tooltip_ability_ekkan_supercharge_percent_attack_damage"		"ATTACK DAMAGE BONUS %:"
		"DOTA_Tooltip_ability_ekkan_supercharge_attack_speed"				"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_ekkan_supercharge_health_regen"				"HEALTH REGEN %:"

		"DOTA_Tooltip_modifier_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_modifier_ekkan_supercharge_Description"				"Powered up by Ekkan"
		
		"DOTA_Tooltip_ability_ekkan_rune_r_1"								"[R1] Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_Description"					"Soul Charged units have lifesteal on their attacks. The lifesteal also heals Ekkan."
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_property_one"					"Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_r_2"								"[R2] Scourge Swarm"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_Description"					"Soul Charge can be targeted on a single enemy. The enemy takes pure damage based on the attack power of Ekkan's entire army combined. Damage dealt by this rune ignores steadfast."
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_property_one"					"Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_suffix"						"% of all summon's attack power."

    	"DOTA_Tooltip_ability_ekkan_rune_r_3"								"[R3] Skeleton King"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_Description"					"Soul Charging a corpse creates an immobile skeleton king for 8 seconds that zaps nearby enemies every 0.2 seconds. The damage dealt is based on the unit's attack damage that created the corpse."
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_property_one"					"Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_suffix"						"% of corpse's attack damage"

    	//IDEA - TARGET ITEM WITH R AND CREATE GOLEM BASED ON ITEM STATS

    	"DOTA_Tooltip_ability_ekkan_rune_r_4"								"[R4] Chain Charge"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_Description"					"When targetting an allied unit, Soul charge has a chance to chain to a nearby friendly unit within 800 range. Greater than 100% chance means it can proc multiple times."
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_property_one"					"Multi charge chance"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_suffix"						"%"
		
		//Arcanas
		
		"item_property_ekkan_arcana1"										"Aphotic Dominion"
    	"property_ekkan_arcana1_description"								"Replaces @Ability1 and all of its runes with Aphotic Dominion."

    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion"								"Aphotic Dominion"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_Description"					"Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_DEMON>Demon</font><br>Curses an enemy unit's soul to eternal servitude of Ekkan. The target takes damage every 0.5 seconds based on their attack power. If an enemy dies while the aphotic dominion debuff is active, the unit joins Ekkan's army permanently until death. The Aphotic Dominion unit always has the Steadfast ability. While Ekkan is dead, dominated units cannot move, attack or be attacked."
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_max_summons"					"MAX ARMY SIZE:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_move_slow"						"MOVE SLOW % WHILE ACTIVE:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_debuff_duration"				"DEBUFF DURATION:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_burn_damage"					"DAMAGE % OF VICTIM ATTACK POWER:"

    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1"						"[Q1] Soul Drain"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_Description"			"The Aphotic Dominion unit drains life from all nearby enemies. The healing is equal to 10% of the damage dealt. Slows enemy movespeed by 30%"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_property_one"			"Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_suffix"				"% of Aphotic Dominion unit's attack power" 

    	"DOTA_Tooltip_ability_black_dominion_lifesteal" 					"Soul Drain"
    	"DOTA_Tooltip_ability_black_dominion_lifesteal_Description"			"Steals life from nearby enemies based on attack power. The healing effect is equal to 10% of the damage dealt. Slows enemy movespeed by 30%." 

    	"DOTA_Tooltip_modifier_black_dominion_lifesteal"					"Soul Drain"
    	"DOTA_Tooltip_modifier_black_dominion_lifesteal_Description"		"Slowed and losing life"

    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1"							"[Q2] Corpse Eater"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_Description"				"The Aphotic Dominion unit can consume corpses off the ground to gain a 12 second bonus to base attack power and movespeed. When the buff wears off, 2 swarms of bugs are released for each corpse that was held. Enemies hit by the bugs take damage over time based on <% EKKAN_ARCANA_Q2_POISON_PER_ATTACK *100 %>% of the Aphotic Dominion unit's attack power and have reduced Armor and Magic Armor. They also cannot heal while the poison is active. Enemies who die while the poison is active generate an additional corpse."
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_one"				"Base Attack Damage Per Corpse"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_two"				"Armor and Magic Armor Loss"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_corpse_picked_up_visible"						"Corpse Eater"
    	"DOTA_Tooltip_modifier_corpse_picked_up_visible_Description"			"Gaining attack damage. When this ends, release swarms of poisonous bugs."

    	"DOTA_Tooltip_modifier_swarm_effect"									"Corpse Eater Poison"
    	"DOTA_Tooltip_modifier_swarm_effect_Description"						"Taking damage every 0.5 seconds and losing Armor and Magic Armor. On death, generate an additional corpse"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1"							"[Q3] Aphotic Journey"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_Description"				"When an enemy unit dies within 1200 range of the Aphotic Dominion unit, it gains permanent Attack amage, Armor, and Magic Armor bonus. Max <% EKKAN_ARCANA_Q3_MAX_STACKS %> stacks for Damage Bonus."
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_one"				"Attack Damage Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_two"				"Armor and Magic Armor Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_visible"						"Aphotic Journey"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_visible_Description"			"Permanently increased Base Attack Damage."	

    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1"							"[Q4] Gravekeeper Aura"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_Description"				"The Aphotic Dominion unit has an aura that provides bonus attack damage %, Armor and Magic Armor to nearby summons and Ekkan. Every 5 seconds, the aura pulses, adding a 2 stack shield to all units in range that absorbs 1 instance of damage per stack."
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_one"				"Aura Attack Damage Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix"					"%"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_two"				"Aura Armor and Magic Armor Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect"					"Gravekeeper Aura"
    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect_Description"		"Increased attack damage, armor and magic armor"	

    	"DOTA_Tooltip_modifier_black_dominion_shield"							"Gravekeeper Shield"
    	"DOTA_Tooltip_modifier_black_dominion_shield_Description"				"Absorbing Damage."

        //ARCANA 2 - a

        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2a"                      "Wretched Grasp of Cruxys"

        "item_property_ekkan_arcana2a"                                       "Abyssal Reanimation (Poison)"
        "property_ekkan_arcana2a_description"                                "Replaces @Ability2 and all of its runes with Summon Plaguebearer."

        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer"                        "Summon Plaguebearer"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_Description"            "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_POISON>Poison</font><br>Enemies that die within 1500 of Ekkan leave a pile of their bones at their point of death. Ekkan can target an area containing corpses to summon Plague Bearers that fight for him. Plaguebearers have a poison attack."
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_max_skeletons"          "MAX PLAGUEBEARERS:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_skeleton_duration"      "PLAGUEBEARER LIFE DURATION:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_armor_mult"             "PLAGUEBEARER ARMOR AND MAGIC ARMOR MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_attack_mult"            "PLAGUEBEARER ATTACK POWER MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_skeleton_health"        "% PLAGUEBEARER HEALTH AS PERCENT OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_duration"        "POISON ATTACK DURATION:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_damage_interval"          "POISON DAMAGE INTERVAL:"
        "DOTA_Tooltip_ability_ekkan_arcana2_plague_bearer_poison_damage"          "POISON DAMAGE % OF PLAGUEBEARER ATTACK POWER:" 

        "DOTA_Tooltip_modifier_plaguebearer_basic_poison"                   "Plaguebearer Poison"
        "DOTA_Tooltip_modifier_plaguebearer_basic_poison_Description"       "Taking damage every second"

        "ekkan_plaguebearer"                                                        "Plaguebearer"

        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive"                   "Plaguebearer Attacks"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_Description"       "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_POISON>Poison</font><br>Attacks leave a poison effect that deals damage based on the Plaguebearer's Attack Power."   
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_duration"        "POISON ATTACK DURATION:"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_damage_interval"          "POISON DAMAGE INTERVAL:"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_passive_poison_damage"          "POISON DAMAGE % ATTACK POWER:" 

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a"                               "[W1] Corrosive Armor"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_Description"                   "Enemies who attack a Plaguebearer are affected by an additional poison that deals damage every <% EKKAN_ARCANA_W1A_DAMAGE_INTERVAL %> second based on its armor."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_property_one"                  "Poison Duration"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_suffix"                        " seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_property_two"                  "Poison Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2a_suffix_two"                    "% of Plaguebearer's Armor"

        "DOTA_Tooltip_modifier_plaguebearer_w_1_poison"                              "Corrosive Armor"
        "DOTA_Tooltip_modifier_plaguebearer_w_1_poison_Description"                 "Taking Damage each second"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a"                               "[W2] Poison Cloud"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_Description"                   "A shroud of poison gas engulfs the Plaguebearers. Enemies within its <% EKKAN_ARCANA_W2A_RADIUS %> range are slowed and take damage every <% EKKAN_ARCANA_W2A_DAMAGE_INTERVAL %> seconds based on Plaguebearer's Max Health."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_property_one"                  "Poison Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_suffix"                        "% of Max Health"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_property_two"                  "Movement Slow"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2a_suffix_two"                        ""

        "DOTA_Tooltip_modifier_plaguebearer_rot_effect"                               "Poison Cloud"

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a"                               "[W3] Acid Pool"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_Description"                   "Plaguebearers have the ability to create <% EKKAN_ARCANA_W3A_RADIUS %> radius acid pools which deals damage every <% EKKAN_ARCANA_W3A_DAMAGE_INTERVAL %> second based on Plaguebearer's Armor Pierce. Enemies standing in the pools also have reduced Armor."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_property_one"                  "Poison Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_suffix"                        "% of Plaguebearer's Armor Pierce"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_property_two"                  "Armor Reduction"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_plaguebearer_poison_spray"                       "Acid Pool"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_poison_spray_Description"           "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_POISON>Poison</font><br>Creates an area of poison that deals damage and reduces enemies' Armor and Magic Armor." 

        "DOTA_Tooltip_plague_bearer_acid_spray_effect"                               "Acid Pool"

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a"                               "[W4] Endless Plague"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_Description"                   "Increases Plaguebearers' summon duration. Additionally enhances <font color=ELEMENT_UNDEAD>Undead</font> and <font color=ELEMENT_POISON>Poison</font> damage."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_property_one"                  "Plaguebearear Duration Increase"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_suffix"                        " seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_property_two"                  "Undead and Poison Damage Amp"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_suffix_two"                    "%"

        //ARCANA2 - b
        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2b"                      "Wretched Grasp of Cruxys"

