		"DOTA_Tooltip_ability_epoch_time_binder"								"Time Binder"
        "DOTA_Tooltip_ability_epoch_rune_q_1_arcana1_suffix"                "% от затраченной Маны"

    	"DOTA_Tooltip_ability_epoch_rune_q_2_arcana1"							"[Q2] Heart of Ages"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_arcana1_Description"				"Увеличивает все Атрибуты героя на %."
    	"DOTA_Tooltip_ability_epoch_rune_q_2_arcana1_property_one"				"Увеличение всех Атрибутов"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_arcana1_suffix"					"%"

    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1"							"[Q3] Chronology"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1_Description"				"Пассино увеличивает Урон Атаки и Пробитие Магической Защиты."
    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1_property_one"				"Урон Атаки"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1_property_two"				"Пробитие Магической Защиты"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_arcana1_suffix_two"				""

    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1"							"[Q4] Dimensional Dispersion"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1_Description"				"Повышает Радиус и Дальность Прочтения @Ability1."
    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1_property_one"				"Дальность"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1_property_two"				"Радиус"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_arcana1_suffix_two"				""

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_1_1"		"[T1-1] Glyph of Eternal Bonds"
		"item_rpc_epoch_glyph_1_1_description" 				"Увеличивает длительность @Ability1 на <% EPOCH_GLYPH_1_1_PCT_DURATION_INCREASE %>%."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_2_1"		"[T2-1] Glyph of Preconception"
		"item_rpc_epoch_glyph_2_1_description" 				"Атаки не затрачивают заряды [W3]."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_3_1"		"[T3-1] Glyph of Rewind"
		"item_rpc_epoch_glyph_3_1_description" 				"[W1] срабатывает от стандартных атак."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_4_1"		"[T4-1] Glyph of Aeon"
		"item_rpc_epoch_glyph_4_1_description" 				"Затраченная Мана от [Q1] понижается на <% EPOCH_GLYPH_4_1_MANA_DRAIN_REDUCE %>%, а урон за единицу маны увеличивается в <% EPOCH_GLYPH_4_1_INCREASED_DMG_PER_MANA_MULT %> раз(а)."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_5_1"		"[T5-1] Glyph of Dimensional Wisdom"
		"item_rpc_epoch_glyph_5_1_description" 				"Каждое очко Интеллекта увеличивает Максимальное Здоровье на <% EPOCH_GLYPH_5_1_MAX_HEALTH_PER_INT %>."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_6_1"		"[T6-1] Glyph of Tangled Flow"
		"item_rpc_epoch_glyph_6_1_description" 				"Эффект @Ability1 срабатывает при успешном прочтении @Ability4."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_7_1"		"[T7-1] Glyph of Shifting Dimensions"
		"item_rpc_epoch_glyph_7_1_description" 				"Первый противник, задетый сферой @Ability3, мгновенно активирует @Ability4."

		"DOTA_Tooltip_ability_item_rpc_epoch_glyph_5_a"		"[T5-a] Glyph of Hybrid Distortion"
		"item_rpc_epoch_glyph_5_a_description" 				"Каждые <% EPOCH_GLYPH_5_A_INTERVAL %> сек сфера от @Ability3 выпускает @Ability2 в случайного противника в радиусе <% EPOCH_GLYPH_5_A_ENEMY_SEARCH_RANGE %>."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_1_2"     "[T1-2] Glyph of Propagation"
        "item_rpc_epoch_glyph_1_2_description"              "Увеличивает дальность прочтения @Ability2 на <% EPOCH_GLYPH_1_2_CAST_RANGE %>, а максимальное количество отскоков на <% EPOCH_GLYPH_1_2_ADDITIONAL_BOUNCES %>."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_2_2"     "[T2-2] Glyph of Time Bend"
        "item_rpc_epoch_glyph_2_2_description"              "Герой получает 100% уклонение, пока сфера @Ability3 находится в полете."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_3_2"     "[T3-2] Glyph of Ephemeral Chains"
        "item_rpc_epoch_glyph_3_2_description"              "Задетые @Ability1 противники оглушаются на <% EPOCH_GLYPH_3_2_STUN_DURATION %> сек каждую секунду."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_4_2"     "[T4-2] Glyph of Transient Spirit"
        "item_rpc_epoch_glyph_4_2_description"              "[W3] дополнительно увеличивает Дух, и <% EPOCH_GLYPH_4_2_SPIRIT_TO_W_DMG %>x Духа героя добавляются к урону способности @Ability2."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_5_2"     "[T5-2] Glyph of Alpha Seed"
        "item_rpc_epoch_glyph_5_2_description"              "Каждый противник, задетый взрывом от @Ability4, будет поражён @Ability2, максимально <% EPOCH_GLYPH_5_2_MAX_W_CASTS %> противников за заклинание."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_6_2"     "[T6-2] Glyph of Tide Coil"
        "item_rpc_epoch_glyph_6_2_description"              "Если противник умирает под эффектом @Ability1, все текущие значения перезарядок снижаются на <% EPOCH_GLYPH_6_2_CURRENT_CD_REDUCE %> сек."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_7_2"     "[T7-2] Glyph of Generational Void"
        "item_rpc_epoch_glyph_7_2_description"              "Увеличивает длительность зарядки @Ability4 на <% EPOCH_GLYPH_7_2_CHANNEL_TIME_INCREASE %> сек, но финальный взрыв произойдет вне зависимости от того, будет ли зарядка полностью завершена, или нет."

        "DOTA_Tooltip_ability_item_rpc_epoch_glyph_book"    "Книга Глифов Epoch Guardian"
		
		//Weapons
		"epoch_weapon_01"			"Distortion Staff"
		"epoch_weapon_02"			"Timehook Staff"
		"epoch_weapon_03"			"Twilight Staff"
		"epoch_weapon_11"			"Spacelink Staff"
		"epoch_weapon_12"			"Staff of the Eternal Guardian"
		"epoch_weapon_13"			"Time Flooded Staff"
		"epoch_weapon_14"			"Eternal Longstaff"
		"epoch_weapon_21"			"Staff of the Eternal Rift"
		"epoch_weapon_22"			"Staff of Ages"
		"epoch_weapon_23"			"Staff of the Eon Champion"
		"epoch_weapon_24"			"Staff of Boundless Intellect"
		"epoch_weapon_25"			"Staff of Generational Destruction"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_00"   "Basic Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_01"   "Distortion Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_02"   "Timehook Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_03"   "Twilight Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_11"   "Spacelink Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_12"   "Staff of the Eternal Guardian"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_13"   "Time Flooded Staff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_14"   "Eternal Longstaff"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_21"   "Staff of the Eternal Rift"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_22"   "Staff of Ages"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_23"   "Staff of the Eon Champion"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_24"   "Staff of Boundless Intellect"
		"DOTA_Tooltip_ability_item_rpc_epoch_weapon_25"   "Staff of Generational Destruction"
		
		"DOTA_Tooltip_ability_item_rpc_epoch_immortal_weapon_1"			"Eye of Chronos"
		"item_property_epoch_immortal_weapon"								"Eye of Chronos"
		"property_epoch_immortal_weapon_description"						"Атака по противнику, который связан @Ability1, запустит атаки по всем остальным связанным юнитам."
        
		"DOTA_Tooltip_ability_item_rpc_epoch_immortal_weapon_2"				"Staff of the Eternal Guardian"
    	"item_property_epoch_immortal_weapon2"								"Guardian of Eternity"
    	"property_epoch_immortal_weapon2_description"						"При получении летального урона герой становится неуязвимым на <% EPOCH_IMMORTAL_WEAPON_2_RESPAWN_DELAY %> сек, восстановит Ману и Здоровье и активирует зарядку @Ability4. При возрождении завершает @Ability4. <% EPOCH_IMMORTAL_WEAPON_2_CD %> сек перезарядки."

        "DOTA_Tooltip_modifier_epoch_immortal_weapon_2_death_prevent_effect"    "Guardian of Eternity"

    	"DOTA_Tooltip_ability_item_rpc_epoch_immortal_weapon_3"				"Aion Eternus"
    	"item_property_epoch_immortal_weapon3"								"Spatial Distortion"
    	"property_epoch_immortal_weapon3_description"						"Если @Ability3 исчезает перед тем, как герой телепортируется к ней, то заклинание не уйдет на перезарядку."
