		"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"
    	"DOTA_Tooltip_ability_item_rpc_blue_dragon_greaves"								"Blue Dragon Greaves"

		"item_property_dragon_greaves"				"Танец Драконов"
		"property_dragon_greaves_description"		"Перемещение на дистанцию <% ITEM_RPC_BLUE_DRAGON_GREAVES_DISTANCE %> даёт герою усиление на <% ITEM_RPC_BLUE_DRAGON_GREAVES_EVASION %>% уклонения и <% ITEM_RPC_BLUE_DRAGON_GREAVES_BONUS_ATTACK_DAMAGE %>% Бонусной Силы Атаки на <% ITEM_RPC_BLUE_DRAGON_GREAVES_DURATION %> сек."
		"DOTA_Tooltip_modifier_blue_dragon_greaves_effect"	"Dragon Dance"
		"DOTA_Tooltip_modifier_blue_dragon_greaves_effect_Description" "<% ITEM_RPC_BLUE_DRAGON_GREAVES_EVASION %>%% уклонение и <% ITEM_RPC_BLUE_DRAGON_GREAVES_BONUS_ATTACK_DAMAGE %>%% Бонусной Силы Атаки"

    	"item_rpc_blue_dragon_greaves_ruby1"								"Прочтение [E] применяет Танец Драконов на @ruby_property1 сек. Танец Драконов даёт @ruby_property2 Базового Урона Атаки герою"
    	"item_rpc_blue_dragon_greaves_emerald1"								"Танец Драконов увеличивает Ловкость и Дух на @emerald_property1"
    	"item_rpc_blue_dragon_greaves_sapphire1"								"Увеличивает длительность эффекта на @sapphire_property1%. Танец Драконов увеличивает Скорость Атаки на @sapphire_property2"
    	"item_rpc_blue_dragon_greaves_amethyst1"								"Увеличивает урон <font color=\"#3289C7\">Дракона</font> и Урон Предметов на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_ashara"									"Boots of Ashara"

		 "item_property_boots_of_ashara"						"Autumnwood Charm"
		 "property_boots_of_ashara_description"					"Увеличивает Сопротивление Эффектам на <% ITEM_RPC_BOOTS_OF_ASHARA_STATUS_RESIST %>%"

    	"item_rpc_boots_of_ashara_ruby1"									"Вражеские дебаффы увеличивают Скорость Перемещения и Лимит Скорости на @ruby_property1. Длительность этого ускорения равна базовой длительности дебаффа до уменьшения длительности."
    	"item_rpc_boots_of_ashara_emerald1"									"Все накладываемые героем баффы увеличивают длительность на @emerald_property1%"
    	"item_rpc_boots_of_ashara_sapphire1"									"Увеличивает все руны [E] на @sapphire_property1"
    	"item_rpc_boots_of_ashara_amethyst1"									"Снижает получаемый Чистый урон на @amethyst_property1%"

		"item_rpc_boots_of_champions_ruby1"	"Увеличивает [E1] на @ruby_property1"
		"item_rpc_boots_of_champions_emerald1"	"Увеличивает [E3] на @emerald_property1"
		"item_rpc_boots_of_champions_sapphire1" "Увеличивает [E2] на @sapphire_property1"
		"item_rpc_boots_of_champions_amethyst1" "Увеличивает [E4] на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_great_fortune"							"Boots of Great Fortune"

		"item_property_boots_of_great_fortune"					"Lucky Odds"
		 "property_boots_of_great_fortune_description"			"Все предметы имеющие эффекты, активируемые с тем или иным шансом, получают +<% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_CHANCE_INCREASE %>% к показателю шанса (прибавляется к показателю шанса)."

    	"item_rpc_boots_of_great_fortune_ruby1"							"Любые вражеские дебаффы имеют @ruby_property1% шанс вообще не сработать на герое"
    	"item_rpc_boots_of_great_fortune_emerald1"							"Каждые <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_EMERALD_CHECK_INTERVAL %> сек герой получает шанс @emerald_property1% получить Иммунитет к Заклинаниям на <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_EMERALD_DURATION %> сек"
    	"item_rpc_boots_of_great_fortune_sapphire1"							"Каждые @sapphire_property1 сек герой увеличивает свой следующий шанс на +<% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_SAPPHIRE_CHANCE %>%"
    	"item_rpc_boots_of_great_fortune_amethyst1"							"Дополнительно повышает основной эффект предмета на +@amethyst_property1%"

    	"DOTA_Tooltip_modifier_boots_of_great_fortune_sapphire_effect"	"Lucky Odds (Sapphire)"
    	"DOTA_Tooltip_modifier_boots_of_great_fortune_sapphire_effect_Description"	"Следующий шанс повышен на +<% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_SAPPHIRE_CHANCE %>%%"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_old_wisdom"								"Boots of Old Wisdom"

		"item_property_old_wisdom"								"Spell Variance"
		"property_old_wisdom_description"						"Увеличивает Базовый Урон Способностей на <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_BAD %>%. Использование одного и того же заклинания (или предмета наподобие зелий) отключает эффект на <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_COOLDOWN %> сек."
		"DOTA_Tooltip_modifier_boots_of_old_wisdom_cooldown"				"Spell Variance Cooldown"
		"DOTA_Tooltip_modifier_boots_of_old_wisdom_cooldown_Description"	"Эффект отключен."

    	"item_rpc_boots_of_old_wisdom_ruby1"								"Снижает перезарядку эффекта на @ruby_property1 сек"
    	"item_rpc_boots_of_old_wisdom_emerald1"								"Увеличивает Ловкость и Интеллект на @emerald_property1"
    	"item_rpc_boots_of_old_wisdom_sapphire1"								"Увеличивает Пробитие Магической Защиты на @sapphire_property1 каждые <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_SAPPHIRE_INTERVAL %> сек. Когда бонус достигает своего максимума в @sapphire_property2, эффект обнуляется и начинается заново"
    	"item_rpc_boots_of_old_wisdom_amethyst1"								"При отключении основного эффекта герой получает взамен @amethyst_property1 Брони и Магической Защиты, а также @amethyst_property2 регенерации Маны"

    	"DOTA_Tooltip_modifier_old_wisdom_sapphire_stacks"				"Old Wisdom (Sapphire)"
    	"DOTA_Tooltip_modifier_old_wisdom_sapphire_stacks_Description"	"Пробитие Магической Защиты увеличивается каждые <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_SAPPHIRE_INTERVAL %> сек"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_pure_waters"							"Boots of Pure Waters"

		"item_property_pure_waters"							"Clear Waves"
		"property_pure_waters_description"					"Прочтение @Ability3 выпускает волну воды, наносящую урон в <% ITEM_RPC_BOOTS_OF_PURE_WATERS_INT_TO_DMG %>x Интеллекта героя Чистым типом урона всем попавшим под нее противникам. Противники также замедляются на <% ITEM_RPC_BOOTS_OF_PURE_WATERS_SLOW %>% for <% ITEM_RPC_BOOTS_OF_PURE_WATERS_SLOW_DURATION %> сек.<br>Может активироваться только раз в <% ITEM_RPC_BOOTS_OF_PURE_WATERS_INTERVAL_RESTRICTION %> сек."

    	"item_rpc_boots_of_pure_waters_ruby1"							"Увеличивает урон волн на @ruby_property1% от Силы Атаки. Обычные атаки имеют @ruby_property2% шанс выпустить волну (без ограничений по времени)"
    	"item_rpc_boots_of_pure_waters_emerald1"							"Скорость волны повышена на @emerald_property1, а урон волны на @emerald_property2"
    	"item_rpc_boots_of_pure_waters_sapphire1"							"Восстанавливает @sapphire_property1% от максимальной Маны при срабатывании эффекта, увеличивает дальность волн на @sapphire_property2"
    	"item_rpc_boots_of_pure_waters_amethyst1"							"Прочтение [Q] выпускает @amethyst_property1 волны перед героем. Имеет такое же ограничение по времени, как и основной эффект."

    	"DOTA_Tooltip_ability_item_rpc_boots_of_the_violet_guard"						"Boots of the Violet Guard"

		"item_property_boots_of_the_violet_guard"					"Violet Light"
		"property_boots_of_the_violet_guard_description"			"Снижает перезарядку @Ability4 на <% ITEM_RPC_BOOTS_OF_THE_VIOLET_GUARD_R_CD_REDUCE_PCT * 100 %>%."

    	"item_rpc_boots_of_the_violet_guard_ruby1"						"Увеличивает Скорость Передвижения на @ruby_property1 и Скорость Атаки на @ruby_property2"
		"item_rpc_boots_of_the_violet_guard_emerald1"							"Повышает Ловкость на @emerald_property1"
		"item_rpc_boots_of_the_violet_guard_sapphire1"							"Увеличивает Пробитие Брони на @sapphire_property1"
		"item_rpc_boots_of_the_violet_guard_amethyst1"							"Увеличивает Базовый Урон Способности [R] на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_crimsyth_elite_greaves_lv1"						"Crimsyth Elite Greaves"
		"item_property_crimsyth_elite"						"Crimsyth Guard"
		 "property_crimsyth_elite_description"				"Пассивно увеличивает Броню на <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_ARMOR %>x от Уровня героя. Прочтение любого заклинания убирает бонус к Броне и заменяет его <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_MAGIC_RESISTANCE %>х Магической Защитой от Уровня героя на <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_DURATION %> сек."
    	"item_rpc_crimsyth_elite_greaves_lv1_ruby1"						"@ruby_property1% часть пассивного бонуса Брони сохраняется и после прочтения заклинания"
    	"item_rpc_crimsyth_elite_greaves_lv1_emerald1"						"Пассивное состояние повышает Пробитие Брони на @emerald_property1. Активное состояние повышает Пробитие Магической Защиты на @emerald_property2"
    	"item_rpc_crimsyth_elite_greaves_lv1_sapphire1"						"Активное состояние эффекта повышает сопротивление Чистому урона на @sapphire_property1%"
    	"item_rpc_crimsyth_elite_greaves_lv1_amethyst1"						"@amethyst_property1% Магической Защиты от активного бонуса сохраняется и в пассивном состоянии"

    	"DOTA_Tooltip_modifier_crimsyth_elite_greaves_armor"	"Crymsyth Guard (Физическая часть)"
    	"DOTA_Tooltip_modifier_crimsyth_elite_greaves_magic_shield"	"Crymsyth Guard (Магическая часть)"

    	"DOTA_Tooltip_ability_item_rpc_crusader_boots"									"Crusader Boots"
		"item_property_crusader_boots"				"Devotion Aura"
		"property_crusader_boots_description"		"Герой и его союзники поблизости получают бонус к Броне в <% ITEM_RPC_CRUSADER_BOOTS_STR_TO_ARMOR_AURA_PCT %>% от Силы героя-носителя."

    	"item_rpc_crusader_boots_ruby1"									"Увеличивает Силу героя на @ruby_property1, Сила увеличивает Базовую Атаку на @ruby_property2"
    	"item_rpc_crusader_boots_emerald1"									"Аура также понижает получаемый героем и его союзниками Чистый урон на @emerald_property1%"
    	"item_rpc_crusader_boots_sapphire1"									"Увеличивает радиус ауры на @sapphire_property1 и бонус к Броне на @sapphire_property2"
    	"item_rpc_crusader_boots_amethyst1"									"Увеличивает Дух героя на @amethyst_property1 и аура предмета усиливает Магическую Защиту в @amethyst_property2% от Духа героя"

		"DOTA_Tooltip_modifier_devotion_aura_buff"  "Devotion Aura"
		"DOTA_Tooltip_modifier_devotion_aura_buff_Description"	"Даёт бонусы от эффектов Crusader Boots героя-носителя"

		"DOTA_Tooltip_ability_item_rpc_crystalline_slippers"				"Crystalline Slippers"	
        "property_crystalline"                                              "Glass Dancer"
        "property_crystalline_Description"                                  "Увеличивает весь получаемый героем урон на <% ITEM_RPC_CRYSTALLINE_SLIPPERS_RESIST_LOSS %>%, но взамен усиливает Базовый Урон Способностей и Урон Предметов на <% ITEM_RPC_CRYSTALLINE_SLIPPERS_BAD_AND_ITEM_AMP %>%."

		"item_rpc_crystalline_slippers_ruby1"				"Снижает Броню на @ruby_property1, но увеличивает Пробитие Брони на @ruby_property2"
		"item_rpc_crystalline_slippers_emerald1"				"Даёт @emerald_property1% уклонение, пока герой двигается и даёт @emerald_property2% Бонусной Силы Атаки, когда он стоит на месте"
		"item_rpc_crystalline_slippers_sapphire1"				"Снижает получаемый героем урон на @sapphire_property1% пока он обездвижен, прочтение [W] обездвиживает героя на <% ITEM_RPC_CRYSTALLINE_SLIPPERS_SAPPHIRE_ROOT_DURATION %> сек"
		"item_rpc_crystalline_slippers_amethyst1"				"Снижает Магическую Защиту на @amethyst_property1, но увеличивает Пробитие Магической Защиты на @amethyst_property2"

		"DOTA_Tooltip_modifier_crystalline_sapphire_root"		"Glass Dancer (Sapphire)"
		"DOTA_Tooltip_modifier_crystalline_sapphire_root_Description"	"Обездвижен"

		"DOTA_Tooltip_modifier_crystalline_emerald_in_motion"	"Glass Dancer (Emerald)"
		"DOTA_Tooltip_modifier_crystalline_emerald_in_motion_Description"	"Уклонение во время движения"

        "DOTA_Tooltip_ability_item_rpc_dunetreads"                                 "Dunetreads"
        "item_property_dunetreads"                   "Dunewalker"
        "property_dunetreads_description"            "Снижает перезарядку @Ability3 на <% ITEM_RPC_DUNETREADS_CD_RED %> сек."
		"item_rpc_dunetreads_ability_ruby_tooltip"				"@ruby_property1% chance to not go on cooldown."

        "item_rpc_dunetreads_ruby1"                                    "Прочтение [E] имеет @ruby_property1% шанс сбросить её перезарядку"
        "item_rpc_dunetreads_emerald1"                                 "Когда [E] не перезаряжается, герой получает @emerald_property1 бонус Пробития Брони"
        "item_rpc_dunetreads_sapphire1"                                    "Когда [E] не перезаряжается, герой получает @sapphire_property1 бонус Скорости Передвижения и Лимита Скорости"
        "item_rpc_dunetreads_amethyst1"                                    "Ловкость увеличивает Броню и Магическую Защиту на @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_emerald_speed_runners"                           "Emerald Speed Runners"

        "item_property_emerald_speed_runners"                           "Stable Pace"
        "property_emerald_speed_runners_description"                    "Скорость Передвижения героя не может быть ниже <% ITEM_RPC_EMERALD_SPEED_RUNNERS_SPEED_MS_LOW_CAP %>"

        "item_rpc_emerald_speed_runners_ruby1"                          "Увеличивает минимум скорости еще на @ruby_property1"
        "item_rpc_emerald_speed_runners_emerald1"                           "Повышает Ловкость на @emerald_property1, и Ловкость не может быть ниже @emerald_property2"
        "item_rpc_emerald_speed_runners_sapphire1"                          "Если герой обездвижен, приказ передвижения переместит его на @sapphire_property1 дистанции, эффект имеет @sapphire_property2 сек перезарядку"
        "item_rpc_emerald_speed_runners_amethyst1"                          "Перезарядка [E] не может быть выше @amethyst_property1 сек"

        "DOTA_Tooltip_modifier_emerald_speedrunner_sapphire_cd"				"Stable Pace (Sapphire) Cooldown"

        "DOTA_Tooltip_ability_item_rpc_falcon_boots"                                    "Falcon Boots"

        "item_property_falcon_boot"                 "Falcon Swoop"
        "property_falcon_boot_description"          "Прочтение @Ability3 выпускает 5 соколов, собирающих противников по пути и выбрасывающих их в конце полёта. Противники, захваченные соколами заморозятся на <% ITEM_RPC_FALCON_BOOTS_FREEZE_DURATION %> сек."

        "item_rpc_falcon_boots_ruby1"                                       "Скорость Передвижения увеличивает Базовую Силу Атаки на @ruby_property1"
        "item_rpc_falcon_boots_emerald1"                                    "Повышает Ловкость и Интеллект на @emerald_property1"
        "item_rpc_falcon_boots_sapphire1"                                   "Увеличивает Скорость Атаки на @sapphire_property1 и длительность заморозки противников от эффекта на @sapphire_property2 сек"
        "item_rpc_falcon_boots_amethyst1"                                   "Увеличивает скорость соколов на @amethyst_property1 и противники в конце полёта получат урон в @amethyst_property2% от Силы Атаки героя"

        "DOTA_Tooltip_modifier_falcon_freeze"       "Falcon Swoop"
        "DOTA_Tooltip_modifier_falcon_freeze_Description"   "Заморожен"

    	"DOTA_Tooltip_ability_item_rpc_fire_walkers"									"Fire Walkers"

		"item_property_fire_walkers"				"Lava Path"
		"property_fire_walkers_description"			"Герой оставляет небольшие лужи лавы под собой при передвижении. Лава наносит урон в <% ITEM_RPC_FIRE_WALKERS_DAMAGE_X_SUM_ATTRIBUTES %>x от суммы всех Атрибутов каждые <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> сек. Длительность лужиц лавы <% ITEM_RPC_FIRE_WALKERS_DURATION %> сек."

    	"item_rpc_fire_walkers_ruby1"									"Обычные атаки с шансом @ruby_property1% создадут лужицу лавы под противником и все противники стоящие в лаве имеют сниженную на @ruby_property2 Броню"
    	"item_rpc_fire_walkers_emerald1"									"Лужицы лавы длятся на @emerald_property1 секунд дольше и наносят на @emerald_property2 больше урона"
    	"item_rpc_fire_walkers_sapphire1"									"Противники в лаве дополнительно воспламенятся и будут получать урон каждые <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> сек, @sapphire_property1% от урона луж лавы, в течение <% ITEM_RPC_FIRE_WALKERS_SAPPHIRE_BURN_DURATION %> seconds"
    	"item_rpc_fire_walkers_amethyst1"									"Под противниками, задетыми [Q], [E] или [R], появляется лужа лавы с шансом @amethyst_property1%"

    	"DOTA_Tooltip_modifier_fire_walkers_sapphire"		"Lava Path (Sapphire)"
    	"DOTA_Tooltip_modifier_fire_walkers_sapphire_Description"	"Получает урон от горения каждые <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> сек"

    	"DOTA_Tooltip_ability_item_rpc_ghost_slippers"									"Ghost Slippers"
    	"item_property_ghost_slippers"													"Ghost Slippers"
    	"property_ghost_slippers_description"											"Свободное перемещение через юнитов."

        "item_rpc_ghost_slippers_ruby1"                                       "No Effect"
        "item_rpc_ghost_slippers_emerald1"                                    "No Effect"
        "item_rpc_ghost_slippers_sapphire1"                                   "No Effect"
        "item_rpc_ghost_slippers_amethyst1"                                   "No Effect"

    	"DOTA_Tooltip_ability_item_rpc_giant_hunters_boots_of_resilience"				"Giant Hunter's Boots of Resilience"
		"item_property_giant_hunter_boot"					"Giant Hunter"
		"property_giant_hunter_boot_description"			"При оглушении герой получает Иммунитет к Заклинаниям на <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_IMMUNITY_DURATION %> сек."
		"DOTA_Tooltip_modifier_giant_hunters_immunity"		"Giant Hunter Spell Immunity"
		
    	"item_rpc_giant_hunters_boots_of_resilience_ruby1"				"Герой получает Иммунитет к Заклинаниям на @ruby_property1 при Обездвиживании"
    	"item_rpc_giant_hunters_boots_of_resilience_emerald1"				"Получает @emerald_property1 Пробития Брони, если рядом в радиусе <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> есть Парагон или Босс"
    	"item_rpc_giant_hunters_boots_of_resilience_sapphire1"				"Получает @sapphire_property1 Пробития Магической Защиты если рядом в радиусе <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> есть Парагон или Босс"
    	"item_rpc_giant_hunters_boots_of_resilience_amethyst1"				"Получает @amethyst_property1 Брони и Магической Защиты если рядом в радиусе <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> есть Парагон или Босс"

		"DOTA_Tooltip_ability_item_rpc_gravelfoot_treads"	"Gravelfoot Treads"

		"item_property_gravelfoot"							"Gravelfoot"
		"property_gravelfoot_description"					"Очищает вражеский дебафф с героя каждые <% ITEM_RPC_GRAVELFOOT_TREADS_DEBUFF_CLEANCE_INTERVAL %> сек. При каждом очищении герой обретает каменную форму на <% ITEM_RPC_GRAVELFOOT_TREADS_SELF_SLOW_DURATION %> сек, замедляет передвижение на <% ITEM_RPC_GRAVELFOOT_TREADS_SELF_SLOW %> и увеличивает сопротивление урону на <% ITEM_RPC_GRAVELFOOT_TREADS_DMG_REDUCTION %>%."
		"DOTA_Tooltip_modifier_gravelfoot_buff"				"Gravelfoot"
		"DOTA_Tooltip_modifier_gravelfoot_buff_Description"	"Скорость передвижения снижена на <% ITEM_RPC_GRAVELFOOT_TREADS_SELF_SLOW %>, сопротивление урону повышено на % ITEM_RPC_GRAVELFOOT_TREADS_DMG_REDUCTION %>%%"

		"item_rpc_gravelfoot_treads_ruby1"	"Увеличивает Здоровье на @ruby_property1, а Силу и Дух на @ruby_property2"
		"item_rpc_gravelfoot_treads_emerald1"	"Уменьшает потерю скорости от эффекта на @emerald_property1"
		"item_rpc_gravelfoot_treads_sapphire1"	"В каменной форме герой повышает Броню и Магическую Защиту на @sapphire_property1"
		"item_rpc_gravelfoot_treads_amethyst1"	"Прочтение [E] активирует каменную форму на @amethyst_property1 сек"

    	"DOTA_Tooltip_ability_item_rpc_guardian_greaves"								"Guardian Greaves"

		"item_property_guardian_greaves"			"Guardian's Stride"
		"property_guardien_greaves_description"		"Прочтение @Ability3 применяет Guardian's Stride на себя и союзников в радиусе <% ITEM_RPC_GUARDIAN_GREAVES_RADIUS%> юнитов, исцеляя на <% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_STRENGTH %>x Силы героя и восстанавливая Ману на <% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_INTELLIGENCE %>x от Интеллекта героя. Перезарядка <% ITEM_RPC_GUARDIAN_GREAVES_COOLDOWN %> сек." 
		"DOTA_Tooltip_modifier_guardian_greaves_shield"					"Guardian Greaves"

