    	"DOTA_Tooltip_ability_item_rpc_aquasteel_bracers"                                "Aquasteel Bracers"
    	"DOTA_Tooltip_ability_item_rpc_berserker_gloves"								"Berserker Gloves"

		"item_property_berserker"				"Berserker Rage"
		"property_berserker_rage_description"	"Нанесение обычной атаки по одной и той же цели увеличивает Урон Атаки героя на <% ITEM_RPC_BERSERKER_GLOVES_ATTACK_POWER_PCT_PER_STACK %>% и Скорость Атаки на <% ITEM_RPC_BERSERKER_GLOVES_ATTACK_SPEED_PER_STACK %> на <% ITEM_RPC_BERSERKER_GLOVES_DURATION %> сек. Каждый заряд увеличивает получаемый героем урон из всех источников на <% ITEM_RPC_BERSERKER_GLOVES_DAMAGE_RECEIVED_INCREASE %>%.<br>Смена цели отнимает <% ITEM_RPC_BERSERKER_GLOVES_STACKS_PENALTY %>% накопленых зарядов. Максимум <% ITEM_RPC_BERSERKER_GLOVES_MAX_STACKS %> зарядов."
		"DOTA_Tooltip_modifier_berserker_gloves_buff_visible"				"Berserker Rage"
		"DOTA_Tooltip_modifier_berserker_gloves_buff_visible_Description"	"Увеличивает урон, скорость атаки и получаемый урон."

    	"item_rpc_berserker_gloves_ruby1"								"При смене цели отнимается только @ruby_property1% зарядов"
    	"item_rpc_berserker_gloves_emerald1"								"Получаемый героем урон увеличивается всего на @emerald_property1% за заряд"
    	"item_rpc_berserker_gloves_sapphire1"								"Каждый заряд увеличивает Базовый Урон Атаки на @sapphire_property1"
    	"item_rpc_berserker_gloves_amethyst1"								"Увеличивает максимальное число зарядов на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_bladeforge_gauntlet"								"Bladeforge Gauntlet"

		"item_property_bladeforge"					"Rupture"
		"property_bladeforge_description"			"При нанесении обычной атаки имеется шанс <% ITEM_RPC_BLADEFORGE_GAUNTLET_PROC_CHANCE %>% наложить кровотечение на противника на <% ITEM_RPC_BLADEFORGE_BLEED_DURATION %> сек, наносящее <% ITEM_RPC_BLADEFORGE_GAUNTLET_BLEED_DMG_ATK_PWR_PCT %>% от Силы Атаки героя каждые <% ITEM_RPC_BLADEFORGE_GAUNTLET_BLEED_INTERVAL %> сек."
		"DOTA_Tooltip_modifier_bladeforge_armor_debuff"	"Rupture"
		"DOTA_Tooltip_modifier_bladeforge_armor_debuff_Description"	"Теряет Броню за каждый заряд."
		"DOTA_Tooltip_modifier_bladeforge_bleed"	"Rupture"
		"DOTA_Tooltip_modifier_bladeforge_bleed_Description"	"Получает урон от показателя атаки героя каждые <% ITEM_RPC_BLADEFORGE_GAUNTLET_BLEED_INTERVAL %> сек"

    	"item_rpc_bladeforge_gauntlet_ruby1"								"Атаки оставляют складывающееся понижение Брони на @ruby_property1 продолжительностью <% ITEM_RPC_BLADEFORGE_GAUNTLET_RUBY_DURATION %> сек. Максимум <% ITEM_RPC_BLADEFORGE_GAUNTLET_RUBY_MAX_STACKS %> зарядов понижения Брони" 
    	"item_rpc_bladeforge_gauntlet_emerald1"								"Увеличивает Пробитие Брони на @emerald_property1 и Базовый Урон Атаки на @emerald_property2"
    	"item_rpc_bladeforge_gauntlet_sapphire1"								"Увеличивает шанс наложить кровотечение на @sapphire_property1% и увеличивает урон от него на дополнительные @sapphire_property2% от Силы Атаки"
    	"item_rpc_bladeforge_gauntlet_amethyst1"								"Кровоточащие враги теряют @amethyst_property1 регенерации здоровь и увеличивает длительность на @amethyst_property2"

		"DOTA_Tooltip_ability_item_rpc_blue_rain_gauntlet"								"Blue Rain Gauntlet"

		"item_property_blue_rain"								"Rain Lance"
		"property_blue_rain_description"						"Стандартные атаки всегда попадают в цель. <% ITEM_RPC_BLUE_RAIN_GAUNTLET_CHANCE %>% шанс при атаке создать водный удар, поражающий противников на одной линии <% ITEM_RPC_BLUE_RAIN_GAUNTLET_RANGE %> дистанции, в <% ITEM_RPC_BLUE_RAIN_GAUNTLET_DMG_PER_ATT %>% от Силы Атаки героя. Максимум <% ITEM_RPC_BLUE_RAIN_GAUNTLET_MAX_PROCS_PER_SEC %> срабатываний в секунду"

		"item_rpc_blue_rain_gauntlet_ruby1"								"Увеличивает Урон Предметов на @ruby_property1% и все Атрибуты на @ruby_property2"
		"item_rpc_blue_rain_gauntlet_emerald1"								"Увеличивает шанс срабатывания на @emerald_property1% и максимальное количество срабатываний на @emerald_property2"
		"item_rpc_blue_rain_gauntlet_sapphire1"								"Увеличивает урон водного удара на @sapphire_property1% от Силы Атаки"
		"item_rpc_blue_rain_gauntlet_amethyst1"								"Прочтение [R] активирует <% ITEM_RPC_BLUE_RAIN_GAUNTLET_AMETHYST_COUNT %> водных ударов во все стороны от героя, наносящие @amethyst_property1 урона"

    	"DOTA_Tooltip_ability_item_rpc_boneguard_gauntlets"								"Claw of the Dead"

		"item_property_boneguard"				"Raise Dead"
		"property_boneguard_description"		"<% ITEM_RPC_BONEGUARD_GAUNTLETS_SPAWN_CHANCE %>% шанс при атаке призвать скелета-воина, сражающегося на стороне героя <% ITEM_RPC_BONEGUARD_GAUNTLETS_SKELETON_LIFE_TIMER %> сек. Скелеты имеют <% ITEM_RPC_BONEGUARD_GAUNTLETS_HEALTH_MULT %>x здоровья и <% ITEM_RPC_BONEGUARD_GAUNTLETS_ATTACK_POWER %>x силы атаки от показателей героя-призывателя. Максимум <% ITEM_RPC_BONEGUARD_GAUNTLETS_MAX_SKELETONS %> скелетов."

		"DOTA_Tooltip_ability_bone_claw_skeleton_toggle_ai"				"Claw of the Dead AI"
		"DOTA_Tooltip_ability_bone_claw_skeleton_toggle_ai_Description"	"Включите для стандартной схемы поведения"

    	"item_rpc_boneguard_gauntlets_ruby1"								"Увеличивает урон скелетов еще на @ruby_property1% от урона атаки героя-призывателя"
    	"item_rpc_boneguard_gauntlets_emerald1"								"Увеличивает максимум скелетов на @emerald_property1"
    	"item_rpc_boneguard_gauntlets_sapphire1"								"Увеличивает длительность жизни скелетов на @sapphire_property1 секунд(ы) и их максимальное здоровье на @sapphire_property2"
    	"item_rpc_boneguard_gauntlets_amethyst1"								"Увеличивает шанс призыва скелетов при атаке на @amethyst_property1% и скорость их атаки на @amethyst_property2"

		"DOTA_Tooltip_ability_item_rpc_buzukis_finger"				"Buzuki's Finger"
		"item_property_buzuki_finger"								"Power Up!"
		"property_buzuki_finger_description"						"Прочтение @Ability2 улучшает всех ближайших юнитов (не героев), увеличивая их Силу Атаки на <% ITEM_RPC_BUZUKIS_FINGER_ATTACK_POWER %>% и позволяя им при атаках создавать луч энергии, наносящий <% ITEM_RPC_BUZUKIS_FINGER_MODIFIER_ATTACK_PCT %>% от их Силы Атаки. Урон луча принадлежит герою-владельцу предмета. Длительность <% ITEM_RPC_BUZUKIS_FINGER_DURATION %> сек."
		"DOTA_Tooltip_modifier_buzukis_finger_buff"					"Power Up!"
		"DOTA_Tooltip_modifier_buzukis_finger_buff_Description"		"Сила атаки увеличена, при атаках выпускает луч Чистого урона"

		"item_rpc_buzukis_finger_ruby1"				"Power Up! увеличивает скорости перемещения и атаки на @ruby_property1"
		"item_rpc_buzukis_finger_emerald1"				"Увеличивает урон луча на @emerald_property1%"
		"item_rpc_buzukis_finger_sapphire1"				"Пассивное увеличение Урона Предметов владельца на @sapphire_property1%"
		"item_rpc_buzukis_finger_amethyst1"				"Владелец предмета тоже получает луч при обычных атаках, который наносит урон в @amethyst_property1% от Силы Атаки"

		"DOTA_Tooltip_ability_item_rpc_chitinous_lobster_claw"					"Chitinous Lobster Claw"	

		"property_lobster_claw"												"Chitinous Skin"
		"property_lobster_claw_Description"									"Каждые <% ITEM_RPC_CHITINOUS_LOBSTER_CLAW_STACK_RATE %> сек герой получает слой щита (Chitinous Skin). Каждый слой снижает получаемый урона на <% ITEM_RPC_CHITINOUS_LOBSTER_CLAW_DMG_RED_PER_STACK * 100 %>%, и любой урон отнимает 1 слой щита. Максимум <% ITEM_RPC_CHITINOUS_LOBSTER_CLAW_MAX_STACKS %> щитов."


		"DOTA_Tooltip_modifier_chitinous_skin_stack"						"Chitinous Skin"
		"DOTA_Tooltip_modifier_chitinous_skin_stack_Description"			"Каждый щит снижает урон на <% ITEM_RPC_CHITINOUS_LOBSTER_CLAW_DMG_RED_PER_STACK * 100 %>%%"

		"item_rpc_chitinous_lobster_claw_ruby1"					"Увеличивает максимум щитов на @ruby_property1"
		"item_rpc_chitinous_lobster_claw_emerald1"					"Каждый слой увеличивает Пробитие Брони на @emerald_property1"
		"item_rpc_chitinous_lobster_claw_sapphire1"					"Каждый слой увеличивает Броню и Магическую Защиту на @sapphire_property1"
		"item_rpc_chitinous_lobster_claw_amethyst1"					"Количество слоев щита не опускается ниже @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_claw_of_azinoth"									"Claw of Azinoth"

		"item_property_azinoth"						"Scourge of Azinoth"
		"property_azinoth_description"				"Герой проклят и получает на <% ITEM_RPC_CLAW_OF_AZINOTH_DAMAGE_AMP %>% больше урона."

    	"item_rpc_claw_of_azinoth_ruby1"									"Scourge of Azinoth увеличивает получаемый урон на @ruby_property1% меньше"
    	"item_rpc_claw_of_azinoth_emerald1"									"Увеличивает показатели всех рун T1-T3 на @emerald_property1"
    	"item_rpc_claw_of_azinoth_sapphire1"									"Увеличивает получаемый урон еще на @sapphire_property1%, но увеличивает Базовый Урон Способностей и Урон Предметов на @sapphire_property2%"
    	"item_rpc_claw_of_azinoth_amethyst1"									"Уменьшает Дух на @amethyst_property1, но увеличивает Силу, Ловкость и Интеллект на @amethyst_property2"

    	"DOTA_Tooltip_ability_item_rpc_claws_of_the_ethereal_revenant"					"Claw of the Ethereal Revenant"

		"item_property_ethereal_revenant"						"Revenant Link"
		"property_ethereal_revenant_description"				"Противники задетые @Ability2 будут с шансом <% ITEM_RPC_CLAWS_OF_THE_ETHEREAL_REVENANT_CHANCE %>% привязаны к герою электрической дугой. Привязанные противники наносят на <% ITEM_RPC_CLAWS_OF_THE_ETHEREAL_REVENANT_DAMAGE_REDUCTION_PCT %>% пониженный урон по герою. Длительность дуги <% ITEM_RPC_CLAWS_OF_THE_ETHEREAL_REVENANT_DURATION %> сек. "

    	"item_rpc_claws_of_the_ethereal_revenant_ruby1"					"Увеличивает шанс привязывания на @ruby_property1%, а каждый привязаный противник увеличивает Силу Атаки героя на @ruby_property2%"
    	"item_rpc_claws_of_the_ethereal_revenant_emerald1"					"Каждый привязаный противник увеличивает Пробитие Брони и Пробитие Магической Защиты героя на @emerald_property1. Пассивно увеличивает Пробития на @emerald_property2"
    	"item_rpc_claws_of_the_ethereal_revenant_sapphire1"					"Обычная атака по противнику с шансом @sapphire_property1% привяжет его к герою"
    	"item_rpc_claws_of_the_ethereal_revenant_amethyst1"					"Увеличивает длительность связи на @amethyst_property1 сек и дополнительно снижает урон по герою на @amethyst_property2%"

		"DOTA_Tooltip_modifier_ethereal_revenant_link"			"Revenant Link"
		"DOTA_Tooltip_modifier_ethereal_revenant_link_Description"	"Наносит пониженный урон по привязанному к нему герою"

    	"DOTA_Tooltip_ability_item_rpc_cytopian_laser_glove"							"Cytopian Laser Glove"

		"item_property_cytopian_laser"				"Cytopian Laser"
		"property_cytopian_laser_description"		"Прочтение @Ability2 поражает лазером всех врагов поблизости в радиусе <% ITEM_RPC_CYTOPIAN_LASER_GLOVE_RADIUS %>, нанося урон <% ITEM_RPC_CYTOPIAN_LASER_GLOVE_DMG_PER_ATT %>% от Силы Атаки героя. Каждый успешный удар лазера увеличивает урон по этому противнику на <% ITEM_RPC_CYTOPIAN_LASER_GLOVE_STACK_INCREASE %>%, потенциальное усиление длится <% ITEM_RPC_CYTOPIAN_LASER_GLOVE_STACKING_DURATION %> сек и может складываться до <% ITEM_RPC_CYTOPIAN_LASER_GLOVE_MAX_STACKS %> раз."
		"DOTA_Tooltip_modifier_cytopian_stacks"		"Cytopian Laser"
		"DOTA_Tooltip_modifier_cytopian_stacks_Description"	"Получает увеличивающийся урон от лазеров"

    	"item_rpc_cytopian_laser_glove_ruby1"							"Каждое успешное попадание лазера наносит еще @ruby_property1% дополнительного урона"
    	"item_rpc_cytopian_laser_glove_emerald1"							"Увеличивает максимум сложений урона лазера на @emerald_property1"
    	"item_rpc_cytopian_laser_glove_sapphire1"							"Увеличивает урон лазера на @sapphire_property1 и дополнительно даёт @sapphire_property2 регенерации Маны"
    	"item_rpc_cytopian_laser_glove_amethyst1"							"Каждое сложение лазера снижает Пробитие Брони и Пробитие Магической Брони цели на @amethyst_property1"

		"DOTA_Tooltip_ability_item_rpc_dark_emissary_glove"						"Dark Emissary Glove"	

		"property_dark_emissary"												"Spectral Mist"
		"property_dark_emissary_Description"									"Прочтение @Ability1 выпускает паранормальное облако радиусом <% ITEM_RPC_DARK_EMISSARY_GLOVE_RADIUS %>, наносящее урон в <% ITEM_RPC_DARK_EMISSARY_GLOVE_DAMAGE_ATK_POWER_PCT %>% от Силы Атаки героя всем противникам внутри. Обездвиживает противников на <% ITEM_RPC_DARK_EMISSARY_GLOVE_ROOT_DURATION %> сек."
		"DOTA_Tooltip_modifier_dark_emissary_root"								"Spectral Mist"
		"DOTA_Tooltip_modifier_dark_emissary_root_Description"					"Обездвижен"

		"item_rpc_dark_emissary_glove_ruby1"						"Увеличивает урон облака на @ruby_property1, а Пробитие Магической Защиты героя на @ruby_property2"
		"item_rpc_dark_emissary_glove_emerald1"						"Создаётся дополнительное облако на @emerald_property1 сек, и все противники в нем получают урон в @emerald_property2% от изначального с каждые <% ITEM_RPC_DARK_EMISSARY_GLOVE_EMERALD_DOT_INTERVAL %> сек"
		"item_rpc_dark_emissary_glove_sapphire1"						"Увеличивает урон <font color=\"#9ACCD1\">Призрака</font> и Урон Предметов на @sapphire_property1%"
		"item_rpc_dark_emissary_glove_amethyst1"						"Прочтение [Q] делает героя невидимым на @amethyst_property1 сек. Атака или прочтение заклинания разрушает невидимость. Пробитие Магической Защиты повышено на @amethyst_property2, если герой невидим (от любого эффекта)."

    	"DOTA_Tooltip_ability_item_rpc_demonfire_gauntlet"								"Demonfire Gauntlet"

		"item_property_demonfire"								"Demon Flame"
		"property_demonfire_description"						"Нанесение обычной атаки даёт герою заряд Demon Flame, увеличивающий урон всех Элементов на <% ITEM_RPC_DEMONFIRE_GAUNTLET_ELEMENTAL_AMP_PCT %>%, максимально <% ITEM_RPC_DEMONFIRE_GAUNTLET_STACKS %> зарядов. Когда заряды истекают, то <% ITEM_RPC_DEMONFIRE_GAUNTLET_NUMBER_ENEMIES %> противника в радиусе <% ITEM_RPC_DEMONFIRE_GAUNTLET_RADIUS %> будут поражены разряда магии в <% ITEM_RPC_DEMONFIRE_GAUNTLET_DAMAGE_PER_ATTACK_PER_STACK %>% от Силы Атаки владельца, умноженной на количество зарядов."
		"DOTA_Tooltip_modifier_demonfire_stack"					"Demon Flame"
		"DOTA_Tooltip_modifier_demonfire_stack_Description"		"Каждый заряд Demon Flame увеличивает урон Элементов"

    	"item_rpc_demonfire_gauntlet_ruby1"								"Каждый заряд Demon Flame увеличивает Базовый Урон Атаки на @ruby_property1 и Пробитие Магической Защиты на @ruby_property2"
    	"item_rpc_demonfire_gauntlet_emerald1"								"Увеличивает количество целей на @emerald_property1 и урон разряда магии на @emerald_property2 (за заряд)"
    	"item_rpc_demonfire_gauntlet_sapphire1"								"При обычной атаке есть шанс @sapphire_property1% спровоцировать разряд предмета без сброса активных зарядов"
    	"item_rpc_demonfire_gauntlet_amethyst1"								"Увеличивает максимум зарядов на @amethyst_property1"

		"DOTA_Tooltip_ability_item_rpc_depth_demon_claw"			"Depth Demon Claw"	

		"property_depth_demon_claw"												"Metamorphose"
		"property_depth_demon_claw_Description"									"Вторичный элемент любого элементального урона конвертируется в урон <font color=\"#5B648C\">Демона</font>."

		"item_rpc_depth_demon_claw_ruby1"			"Увеличивает Силу Атаки на @ruby_property1%, но атаки забирают @ruby_property2% от максимального Здоровья. Потеря здоровья от предмета не летальна и не разбивает щиты"
		"item_rpc_depth_demon_claw_emerald1"			"Уменьшает регенерацию Здоровья на @emerald_property1 и увеличивает регенерацию Маны на @emerald_property2"
		"item_rpc_depth_demon_claw_sapphire1"			"Каждое очко текущей Маны увеличивает Базовый Урон Атаки на @sapphire_property1, атаки забирают @sapphire_property2% от максимальной Маны, и любое заклинание отнимает еще @sapphire_property3% от запаса Маны"
		"item_rpc_depth_demon_claw_amethyst1"			"@amethyst_property1% шанс при получении урона обрести щит, поглощающий <% ITEM_RPC_DEPTH_DEMON_CLAW_AMETHYST_SHIELD_STACKS %> порций урона."

		"DOTA_Tooltip_modifier_depth_demon_claw_amethyst_shield"	"Depth Demon Shield (Amethyst)"
		"DOTA_Tooltip_modifier_depth_demon_claw_amethyst_shield_Description"	"Каждый слой щита блокирует порцию урона"

		"DOTA_Tooltip_ability_item_rpc_diamond_claws_of_tiamat"			"Diamond Claws of Tiamat"

		"item_property_tiamat_claw"							"Unyielding Vanity"
		"property_tiamat_claw_description"					"Все Атрибуты зафиксированы на указанном значении и их показатели не могут быть изменены чем бы то ни было."

		"item_rpc_diamond_claws_of_tiamat_ruby1"			"Увеличивает [Q4] на @ruby_property1"
		"item_rpc_diamond_claws_of_tiamat_emerald1"			"Увеличивает [E4] на @emerald_property1"
		"item_rpc_diamond_claws_of_tiamat_sapphire1"			"Увеличивает [W4] на @sapphire_property1"
		"item_rpc_diamond_claws_of_tiamat_amethyst1"			"Увеличивает [R4] на @amethyst_property1"

		"DOTA_Tooltip_ability_item_rpc_energy_whip_glove"	"Energy Whip Glove"

		"item_property_energy_whip"							"Spell Lash"
		"property_energy_whip_description"					"Обычные атаки немедленно активируют @Ability2 если она не перезаряжается. Способность наводится на атакуемого юнита, либо на его позицию. @Ability2 будет активирована, даже если Маны недостаточно для её прочтения, но не сработает, если герой обезмолвлен или способность на перезарядке."
		"item_rpc_energy_whip_glove_ruby1"	"Увеличивает [W1] на @ruby_property1"
		"item_rpc_energy_whip_glove_emerald1"	"Увеличивает [W3] на @emerald_property1"
		"item_rpc_energy_whip_glove_sapphire1"	"Увеличивает [W2] на @sapphire_property1"
		"item_rpc_energy_whip_glove_amethyst1"	"Увеличивает [W4] на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_eternal_essence_gauntlet"						"Eternal Essence Gauntlet"
		"item_property_eternal_essence"				"Absorption"
		"property_eternal_essence_description"		"<% ITEM_RPC_ETERNAL_ESSENCE_GAUNTLET_HEAL_TO_DMG_PCT %>% от наибольшего исцеления добавляется к Базовой Атаке. Усиление длится <% ITEM_RPC_ETERNAL_ESSENCE_GAUNTLET_DMG_DURATION %> сек и обновляется, если герой получает большее лечение, чем активировавшее первоначальный эффект. Бонус урона ограничен <% ITEM_RPC_ETERNAL_ESSENCE_GAUNTLET_SPIRIT_CAP %>x от показателя Духа героя"

		"DOTA_Tooltip_modifier_eternal_essence_gauntlet_buff"		"Absorption"
		"DOTA_Tooltip_modifier_eternal_essence_gauntlet_buff_Description"	"Часть последнего исцеления конвертирована в урон атаки героя"

    	"item_rpc_eternal_essence_gauntlet_ruby1"						"Убийство противника исцеляет героя на @ruby_property1% от Максимального Здоровья"
    	"item_rpc_eternal_essence_gauntlet_emerald1"						"Увеличивает все получаемое лечение на @emerald_property1%"
    	"item_rpc_eternal_essence_gauntlet_sapphire1"						"Увеличивает максимум бонуса к Базовой Атаке от Absorption на @sapphire_property1x от Духа героя"
    	"item_rpc_eternal_essence_gauntlet_amethyst1"						"Увеличивает показатель Духа на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_far_seers_enchanted_gloves"						"Far Seer's Enchanted Gloves"

		"item_property_farseer_glove"				"Spell Strike"
		"property_farseer_description"				"<% ITEM_RPC_FAR_SEERS_ENCHANTED_GLOVES_MAGIC_DMG_TO_ATK_PCT %>% от наибольшего нанесенного героем Магического урона добавляется к его Базовой Атаке. Усиление длится <% ITEM_RPC_FAR_SEERS_ENCHANTED_GLOVES_DURATION %> сек и обновляется, если герой нанесет Магический урон выше того, что активировал первоначальный эффект. Бонус урона ограничен <% ITEM_RPC_FAR_SEERS_ENCHANTED_GLOVES_INT_CAP %>x от показателя Интеллекта героя."
		"DOTA_Tooltip_modifier_far_seer_effect_visible"				"Spell Strike"
		"DOTA_Tooltip_modifier_far_seer_effect_visible_Description"	"Часть от нанесенного Магического урона конвертируется в базовый урона атаки"

    	"item_rpc_far_seers_enchanted_gloves_ruby1"						"Увеличивает длительность на @ruby_property1 сек, увеличивает Пробитие Магической Защиты на @ruby_property2"
    	"item_rpc_far_seers_enchanted_gloves_emerald1"						"Увеличивает максимальный бонус к урона на @emerald_property1x от Ловкости"
    	"item_rpc_far_seers_enchanted_gloves_sapphire1"						"Увеличивает Интеллект на @sapphire_property1"
    	"item_rpc_far_seers_enchanted_gloves_amethyst1"						"Увеличивает максимальный бонус урона на  @amethyst_property1x от Интеллекта"

    	"DOTA_Tooltip_ability_item_rpc_frostburn_gauntlets"								"Frostburn Gauntlets"

		"item_property_frostburn_gauntlets"			"Frostburn"
		"property_frostburn_gauntlets_description"	"Противники, задетые @Ability2, с шансом <% ITEM_RPC_FROSTBURN_GAUNTLET_PROC_CHANCE %>% выпустят ледяной взрыв, наносящий <% ITEM_RPC_FROSTBURN_GAUNTLET_DAMAGE_PCT %>% от урона способности в радиусе <% ITEM_RPC_FROSTBURN_GAUNTLET_AOE %>. Противники, задетые взрывом льда, замедлят скорость перемещения на <% ITEM_RPC_FROSTBURN_GAUNTLETS_MS_SLOW %> на <% ITEM_RPC_FROSTBURN_GAUNTLETS_MS_SLOW_DUR %> сек. Максимум <% ITEM_RPC_FROSTBURN_GAUNTLET_MAX_PROCS_PER_SECOND %> срабатываний в секунду."
		"DOTA_Tooltip_modifier_frostburn_gauntlets_slow"	"Frostburn"
		"DOTA_Tooltip_modifier_frostburn_gauntlets_slow_Description"	"Замедлен"

		"item_rpc_frostburn_gauntlets_ruby1"								"Увеличивает радиус взрыва на @ruby_property1, а урон взрыва на @ruby_property2"
    	"item_rpc_frostburn_gauntlets_emerald1"								"Увеличивает шанс на @emerald_property1%, а максимум срабатываний в секунду на @emerald_property2"
    	"item_rpc_frostburn_gauntlets_sapphire1"								"Увеличивает Базовый Урон Способности [W] на @sapphire_property1%, а регенерацию Маны на @sapphire_property2"
    	"item_rpc_frostburn_gauntlets_amethyst1"								"Увеличивает урон взрыва еще на @amethyst_property1% of от начального урона, увеличивает замедление на @amethyst_property2"

		"item_rpc_gauntlet_of_champions_ruby1"	"Увеличивает [W1] на @ruby_property1"
		"item_rpc_gauntlet_of_champions_emerald1"	"Увеличивает [W3] на @emerald_property1"
		"item_rpc_gauntlet_of_champions_sapphire1" "Увеличивает [W2] на @sapphire_property1"
		"item_rpc_gauntlet_of_champions_amethyst1" "Увеличивает [W4] на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_gauntlet_of_divine_purity"						"Gauntlet of Divine Purity"
		"item_property_divine_purity"				"Divine Purity"
		"property_divine_purity_description"		"Обычные атаки героя наносят на <% ITEM_RPC_GAUNTLET_OF_DIVINE_PURITY_DMG_REDUCTION %>% меньше урона. Основной элемент обычных атак конвертируется в <font color=\"#F6FFB5\">Свет</font> и они наносят Чистый урон."
    	"item_rpc_gauntlet_of_divine_purity_ruby1"						"Увеличивает Броню и Магическую Защиту на @ruby_property1"
    	"item_rpc_gauntlet_of_divine_purity_emerald1"						"Увеличивает урон <font color=\"#F6FFB5\">Света</font> на @emerald_property1%"
    	"item_rpc_gauntlet_of_divine_purity_sapphire1"						"Увеличивает Базовый Урон Атаки на @sapphire_property1"
    	"item_rpc_gauntlet_of_divine_purity_amethyst1"						"Атаки исцеляют героя на @amethyst_property1% от максимального запаса здоровья"

     	"DOTA_Tooltip_ability_item_rpc_glove_of_the_forgotten_ghost"					"Glove of the Forgotten Ghost"

		"item_property_forgotten_ghost"					"Afterburn"
		 "property_forgotten_ghost_description"				"Все дебаффы накладываемые на противников героем будут длится на  <% ITEM_RPC_GLOVE_OF_THE_FORGOTTEN_GHOST_DURATION_INCREASE_PCT %>% дольше."

    	"item_rpc_glove_of_the_forgotten_ghost_ruby1"					"Увеличивает урон <font color=\"#9ACCD1\">Призрака</font> и Базовый Урон Способностей на @ruby_property1%"
    	"item_rpc_glove_of_the_forgotten_ghost_emerald1"					"Увеличивает базовую длительность исходящих дебаффов на @emerald_property1 сек"
    	"item_rpc_glove_of_the_forgotten_ghost_sapphire1"					"Любой исходящий от героя дебафф будет дополнительно снижать Магическую Защиту противников на @sapphire_property1 на <% ITEM_RPC_GLOVE_OF_THE_FORGOTTEN_GHOST_SAPPHIRE_DURATION_PCT %>% от длительности дебаффа"
    	"item_rpc_glove_of_the_forgotten_ghost_amethyst1"					"Увеличивает урон <font color=\"#9ACCD1\">Призрака</font> и Урон Предметов на @amethyst_property1%"

      	"DOTA_Tooltip_ability_item_rpc_gloves_of_sweeping_wind"							"Gloves of Sweeping Winds"

		"item_property_sweeping_wind"						"Sweeping Winds"
