
		"DOTA_Tooltip_ability_item_rpc_blacksmiths_tablet"								"铁匠牌匾"
		"item_rpc_stone_of_gordon_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_stone_of_gordon_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_stone_of_gordon_amethyst1"									"blah blah @amethyst_property1 gem"
		
		
		"DOTA_Tooltip_ability_item_rpc_arbor_dragonfly"									"点水蜻蜓"
		"item_rpc_arbor_dragonfly_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_arbor_dragonfly_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_arbor_dragonfly_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_arbor_dragonfly_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_arbor_dragonfly"				"迷雾祝福"
		"property_arbor_dragonfly_description"		"增加所有buff的持续时间 <% ARBOR_DRAGONFLY_BUFF_INCREASE_PCT %>%，包括雕文和符文技能。"
		
		
		"DOTA_Tooltip_ability_item_rpc_gem_of_eternal_frost"							"永冻宝石"
		"item_rpc_gem_of_eternal_frost_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_gem_of_eternal_frost_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_gem_of_eternal_frost_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_gem_of_eternal_frost_amethyst1"							"blah blah @amethyst_property1 gem"
		"item_property_eternal_frost"				"冰霜新星"
		"property_eternal_frost_description"		"附近的敌人每<% ETERNAL_FROST_STACK_INTERVAL %>秒降低<% ETERNAL_FROST_SLOW_PER_STACK %>移速，当敌人移速低于<% ETERNAL_FROST_MS_THRESHOLD %>时被冰冻<% ETERNAL_FROST_AURA_ROOT_DURATION %>秒。<br>当你施放 @Ability3 技能时，冰冻<% ETERNAL_FROST_ACTIVE_ROOT_AOE %>码范围敌人<% ETERNAL_FROST_ACTIVE_ROOT_DURATION %>秒，并造成 <% ETERNAL_FROST_ACTIVE_EXPLOSION_DMG_PER_INT %>x 智力值的伤害。<br>每<% ETERNAL_FROST_INT_DIVISOR %>点智力值提高所有装备伤害 <% ETERNAL_FROST_INT_TO_ITEM_DMG %>% 。"
		
		
		"DOTA_Tooltip_ability_item_rpc_lifesource_vessel"								"生命源泉"
		"item_rpc_lifesource_vessel_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_lifesource_vessel_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_lifesource_vessel_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_lifesource_vessel_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_lifesource_vessel"			"生命源泉"
		"property_lifesource_vessel_description"	"每点力量值提高生命值回复速度 <% LIFESOURCE_HP_REGEN_PER_STR %>。"
		
		
		"DOTA_Tooltip_ability_item_rpc_galaxy_orb"										"星球"
		"item_rpc_galaxy_orb_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_galaxy_orb_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_galaxy_orb_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_galaxy_orb_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_galaxy_orb"					"黑洞"
		"property_galaxy_orb_description"			"当你引导 @Ability4 时，身边所有敌方单位将被拽向你。"
		
		
		"DOTA_Tooltip_ability_item_rpc_azure_empire"									"天蓝帝国吊坠"
		"item_rpc_azure_empire_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_azure_empire_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_azure_empire_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_azure_empire_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_azure_empire"				"天空法官"
		"property_azure_empire_description"			"<% PENDANT_AZURE_EMPIRE_NUMBER_OF_HAWKS %>只雄鹰跟随你，每只吸收一次纯碎伤害或魔法伤害。雄鹰在受到伤害 <% PENDANT_AZURE_EMPIRE_HAWK_CD %> 秒后重生"
		"item_property_azure_empire_silver"				"银色天空"
		"property_azure_empire_silver_description"	"每只存在的雄鹰提高玩家的基础技能伤害 <% PENDANT_AZURE_EMPIRE_SILVER_BAD %>% 。"
		"item_property_azure_empire_green"				"玉色天空"
		"property_azure_empire_green_description"	"每只存在的雄鹰提高玩家的敏捷值 <% PENDANT_AZURE_EMPIRE_GREEN_AGI %>x 当前英雄等级。"
		"item_property_azure_empire_red"				"绯红天空"
		"property_azure_empire_red_description"	"每只存在的雄鹰提高玩家的力量值 <% PENDANT_AZURE_EMPIRE_RED_STR %>x 当前英雄等级。"
		"item_property_azure_empire_blue"				"蔚蓝天空"
		"property_azure_empire_blue_description"	"每只存在的雄鹰提高玩家的智力值 <% PENDANT_AZURE_EMPIRE_BLUE_INT %>x 当前英雄等级。"
		"DOTA_Tooltip_modifier_azure_empire_visible"	"雄鹰帝国"
		"DOTA_Tooltip_modifier_azure_empire_visible_Description"	"每只雄鹰吸收一次魔法或纯粹伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_signus_charm"									"西格拉斯的魅力"
		"item_rpc_signus_charm_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_signus_charm_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_signus_charm_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_signus_charm_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_signus"						"西格拉斯"
		"property_signus_description"				"减少 @Ability4 冷却时间<% SIGNUS_R_CD_REDUCTION %>%。 @Ability3 冷却时间提高1倍。"
		
		
		"DOTA_Tooltip_ability_item_rpc_eye_of_avernus"									"地狱之眼"
		"item_rpc_eye_of_avernus_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_eye_of_avernus_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_eye_of_avernus_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_eye_of_avernus_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_avernus"						"居高临下"								
		"property_avernus_description"				"提高所有基础技能的伤害<% EYE_OF_AVERNUS_BAD %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_tome_of_chaos"									"混乱之书"
		"item_rpc_tome_of_chaos_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_tome_of_chaos_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_tome_of_chaos_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_tome_of_chaos_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_tome_of_chaos"				"地狱火"
		"property_tome_of_chaos"					"施放 @Ability2 后，召唤一头地狱火并眩晕敌人<% TOME_OF_CHAOS_STUN %>秒。地狱火拥有你<% TOME_OF_CHAOS_HP_MULT %>倍的生命值，<% TOME_OF_CHAOS_ARMOR_MULT %>倍的护甲值和<% TOME_OF_CHAOS_ATTACK_DAMAGE_PER_ATTRIBUTE %>倍总属性值的基础攻击力。<br>持续<% TOME_OF_CHAOS_DURATION %>秒，冷却时间<% TOME_OF_CHAOS_CD %>秒。"
		"DOTA_Tooltip_modifier_tome_of_chaos_cooldown"	"地狱火冷却中"
		"DOTA_Tooltip_modifier_tome_of_chaos_cooldown_Description"	""
		
		
		
		
		"DOTA_Tooltip_ability_item_rpc_torch_of_gengar"									"阴影火炬"
		"item_rpc_torch_of_gengar_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_torch_of_gengar_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_torch_of_gengar_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_torch_of_gengar_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_gengar"						"暗影步伐"
		"property_gengar"							"受到伤害时有 <% GENGAR_CHANCE %>% 的几率获得 <% GENGAR_EVASION %>% 闪避，相位移动能力并且增加 <% GENGAR_BAD %>% 的基础技能伤害，持续<% GENGAR_DURATION %>秒。"
		"DOTA_Tooltip_modifier_torch_of_gengar_effect"	"暗影步伐"
		"DOTA_Tooltip_modifier_torch_of_gengar_effect_Description"	"<% GENGAR_EVASION %>%% 闪避，相位移动和<% GENGAR_BAD %>%% 技能伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_ruinfall_skull_token"							"头骨令牌"
		"item_rpc_ruinfall_skull_token_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_ruinfall_skull_token_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_ruinfall_skull_token_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_ruinfall_skull_token_amethyst1"							"blah blah @amethyst_property1 gem"
		"item_property_ruinfall"					"沙尘暴"
		"property_ruinfall"							"当生命值低于25% 时激活沙尘暴，隐身并且每秒回复 20% 最大生命值，持续5秒。在沙尘暴中无法移动、攻击或施放技能。冷却时间40秒。"
		"DOTA_Tooltip_modifier_ruinfall_skull_token_cooldown" "沙尘暴冷却中"
		"DOTA_Tooltip_modifier_ruinfall_skull_token_cooldown_Description"	""
		
		
		"DOTA_Tooltip_ability_item_rpc_omega_ruby"										"欧米伽宝石"
		"item_rpc_omega_ruby_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_omega_ruby_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_omega_ruby_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_omega_ruby_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_omega_ruby"					"欧米伽之火"
		"property_omega_ruby"						"你的普通攻击附有火焰，造成 <% OMEGA_RUBY_ATTACK_TO_DMG %>% 的AOE魔法伤害。与其他类型的分裂攻击叠加。"
		
		
		"DOTA_Tooltip_ability_item_rpc_raven_idol"										"乌鸦玩偶"
		"item_rpc_raven_idol_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_raven_idol_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_raven_idol_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_raven_idol_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_raven_idol2"					"黑暗灵魂"		
		"property_raven_idol_description2"			"减少受到的所有伤害<% RAVEN_IDOL_DMG_REDUCTION %>%. 你的血量不能超过 <% RAVEN_IDOL_HP_TRESHOLD_PCT %>% 的最大生命值. 每失去1%血量提升装备伤害 <% RAVEN_IDOL_ITEM_DMG_PCT_PER_MISSING_HP_PCT %>% ."
		
		
		"DOTA_Tooltip_ability_item_rpc_phoenix_emblem"									"凤凰徽章"
		"item_rpc_phoenix_emblem_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_phoenix_emblem_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_phoenix_emblem_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_phoenix_emblem_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_phoenix_emblem"				"涅盘"
		"property_phoenix_emblem"					"当你死亡时，<% PHOENIX_EMBLEM_RESURRECTION_DELAY %>秒后涅盘重生并眩晕附近所有敌人<% PHOENIX_EMBLEM_STUN_DUR %>秒。冷却时间<% PHOENIX_EMBLEM_COOLDOWN %>秒。"
		"DOTA_Tooltip_modifier_phoenix_emblem_cooldown"	"涅盘冷却中"
		
		
		"DOTA_Tooltip_ability_item_rpc_volcano_orb"										"火山石"
		"item_rpc_volcano_orb_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_volcano_orb_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_volcano_orb_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_volcano_orb_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_volcano_orb"					"火热之心"
		"property_volcano_orb_description"			"所有魔法伤害提升至<% VOLCANO_ORB_MAGIC_DMG_MULT %>x。该效果与其他税后效果乘法计算。"
		
		
		"DOTA_Tooltip_ability_item_rpc_aeriths_tear"									"艾瑞丝的眼泪"
		"item_rpc_aeriths_tear_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_aeriths_tear_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_aeriths_tear_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_aeriths_tear_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_aeriths_tear"							"最终幻想"
		"property_aeriths_tear"									"<% AERITHS_TEAR_DISTANCE %>码范围内敌人对你的伤害降低 <% AERITHS_TEAR_DMG_REDUCTION %>% 。"
		
		
		"DOTA_Tooltip_ability_item_rpc_fractional_enhancement_geode"					"放大水晶"
		"item_rpc_fractional_enhancement_geode_ruby1"					"blah blah @ruby_property1 gem"
		"item_rpc_fractional_enhancement_geode_emerald1"					"blah blah @emerald_property1 gem"
		"item_rpc_fractional_enhancement_geode_sapphire1"					"blah blah @sapphire_property1 gem"
		"item_rpc_fractional_enhancement_geode_amethyst1"					"blah blah @amethyst_property1 gem"
		"item_property_geode"								"对数放大"
		"property_geode_description"						"如果你造成的单次伤害值低于目标最大生命值的<% GEODE_INSTANCE_THRESHOLD %>%，该伤害值变为<% GEODE_DAMAGE_MULT %>倍。"
		
		
		"DOTA_Tooltip_ability_item_rpc_ring_of_nobility"								"崇高戒指"
		"item_rpc_ring_of_nobility_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_ring_of_nobility_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_ring_of_nobility_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_ring_of_nobility_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_nobility"							"崇高之路"
		"property_nobility_description"						"提高全属性 <% NOBILITY_ALL_ATTRIBUTES %>x 你的等级。当你杀死一个敌人时，该属性值提升。提升至10000时此戒指升级。升级后无法重铸。"
		
		
		"DOTA_Tooltip_ability_item_rpc_ring_of_nobility_augmented"						"强力崇高戒指"
		"item_rpc_ring_of_nobility_augmented_ruby1"						"blah blah @ruby_property1 gem"
		"item_rpc_ring_of_nobility_augmented_emerald1"						"blah blah @emerald_property1 gem"
		"item_rpc_ring_of_nobility_augmented_sapphire1"						"blah blah @sapphire_property1 gem"
		"item_rpc_ring_of_nobility_augmented_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_nobility_augmented"					"崇高步伐"
		"property_nobility_augmented_description"			"提高全属性 <% NOBILITY_ALL_ATTRIBUTES_AUGMENTED %>x 你的等级。该装备无法重铸。"
		
		
		"DOTA_Tooltip_ability_item_rpc_twig_of_the_enlightened"							"启示树枝"
		"item_rpc_twig_of_the_enlightened_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_twig_of_the_enlightened_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_twig_of_the_enlightened_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_twig_of_the_enlightened_amethyst1"							"blah blah @amethyst_property1 gem"
		"item_property_twig_of_enlightened"					"魔力护盾"
		"property_twig_of_enlightened_description"			"每当你获得魔法值时，创建一个护盾吸收 <% TWIG_OF_ENLIGHTENED_MANA_GAIN_TO_SHIELD %>x所获魔法值的伤害。护盾的伤害吸收上限为 <% TWIG_OF_ENLIGHTENED_SHIELD_MAX_CAPACITY %>x你的最大魔法值。"
		"DOTA_Tooltip_modifier_twig_of_the_enlightened_shield"	"魔力护盾"
		"DOTA_Tooltip_modifier_twig_of_the_enlightened_shield_Description"	"吸收伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_ancient_tanari_waterstone"						"水之石"
		"item_rpc_ancient_tanari_waterstone_ruby1"						"blah blah @ruby_property1 gem"
		"item_rpc_ancient_tanari_waterstone_emerald1"						"blah blah @emerald_property1 gem"
		"item_rpc_ancient_tanari_waterstone_sapphire1"						"blah blah @sapphire_property1 gem"
		"item_rpc_ancient_tanari_waterstone_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_ancient_waterstone"					"水之女神的祝福"
		"property_ancient_waterstone_description"			"由装备造成的伤害提高 <% ANCIENT_TANARI_WATERSTONE_ITEM_DAMAGE_AMP %>%"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_tempest_falcon_ring"								"风暴猎鹰指环"
		"item_rpc_tempest_falcon_ring_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_tempest_falcon_ring_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_tempest_falcon_ring_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_tempest_falcon_ring_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_tempest_falcon"						"暴风转换"
		"property_tempest_falcon_description"				"每造成一次物理伤害获得一个buff，使你的下一次魔法伤害提高<% TEMPEST_FALCON_RING_POST_MITI_MAGIC %>%。"
		"DOTA_Tooltip_modifier_tempest_falcon_ring_effect"	"暴风转换"
		"DOTA_Tooltip_modifier_tempest_falcon_ring_effect_Description"	"下一次魔法伤害提高<% TEMPEST_FALCON_RING_POST_MITI_MAGIC %>%"
		 
		 
		 
		"DOTA_Tooltip_ability_item_rpc_firelock_pendant"								"火枪吊坠"
		"item_rpc_firelock_pendant_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_firelock_pendant_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_firelock_pendant_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_firelock_pendant_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_firelock"							"稳定火焰"		
		"property_firelock_description"					"每<% FIRELOCK_PENDANT_STR_DIVISOR %>点力量值提高所有物理伤害 <% FIRELOCK_PENDANT_STR_TO_POST_MITI %>%。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_antique_mana_relic"								"古老的魔法遗物"
		"item_rpc_antique_mana_relic_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_antique_mana_relic_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_antique_mana_relic_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_antique_mana_relic_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_antique_mana_relic"					"魔法风暴"
		"property_antique_mana_relic_description"			"施放 @Ability1 汲取 <% ANTIQUE_MANA_RELIC_MANA_DRAIN %>% 的最大魔法值，并且提高该技能 <% ANTIQUE_MANA_RELIC_Q_BAD %>% 的基础技能伤害。每次攻击回复 <% ANTIQUE_MANA_RELIC_MANA_RESTORE_PER_ATTACK %>% 的魔法值。每<% ANTIQUE_MANA_RELIC_BASE_DAMAGE_PER_CURRENT_MANA %>点当前的魔法值提高1点基础攻击力。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_epsilons_eyeglass"								"伊普西龙的眼镜"
		"item_rpc_epsilons_eyeglass_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_epsilons_eyeglass_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_epsilons_eyeglass_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_epsilons_eyeglass_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_epsilon_eyeglass"					"扩展范围"
		"property_epsilon_eyeglass_description"			"增加攻击距离 <% EPSILON_EYEGLASS_ATTACK_RANGE %> 码(只适用于远程英雄)并且增加 <% EPSILON_EYEGLASS_VISION_RADIUS %> 码视野范围，和 <% EPSILON_EYEGLASS_PROJECTILE_SPEED %> 的弹道飞行速度。额外地，普通攻击将造成一次物理伤害，伤害基于玩家与攻击目标之间的距离。<br>（伤害计算公式：0.00<% EPSILON_EYEGLASS_DAMAGE_BASE * 1000 %> * 玩家等级 * 距离 ^ 3)<br> 计算时，如果距离超过 <% EPSILON_EYEGLASS_MAX_RANGE_FOR_DAMAGE %>，仍以此距离计算。距离不足700时以700计算"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_fenrirs_fang"									"芬里尔的犬牙"
		"item_rpc_fenrirs_fang_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_fenrirs_fang_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_fenrirs_fang_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_fenrirs_fang_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_fenrir_fang"							"阿尔法狼灵气"
		"property_fenrir_fang"									"增加自己和友军的攻击力<% FENRIR_FANG_BONUS_DAMAGE %>%。"
		"DOTA_Tooltip_modifier_fenrir_fang_buff"				"阿尔法狼灵气"
		"DOTA_Tooltip_modifier_fenrir_fang_buff_Description"	"增加攻击力"
		
		
		"DOTA_Tooltip_ability_item_rpc_fuchsia_ring"									"紫红色的戒指"
		"item_rpc_fuchsia_ring_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_fuchsia_ring_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_fuchsia_ring_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_fuchsia_ring_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_fuchsia_ring"							"团结"
		"property_fuchsia_ring_description"					"当被沉默或者眩晕时所有受到的伤害减少 <% FUCHSIA_DMG_REDUCTION %>% 并且血量每秒回复 <% FUCHSIA_HP_REGEN_OF_MAX_HP %>% 玩家的最大的生命值。"
		"DOTA_Tooltip_modifier_fuchsia_damage_resistance"		"伤害减免 <% FUCHSIA_DMG_REDUCTION %>% 并且生命回复提高每秒 <% FUCHSIA_HP_REGEN_OF_MAX_HP %>%% 的最大生命值"
		"DOTA_Tooltip_modifier_fuchsia_damage_resistance"		"伤害减免 <% FUCHSIA_DMG_REDUCTION %>% 并且生命回复提高每秒 <% FUCHSIA_HP_REGEN_OF_MAX_HP %>%% 的最大生命值"
		 
		 
		 
		"DOTA_Tooltip_ability_item_rpc_fortunes_talisman_of_truth"						"幸运护身符"
		"item_rpc_fortunes_talisman_of_truth_ruby1"						"blah blah @ruby_property1 gem"
		"item_rpc_fortunes_talisman_of_truth_emerald1"						"blah blah @emerald_property1 gem"
		"item_rpc_fortunes_talisman_of_truth_sapphire1"						"blah blah @sapphire_property1 gem"
		"item_rpc_fortunes_talisman_of_truth_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_fortune_talisman"						"幸运项链"
		"property_fortune_talisman_description"				"提高装备效果的触发机率 <% FORTUNES_TALISMAN_CHANCE_AMP %>% 。（乘法）"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_cobalt_serenity_ring"							"宁静之戒"
		"item_rpc_cobalt_serenity_ring_ruby1"							"blah blah @ruby_property1 gem"
