		"DOTA_Tooltip_ability_item_rpc_hurricane_vest"									"飓风背心"
		"DOTA_Tooltip_ability_item_rpc_armor_of_the_violet_guard"							"紫罗兰卫士之甲"
		"item_property_armor_of_the_violet_guard"			"紫罗兰征服者"
		"property_armor_of_the_violet_guard_description"	"降低@Ability1的冷却时间 <% ITEM_RPC_ARMOR_OF_VIOLET_GUARD_Q_CD_REDUCE * 100 %>%。"
		"item_rpc_armor_of_the_violet_guard_ability_ruby_tooltip"				"被 [Q] 击中的敌人的护甲将会降低@ruby_property1 ，持续 <% ITEM_RPC_ARMOR_OF_VIOLET_GUARD_ARMOR_LOSS_DURATION %> 秒"
		"DOTA_Tooltip_modifier_armor_of_the_violet_guard_ruby_debuff"	"紫罗兰征服者"
		"DOTA_Tooltip_modifier_armor_of_the_violet_guard_ruby_debuff_Description"	"护甲被降低"

		"item_rpc_armor_of_the_violet_guard_ruby1"							"被 [Q] 击中的敌人的护甲将会降低@ruby_property1 ，持续 <% ITEM_RPC_ARMOR_OF_VIOLET_GUARD_ARMOR_LOSS_DURATION %> 秒"
		"item_rpc_armor_of_the_violet_guard_emerald1"							"增加敏捷 @emerald_property1"
		"item_rpc_armor_of_the_violet_guard_sapphire1"							"增加物理穿透@sapphire_property1"
		"item_rpc_armor_of_the_violet_guard_amethyst1"							"增加 [Q] 的基础技能伤害@amethyst_property1%"
		
		
		"DOTA_Tooltip_ability_item_rpc_seraphic_soulvest"								"天使之袍"
		"item_property_seraphic_soulvest"			"天使之矛"
		"property_seraphic_soulvest_description"	"每次释放 @Ability2都会向周围<% ITEM_RPC_SERAPHIC_SOULVEST_RADIUS_OF_SEARCH %> 范围内随机目标释放一支天使之矛 ，造成 <% ITEM_RPC_SERAPHIC_SOULVEST_ALL_ATTRS_PCT %>% 全属性(力量/敏捷/智力/精神)的纯粹伤害，但是 @Ability2 额外消耗<% ITEM_RPC_SERAPHIC_SOULVEST_MANA_COST_PCT %>% 最大魔法值。"

		"item_rpc_seraphic_soulvest_ruby1"								"增加天使之矛的穿行速度 @ruby_property1 以及全属性 @ruby_property2"
		"item_rpc_seraphic_soulvest_emerald1"								"每次释放 [W] 有 @emerald_property1% 概率额外释放一支天使之矛"
		"item_rpc_seraphic_soulvest_sapphire1"								"天使之矛现在也会爆裂，对@sapphire_property2范围内敌人造成 @sapphire_property1% 原伤害的伤害"
		"item_rpc_seraphic_soulvest_amethyst1"								"释放 [R] 将会向周围<% ITEM_RPC_SERAPHIC_SOULVEST_RADIUS_OF_SEARCH %>范围放出 @amethyst_property1支天使之矛，即使范围内有一个敌人也会全部放出。 "
		
		
		"DOTA_Tooltip_ability_item_rpc_plate_of_the_watcher"							"守望者板甲"
		"DOTA_Tooltip_ability_item_rpc_plate_of_the_watcher"							"守望者板甲"

		"item_property_plate_of_the_watcher_one"					"守望者 I"
		"property_plate_of_the_watcher_one_description"			"增加@Ability1冷却时间 <% ITEM_RPC_PLATE_OF_THE_WATCHER_I_CD_INCREASE_Q %>%及基础技能伤害<% ITEM_RPC_PLATE_OF_THE_WATCHER_I_BAD_Q %>%."
		"item_property_plate_of_the_watcher_two"					"守望者 II"
		"property_plate_of_the_watcher_two_description"			"增加@Ability2 的冷却时间 <% ITEM_RPC_PLATE_OF_THE_WATCHER_II_CD_INCREASE_W %>% 及基础技能伤害 <% ITEM_RPC_PLATE_OF_THE_WATCHER_II_BAD_W %>%."
		"item_property_plate_of_the_watcher_three"				"守望者 III"
		"property_plate_of_the_watcher_three_description"		"增加@Ability3 的冷却时间 <% ITEM_RPC_PLATE_OF_THE_WATCHER_III_CD_INCREASE_E %>% 及基础技能伤害 <% ITEM_RPC_PLATE_OF_THE_WATCHER_III_BAD_E %>%."
		"item_property_plate_of_the_watcher_four"				"守望者 IV"
		"property_plate_of_the_watcher_four_description"			"增加@Ability4的冷却时间 <% ITEM_RPC_PLATE_OF_THE_WATCHER_IV_CD_INCREASE_R %>% 及基础技能伤害  <% ITEM_RPC_PLATE_OF_THE_WATCHER_IV_BAD_R %>%."

		"item_rpc_plate_of_the_watcher_ruby1"							"额外增加 [Q] 的冷却时间@ruby_property1%及基础技能伤害 @ruby_property2%"
		"item_rpc_plate_of_the_watcher_emerald1"							"额外增加[E] 的冷却时间@emerald_property1% 及基础技能伤害 @emerald_property2%"
		"item_rpc_plate_of_the_watcher_sapphire1"							"额外增加 [W] 的冷却时间 @sapphire_property1%及基础技能伤害 @sapphire_property2%"
		"item_rpc_plate_of_the_watcher_amethyst1"							"额外增加 [R] 的冷却时间 @amethyst_property1%及基础技能伤害amethyst_property2%"
		
		
		"DOTA_Tooltip_ability_item_rpc_sorcerers_regalia"								"巫师法袍"
		"item_property_sorcerers_regalia"			"束缚"
		"property_sorcerers_regalia_description"	"智力和精神都将提供 <% ITEM_RPC_SORCERERS_REGALIA_SPELL_PIERCE_PER_INT_SPR %>点魔法穿透。"
		
		"item_rpc_sorcerers_regalia_ruby1"								"增加所有T1符文@ruby_property1点"
		"item_rpc_sorcerers_regalia_emerald1"								"增加所有T2符文 @emerald_property1点"
		"item_rpc_sorcerers_regalia_sapphire1"								"增加智力@sapphire_property1 点以及魔法穿透@sapphire_property2点"
		"item_rpc_sorcerers_regalia_amethyst1"								"获得数值为@amethyst_property1%智力值的精神值 "
		
		
		"DOTA_Tooltip_ability_item_rpc_spellslinger_coat"								"射咒者大衣"
		"item_rpc_spellslinger_coat_ruby1"								"释放 [Q] 有 @ruby_property1% 概率重置其冷却时间"
		"item_rpc_spellslinger_coat_emerald1"								"释放 [W] 获得 @emerald_property1 点魔法穿透，持续 <% ITEM_RPC_SPELLSLINGER_COAT_EMERALD_DURATION %> 秒，可以叠加 <% ITEM_RPC_SPELLSLINGER_COAT_EMERALD_MAX_STACKS %> 层"
		"item_rpc_spellslinger_coat_sapphire1"								" 增加魔法回复@sapphire_property1点"
		"item_rpc_spellslinger_coat_amethyst1"								"被敌人攻击时有 @amethyst_property1% 概率立即释放[W] ，不会消耗魔法值并且没有施法点。每秒最多触发 <% ITEM_RPC_SPELLSLINGER_COAT_MAX_AMETHYST_PROCS_PER_SECOND %> 次"
		"item_property_spellslinger_coat"			"射咒者"
		"property_spellslinger_coat_description"	"施放 @Ability2 回复 <% ITEM_RPC_SPELLSLINGER_COAT_MANA_RESTORE %>% 该技能的耗蓝量，并且提高 @Ability2 基础技能伤害 <% ITEM_RPC_SPELLSLINGER_COAT_BAD %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_doomplate"										"末日板甲"
		"item_rpc_doomplate_ruby1"										"增加末日的伤害@ruby_property1"
		"item_rpc_doomplate_emerald1"										"处于末日影响下的敌人的护甲和魔甲将会降低 @emerald_property1 点"
		"item_rpc_doomplate_sapphire1"										"每次末日对目标造成伤害都有 <% ITEM_RPC_DOOMPLATE_SAPPHIRE_DISARM_CHANCE %>% 概率缴械敌人，持续@sapphire_property1 秒。"
		"item_rpc_doomplate_amethyst1"										"受末日影响的敌人对你造成的伤害将会降低 @amethyst_property1% "
		"item_property_doomplate"					"末日"
		"property_doomplate_description"			"施放 @Ability4后会对玩家施放末日，沉默并缴械玩家。被@Ability4击中的敌人将会被施加末日，每秒受到0.2X你的全属性的伤害，持续45秒。"
		"doomplate_doom"							"末日"
		"DOTA_Tooltip_modifier_doomplate_cooldown"	"末日板甲冷却中"
		"DOTA_Tooltip_modifier_doomplate_doom_debuff"	"末日"
		"DOTA_Tooltip_modifier_doomplate_doom_debuff_Description"	"沉默并且被缴械"
		
		
		"DOTA_Tooltip_ability_item_rpc_ice_quill_carapace"								"冰刺甲"
		"item_property_ice_quill"					"冰刺"
		"property_ice_quill_description"			"当你消耗 <% ITEM_RPC_ICE_QUILL_CARAPACE_MANA_THRESHOLD %>点魔法值后，获得一层冰刺充能。 当你释放技能或者使用一件物品时，冰刺充能将会以 <% ITEM_RPC_ICE_QUILL_CARAPACE_INTERVAL %>秒间隔逐层释放(每层独立)，对<% ITEM_RPC_ICE_QUILL_CARAPACE_RADIUS %>范围内敌人造成 <% ITEM_RPC_ICE_QUILL_CARAPACE_ATTACK_TO_DMG %>% 攻击力的伤害。最多触发<% ITEM_RPC_ICE_QUILL_CARAPACE_MAX_STACKS %> 层并且在上一次充能释放完毕前不会触发下一次释放。"
		"DOTA_Tooltip_modifier_ice_quill_carapace_stack"	"冰刺"
		"DOTA_Tooltip_modifier_ice_quill_carapace_stack_Description"	"释放技能来释放充能"

		"item_rpc_ice_quill_carapace_ruby1"								"冰刺在充能层数低于@ruby_property1时将不会触发并且增加冰刺的伤害 @ruby_property2"
		"item_rpc_ice_quill_carapace_emerald1"								"增加冰刺充能的最大层数 @emerald_property1 以及你的最大魔法值@emerald_property2点。"
		"item_rpc_ice_quill_carapace_sapphire1"								"每次释放充能都将回复 @sapphire_property1% 最大魔法值 "
		"item_rpc_ice_quill_carapace_amethyst1"								"每层冰刺充能都将提供魔法穿透 @amethyst_property1点"
		
		"DOTA_Tooltip_ability_item_rpc_featherwhite_armor"								"白羽袍"
		"item_property_featherwhite_armor"			"狮鹫牙"
		"property_featherwhite_armor_description"	"一只不可操控的狮鹫将会跟随你，狮鹫不会受到伤害。所有在狮鹫周围 <% ITEM_RPC_FEATHERWHITE_ARMOR_RADIUS %> 范围内的友军每<% ITEM_RPC_FEATHERWHITE_ARMOR_INTERVAL %>秒都会回复 <% ITEM_RPC_FEATHERWHITE_ARMOR_HEAL_OF_MAX_HP %>% 最大生命值。此外，光环拥有高空视野。"
		"DOTA_Tooltip_modifier_ivory_gryffin_aura_effect"	"白羽光环"
		"DOTA_Tooltip_modifier_ivory_gryffin_aura_effect_Description"	"正在回复生命值"

		"item_rpc_featherwhite_armor_ruby1"								"处于光环影响范围内的友军受到的纯粹和魔法伤害将会降低 @ruby_property1% "
		"item_rpc_featherwhite_armor_emerald1"								"增加光环的范围@emerald_property1"
		"item_rpc_featherwhite_armor_sapphire1"								"处于治疗区域内的敌人将会受到 @sapphire_property1% 治疗量的纯粹伤害，伤害间隔和治疗间隔相同"
		"item_rpc_featherwhite_armor_amethyst1"								" @amethyst_property1x装备者的精神值将会加入到总治疗量中"
		
		
		"DOTA_Tooltip_ability_item_rpc_dragon_ceremony_vestments"						"龙仪外衣"

		"item_rpc_dragon_ceremony_vestments_ruby1"						"召唤一只不可控制的红色飞龙。飞龙每秒可以攻击 @ruby_property1 个敌人，造成  @ruby_property2x 召唤者力量的伤害"
		"item_rpc_dragon_ceremony_vestments_emerald1"						"召唤一只不可控制的绿色飞龙。飞龙每秒可以攻击 @emerald_property1 个敌人，造成@emerald_property2x 召唤者敏捷的伤害"
		"item_rpc_dragon_ceremony_vestments_sapphire1"						"召唤一只不可控的蓝色飞龙，飞龙每秒可以攻击 @sapphire_property1 个敌人，造成 @sapphire_property2x 召唤者智力的伤害"
		"item_rpc_dragon_ceremony_vestments_amethyst1"						"召唤一只不可控的紫色飞龙 @amethyst_property1 个敌人，造成@amethyst_property2x 召唤者精神的伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_armor_of_secret_temple"							"神秘寺庙袈裟"
		"item_rpc_armor_of_secret_temple_ruby1"							"折射有@ruby_property1% 概率在吸收伤害后不会丢失层数"
		"item_rpc_armor_of_secret_temple_emerald1"							"增加敏捷@emerald_property1点"
		"item_rpc_armor_of_secret_temple_sapphire1"							"当折射存在时，增加攻击力@sapphire_property1%"
		"item_rpc_armor_of_secret_temple_amethyst1"							"释放 [Q] 有@amethyst_property1% 概率获得一层折射 (但是身上至少有一层折光才能触发)，最多 <% ITEM_RPC_ARMOR_OF_SECRET_TEMPLE_SHIELDS %> 层"
		"item_property_secret_temple"				"折射"
		"property_secret_temple_description"		"施放 @Ability4 后，获得护盾抵挡<% ITEM_RPC_ARMOR_OF_SECRET_TEMPLE_SHIELDS %>次伤害。"
		"DOTA_Tooltip_modifier_secret_temple_refraction"				"折射"
		"DOTA_Tooltip_modifier_secret_temple_refraction_description"	"抵挡伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_vampiric_breastplate"							"吸血鬼胸甲"
		"item_property_vampiric_breastplate"		"吸血鬼之心"
		"property_varmpiric_breastplate_description" "普通攻击回复造成伤害<% ITEM_RPC_VAMPIRIC_BREASTPLATE_ATTACK_HEAL_PCT %>%的生命值。 "

		"item_rpc_vampiric_breastplate_ruby1"							"<% ITEM_RPC_VAMPIRIC_BREASTPLATE_AURA_RADIUS %> 范围内的友军也会获得吸血效果，效果为原效果的 @ruby_property1%"
		"item_rpc_vampiric_breastplate_emerald1"							"现在你的 [Q] 技能也会获得@emerald_property1% 吸血效果"
		"item_rpc_vampiric_breastplate_sapphire1"							"额外增加吸血效果 @sapphire_property1% "
		"item_rpc_vampiric_breastplate_amethyst1"							"增加攻击速度@amethyst_property1 及基础攻击力 @amethyst_property2"
		
		
		"DOTA_Tooltip_ability_item_rpc_dark_arts_vestments"								"黑魔法外套"
		"item_rpc_dark_arts_vestments_ruby1"								"每点当前魔法值增加 @ruby_property1 点基础攻击力"
		"item_rpc_dark_arts_vestments_emerald1"								"每点敏捷增加魔法穿透@emerald_property1点"
		"item_rpc_dark_arts_vestments_sapphire1"								"每点智力增加魔甲@sapphire_property1点"
		"item_rpc_dark_arts_vestments_amethyst1"								"丢失生命值后将会回复丢失点生命值量的@amethyst_property1%魔法值 "
		"item_property_dark_arts"					"黑暗领域"
		"property_dark_arts_description"			"提高敏捷值，提高值为玩家智力值的 <% ITEM_RPC_DARK_ARTS_VESTMENTS_INT_TO_AGI * 100 %>% 。"
		
		
		"DOTA_Tooltip_ability_item_rpc_legion_vestments"								"军团大衣"
		"item_rpc_legion_vestments_ruby1"								"额外增加力量值 @ruby_property1%"
		"item_rpc_legion_vestments_emerald1"								"额外增加敏捷值 @emerald_property1%"
		"item_rpc_legion_vestments_sapphire1"								"额外增加智力值 @sapphire_property1%"
		"item_rpc_legion_vestments_amethyst1"								"额外增加精神值 @amethyst_property1%"
		"item_property_legion_vestments"			"军团命令"
		"property_legion_vestments_description"		"提高你的力量、敏捷和智力值<% ITEM_RPC_LEGION_VESTMENTS_ATTRIBUTE_INCREASE * 100 %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_nightmare_rider_mantle"							"梦魇骑士护肩"
		"item_property_nightmare_rider"				"暗影融合"
		"property_nightmare_rider_description"		"释放 @Ability1 后将会释放一次暗影冲击，降低敌人的移动速度 <% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_SLOW %>% 以及他们的护甲 <% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_ARMOR_REDUCTION %>% ，持续 <% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_DEBUFF_DURATION %> 秒。普通攻击将会获得梦魇充能，每层充能提高暗影融合的范围<% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_RADIUS_INCREASE %> 。至多 <% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_MAX_STACKS %> 层。"
		"DOTA_Tooltip_modifier_nightmare_rider_stacks"	"梦魇充能"
		"DOTA_Tooltip_modifier_nightmare_rider_stacks_Description"	"每层充能提高暗影融合的范围"
		"DOTA_Tooltip_modifier_nightmare_rider_effect_visible"	"暗影融合"
		"DOTA_Tooltip_modifier_nightmare_rider_effect_visible_Description"	"移动速度和护甲被降低"

		"item_rpc_nightmare_rider_mantle_ruby1"							"被暗影融合击中的敌人的魔甲将会降低@ruby_property1% 并且受到的魔法伤害将会提高 @ruby_property2"
		"item_rpc_nightmare_rider_mantle_emerald1"							"释放 [R] 获得 @emerald_property1 层梦魇充能并且增加梦魇充能的最大层数至@emerald_property2"
		"item_rpc_nightmare_rider_mantle_sapphire1"							"3 个梦魇之球将会围绕旋转你并且每<% ITEM_RPC_NIGHTMARE_RIDER_MANTLE_SAPPHIRE_INTERVAL %> 秒对周围的敌人造成@sapphire_property1%攻击力的伤害"
		"item_rpc_nightmare_rider_mantle_amethyst1"							"每层梦魇充能增加Each active Nightmare Stack increases <font color=\"#7F4F84\">暗影</font> 元素伤害 @amethyst_property1% 并且增加基础技能伤害和物品伤害 @amethyst_property2%"
		
		
		"DOTA_Tooltip_ability_item_rpc_space_tech_vest"									"宇航服"
		"item_property_space_tech"					"重力扭曲"
		"property_space_tech_description"			"释放 @Ability4的过程中将会在你周围  <% ITEM_RPC_SPACE_TECH_VEST_RADIUS %> 范围产生一个重力场，重力场的每一次冲击都将降低所有被影响的敌人的攻击速度<% ITEM_RPC_SPACE_TECH_VEST_AS_SLOW %>以及移动速度将会降低<% ITEM_RPC_SPACE_TECH_VEST_MS_SLOW %> ，最多叠加<% ITEM_RPC_SPACE_TECH_VEST_MAX_SLOW_STACKS %> 次，减速效果在敌人离开重力场仍然会持续<% ITEM_RPC_SPACE_TECH_VEST_DURATION %> 秒。 "
		"DOTA_Tooltip_modifier_space_tech_buff"					"重力调合"
		"DOTA_Tooltip_modifier_space_tech_buff_Description"		"增加基础技能伤害和物品伤害"
		"DOTA_Tooltip_modifier_space_tech_slow"					"重力调合"
		"DOTA_Tooltip_modifier_space_tech_slow_Description"		"被减速"
		"DOTA_Tooltip_modifier_space_tech_frozen"				"宇航服 (绿宝石)"
		"DOTA_Tooltip_modifier_space_tech_frozen_Description"	"被时间锁定"

		"item_rpc_space_tech_vest_ruby1"									"释放 [R]过程中获得@ruby_property1% 基础技能伤害。这个效果持续<% ITEM_RPC_SPACE_TECH_VEST_BUFF_DURATION %> 秒或者直至你再次释放该技能为止。"
		"item_rpc_space_tech_vest_emerald1"									"降低 [R] 的冷却时间 @emerald_property1%直至结束施法。 "
		"item_rpc_space_tech_vest_sapphire1"									"当敌人身上的重力调合层数到达<% ITEM_RPC_SPACE_TECH_VEST_MAX_SLOW_STACKS %>时，敌人将会被冻结 @sapphire_property1 秒"
		"item_rpc_space_tech_vest_amethyst1"									"增加<font color=\"#C25DFC\">宇宙</font>元素伤害 @amethyst_property1%"
		
		
		"DOTA_Tooltip_ability_item_rpc_stormshield_cloak"								"风暴披风"
		"item_rpc_stormshield_cloak_ruby1"								"每层钢铁之盾增加护甲 @ruby_property1点"
		"item_rpc_stormshield_cloak_emerald1"								"降低钢铁之盾的再现时间@emerald_property1 秒"
		"item_rpc_stormshield_cloak_sapphire1"								"钢铁之盾碎裂后将会对 <% ITEM_RPC_STORMSHIELD_CLOAK_SAPPHIRE_RADIUS %> 范围内的敌人造成@sapphire_property1x 你的护甲值的伤害并且眩晕他们@sapphire_property2 秒"
		"item_rpc_stormshield_cloak_amethyst1"								"增加钢铁之盾最大层数 @amethyst_property1 "
		"item_property_stormshield"					"风暴披风"
		"property_stormshield_description"			"3层钢铁之盾将会围绕你旋转，每层降低你所受到的物理伤害15%。钢铁之盾在受到攻击后的12秒后将会碎裂，但是12秒后将会重新出现。"
		
		
		"DOTA_Tooltip_ability_item_rpc_gilded_soul_cage"								"镀金魂甲"
		"item_property_gilded_soul"					"汲取灵魂"
		"property_gilded_soul_description"			"击杀一个敌人后，敌人的灵魂将会破散为光，治疗你和<% ITEM_RPC_GILDED_SOUL_CAGE_HEAL_RADIUS %>范围内的友军 <% ITEM_RPC_GILDED_SOUL_CAGE_HEAL_PCT %>% 最大生命值。在 <% ITEM_RPC_GILDED_SOUL_RADIUS %> 内死亡的敌人的灵魂将会被释放，而后被灵魂牢笼抓取。每一个灵魂增加<font color=\"#F6FFB5\">圣</font> 元素伤害 <% ITEM_RPC_GILDED_SOUL_CAGE_ELEMENT_HOLY_AMP %>%。最多收集<% ITEM_RPC_GILDED_SOUL_CAGE_MAX_SOULS %> 层灵魂，持续 <% ITEM_RPC_GILDED_SOUL_CAGE_SOUL_DURATION%> 秒。当持续时间结束时只会丢失1层灵魂。 "
		"DOTA_Tooltip_modifier_gilded_soul_buff"				"灵魂牢笼"
		"DOTA_Tooltip_modifier_gilded_soul_buff_Description"	"收集净化后的灵魂"
		"DOTA_Tooltip_modifier_gilded_soul_immunity" "灵魂牢笼技能免疫"

		"item_rpc_gilded_soul_cage_ruby1"								"每层灵魂增加攻击力 @ruby_property1%"
		"item_rpc_gilded_soul_cage_emerald1"								"在 <% ITEM_RPC_GILDED_SOUL_RADIUS %>范围内的精英每  @emerald_property1 秒失去一部分自身的灵魂。 Boss每 @emerald_property2 秒失去一部分自身的灵魂"
		"item_rpc_gilded_soul_cage_sapphire1"								"每层灵魂增加基础技能伤害和物品伤害@sapphire_property1%"
		"item_rpc_gilded_soul_cage_amethyst1"								"收集一个灵魂后获得 @amethyst_property1 秒技能免疫"
		
		
		"DOTA_Tooltip_ability_item_rpc_bluestar_armor"									"蓝星铠甲"
		"item_rpc_bluestar_armor_ruby1"									"增加最大生命值 @ruby_property1点"
		"item_rpc_bluestar_armor_emerald1"									"消耗的魔法值的@emerald_property1% 加入到基础治疗量中"
		"item_rpc_bluestar_armor_sapphire1"									"释放 [W] 后将会使你向前滑行，速度为@sapphire_property1"
		"item_rpc_bluestar_armor_amethyst1"									"增加魔法回复@amethyst_property1点"
		"item_property_bluestar_armor"				"魔法爆裂"
		"property_bluestar_armor_description"		"当你消耗魔法时将会获得治疗，治疗量为20%的消耗的魔法值，每0.2秒确认一次治疗和魔法值。"
		
		
		"DOTA_Tooltip_ability_item_rpc_hermits_spike_shell"								"隐士披风"
		"item_property_hermit_spike_shell"			"针刺扫射"
		"property_hermit_spike_shell_description"	"当你受到总额为 <% ITEM_RPC_HERMITS_SPIKE_SHELL_THRESHOLD %>% 最大生命值点伤害后将会释放针刺，对周围敌人造成<% ITEM_RPC_HERMITS_SPIKE_SHELL_DAMAGE_PCT_ATTACK_POWER %>% 攻击力的伤害。同一时间最多触发<% ITEM_RPC_HERMITS_SPIKE_SHELL_MAX_TRIGGERS_PER_DMG %> 次。"
		
		"DOTA_Tooltip_modifier_hermit_spike_shell_quills"	"Quill Spray"
		"DOTA_Tooltip_modifier_hermit_spike_shell_quills_Description"	"护甲被降低"

