    	"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"
    	"item_rpc_boots_of_ashara_ruby1"									"When a debuff is applied to you by an enemy, gain a buff that increases movespeed and max movespeed by @ruby_property1. The buff has the same duration as the debuff before reductions."
    	"item_rpc_boots_of_ashara_emerald1"									"Increases the duration of all friendly buffs you apply by @emerald_property1%"
    	"item_rpc_boots_of_ashara_sapphire1"									"Increases all [E] runes by @sapphire_property1"
    	"item_rpc_boots_of_ashara_amethyst1"									"Reduces all Pure Damage taken by @amethyst_property1%"

		"item_rpc_boots_of_champions_ruby1"	"Increases Rune [E1] by @ruby_property1"
		"item_rpc_boots_of_champions_emerald1"	"Increases Rune [E3] by @emerald_property1"
		"item_rpc_boots_of_champions_sapphire1" "Increases Rune [E2] by @sapphire_property1"
		"item_rpc_boots_of_champions_amethyst1" "Increases Rune [E4] by @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_great_fortune"							"Boots of Great Fortune"

		"item_property_boots_of_great_fortune"					"Lucky Odds"
		 "property_boots_of_great_fortune_description"			"Adds a flat <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_CHANCE_INCREASE %>% chance on your items to proc their special effects. Only affects items that already have chance-based activation."

    	"item_rpc_boots_of_great_fortune_ruby1"							"Grants a @ruby_property1% chance for debuffs applied on you by enemies to not apply at all"
    	"item_rpc_boots_of_great_fortune_emerald1"							"Every <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_EMERALD_CHECK_INTERVAL %> seconds there is a @emerald_property1% chance to gain magic immunity for <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_EMERALD_DURATION %> seconds"
    	"item_rpc_boots_of_great_fortune_sapphire1"							"Every @sapphire_property1 seconds, gain a buff that makes your next proc chance <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_SAPPHIRE_CHANCE %>%"
    	"item_rpc_boots_of_great_fortune_amethyst1"							"Increases the flat luck chance by an additional @amethyst_property1%"

    	"DOTA_Tooltip_modifier_boots_of_great_fortune_sapphire_effect"	"Lucky Odds (Sapphire)"
    	"DOTA_Tooltip_modifier_boots_of_great_fortune_sapphire_effect_Description"	"Your next proc chance is <% ITEM_RPC_BOOTS_OF_GREAT_FORTUNE_SAPPHIRE_CHANCE %>%%"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_old_wisdom"								"Boots of Old Wisdom"

		"item_property_old_wisdom"								"Spell Variance"
		"property_old_wisdom_description"						"Increases Base Ability Damage by <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_BAD %>%. Using the same ability twice in a row removes this effect for <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_COOLDOWN %> seconds."
		"DOTA_Tooltip_modifier_boots_of_old_wisdom_cooldown"				"Spell Variance Cooldown"
		"DOTA_Tooltip_modifier_boots_of_old_wisdom_cooldown_Description"	"Used same spell twice in a row."

    	"item_rpc_boots_of_old_wisdom_ruby1"								"Reduces Spell Variance refresh time by @ruby_property1 seconds"
    	"item_rpc_boots_of_old_wisdom_emerald1"								"Increases Agility and Intelligence by @emerald_property1"
    	"item_rpc_boots_of_old_wisdom_sapphire1"								"Build up @sapphire_property1 Spell Pierce every <% ITEM_RPC_BOOTS_OF_OLD_WISDOM_SAPPHIRE_INTERVAL %> seconds. When you reach @sapphire_property2 bonus Spell Pierce, this effect resets at 0"
    	"item_rpc_boots_of_old_wisdom_amethyst1"								"While Spell Variance is inactive gain @amethyst_property1 Armor and Magic Armor, and @amethyst_property2 Mana Regen"

    	"DOTA_Tooltip_modifier_old_wisdom_sapphire_stacks"				"Old Wisdom (Sapphire)"
    	"DOTA_Tooltip_modifier_old_wisdom_sapphire_stacks_Description"	"Gaining Spell Pierce"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_pure_waters"							"Boots of Pure Waters"

		"item_property_pure_waters"							"Clear Waves"
		"property_pure_waters_description"					"When you cast @Ability3, launch a trail of water that deals <% ITEM_RPC_BOOTS_OF_PURE_WATERS_INT_TO_DMG %>x your Intelligence as Pure damage to enemies in its patch. Enemies hit by Clear Waves are slowed by <% ITEM_RPC_BOOTS_OF_PURE_WATERS_SLOW %>% for <% ITEM_RPC_BOOTS_OF_PURE_WATERS_SLOW_DURATION %> seconds.<br>Can only trigger once every <% ITEM_RPC_BOOTS_OF_PURE_WATERS_INTERVAL_RESTRICTION %> second."

    	"item_rpc_boots_of_pure_waters_ruby1"							"Increases the Wave's Damage by @ruby_property1% of Attack Power, and attacks have a @ruby_property2% chance to trigger a Clear Wave with no cooldown"
    	"item_rpc_boots_of_pure_waters_emerald1"							"Increases Wave travel speed by @emerald_property1 and its damage by @emerald_property2"
    	"item_rpc_boots_of_pure_waters_sapphire1"							"Restore @sapphire_property1% of your max mana when you trigger a Clear Wave, and increases their range by @sapphire_property2"
    	"item_rpc_boots_of_pure_waters_amethyst1"							"Casting [Q] fires @amethyst_property1 Clear Waves forward. Shares the same trigger limit as the base effect."

    	"DOTA_Tooltip_ability_item_rpc_boots_of_the_violet_guard"						"Boots of the Violet Guard"

		"item_property_violet_boot"					"Violet Light"
		"property_violet_boot_description"			"Reduces cooldown of @Ability4 by <% ITEM_RPC_BOOTS_OF_THE_VIOLET_GUARD_R_CD_REDUCE_PCT %>%."

    	"item_rpc_boots_of_the_violet_guard_ruby1"						"Increases movespeed @ruby_property1 and attack speed by @ruby_property2"
		"item_rpc_boots_of_the_violet_guard_emerald1"							"Increases Agility by @emerald_property1"
		"item_rpc_boots_of_the_violet_guard_sapphire1"							"Increases Armor Pierce by @sapphire_property1"
		"item_rpc_boots_of_the_violet_guard_amethyst1"							"Increases [R] Base Ability Damage by @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_crimsyth_elite_greaves_lv1"						"Crimsyth Elite Greaves"
		"item_property_crimsyth_elite"						"Crimsyth Guard"
		 "property_crimsyth_elite_description"				"Increases Armor by <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_ARMOR %>x your hero level. Upon casting an ability, lose the armor and gain <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_MAGIC_RESISTANCE %> Magic Armor for each Hero Level for <% ITEM_RPC_CRIMSYTH_ELITE_GREAVES_LV1_DURATION %> seconds."
    	"item_rpc_crimsyth_elite_greaves_lv1_ruby1"						"The Armor portion of Crimsyth Guard maintains @ruby_property1% of its Armor while deactivated"
    	"item_rpc_crimsyth_elite_greaves_lv1_emerald1"						"While the Armor is active, gain @emerald_property1 Armor Pierce. While the Magic Armor is active, gain @emerald_property2 Spell Pierce"
    	"item_rpc_crimsyth_elite_greaves_lv1_sapphire1"						"While the Magic Armor is active, reduce all Pure damage taken by @sapphire_property1%"
    	"item_rpc_crimsyth_elite_greaves_lv1_amethyst1"						"The Magic Armor portion of Crimsyth Guard maintains @amethyst_property1% of its Magic Armor while deactivated"

    	"DOTA_Tooltip_modifier_crimsyth_elite_greaves_armor"	"Crymsyth Guard (Physical)"
    	"DOTA_Tooltip_modifier_crimsyth_elite_greaves_magic_shield"	"Crymsyth Guard (Magic)"

    	"DOTA_Tooltip_ability_item_rpc_crusader_boots"									"Crusader Boots"
		"item_property_crusader_boots"				"Devotion Aura"
		"property_crusader_boots_description"		"Gives Armor to you and nearby allied heroes or regular units equal to <% ITEM_RPC_CRUSADER_BOOTS_STR_TO_ARMOR_AURA_PCT %>% of your Strength."

    	"item_rpc_crusader_boots_ruby1"									"Increases Strength by @ruby_property1 and each point of Strength increases Base Attack Damage by @ruby_property2"
    	"item_rpc_crusader_boots_emerald1"									"Devotion Aura also reduces all pure damage taken by @emerald_property1%"
    	"item_rpc_crusader_boots_sapphire1"									"Increases Devotion Aura's radius by @sapphire_property1 and further increases Armor by @sapphire_property2"
    	"item_rpc_crusader_boots_amethyst1"									"Increases Spirit by @amethyst_property1 and Devotion Aura increases Magic Armor by @amethyst_property2% of Spirit"

		"DOTA_Tooltip_modifier_devotion_aura_buff"  "Devotion Aura"
		"DOTA_Tooltip_modifier_devotion_aura_buff_Description"	"Gaining Armor"

		"DOTA_Tooltip_ability_item_rpc_crystalline_slippers"				"Crystalline Slippers"	
        "property_crystalline"                                              "Glass Dancer"
        "property_crystalline_Description"                                  "Increases all damage taken by <% ITEM_RPC_CRYSTALLINE_SLIPPERS_RESIST_LOSS %>% and increases Item Damage and Base Ability Damage by <% ITEM_RPC_CRYSTALLINE_SLIPPERS_BAD_AND_ITEM_AMP %>%."

		"item_rpc_crystalline_slippers_ruby1"				"Reduces Armor by @ruby_property1 and increases Armor Pierce by @ruby_property2"
		"item_rpc_crystalline_slippers_emerald1"				"Gain @emerald_property1% evasion while in motion, and gain @emerald_property2% increased Attack Power while standing still"
		"item_rpc_crystalline_slippers_sapphire1"				"Reduce damage taken by @sapphire_property1% while rooted, and casting [W] roots you for <% ITEM_RPC_CRYSTALLINE_SLIPPERS_SAPPHIRE_ROOT_DURATION %> seconds"
		"item_rpc_crystalline_slippers_amethyst1"				"Reduces Magic Armor by @amethyst_property1 and increases Spell Pierce by @amethyst_property2"

		"DOTA_Tooltip_modifier_crystalline_sapphire_root"		"Glass Dancer (Sapphire)"
		"DOTA_Tooltip_modifier_crystalline_sapphire_root_Description"	"Rooted"

		"DOTA_Tooltip_modifier_crystalline_emerald_in_motion"	"Glass Dancer (Emerald)"
		"DOTA_Tooltip_modifier_crystalline_emerald_in_motion_Description"	"Increased Evasion while in motion"

        "DOTA_Tooltip_ability_item_rpc_dunetread_boots"                                 "Dunetreads"
        "item_property_dunetread"                   "Dunewalker"
        "property_dunetread_description"            "Reduces the cooldown of @Ability3 by <% ITEM_RPC_DUNETREAD_BOOTS_CD_RED %> seconds."

        "item_rpc_dunetread_boots_ruby1"                                    "Casting [E] has a @ruby_property1% chance to refresh its cooldown"
        "item_rpc_dunetread_boots_emerald1"                                 "While [E] is not on cooldown, gain @emerald_property1 Armor Pierce"
        "item_rpc_dunetread_boots_sapphire1"                                    "While [E] is not on cooldown, gain @sapphire_property1 movement speed and max movement speed"
        "item_rpc_dunetread_boots_amethyst1"                                    "Each point of Agility increases Armor and Magic Armor by @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_emerald_speed_runners"                           "Emerald Speed Runners"

        "item_property_emerald_speed"                           "Stable Pace"
        "property_emerald_speed_description"                    "Movespeed can not fall below <% ITEM_RPC_EMERALD_SPEED_RUNNERS_SPEED_MS_LOW_CAP %>"

        "item_rpc_emerald_speed_runners_ruby1"                          "Increases Stable Pace minimum movespeed by an additional @ruby_property1"
        "item_rpc_emerald_speed_runners_emerald1"                           "Increases Agility by @emerald_property1, and your Agility can not be less than @emerald_property2"
        "item_rpc_emerald_speed_runners_sapphire1"                          "While rooted, issuing a Move Order will teleport you to the target position. Clamped distance of @sapphire_property1, and has a @sapphire_property2 second cooldown"
        "item_rpc_emerald_speed_runners_amethyst1"                          "[E] cooldown can never be more than @amethyst_property1 seconds"

        "DOTA_Tooltip_modifier_emerald_speedrunner_sapphire_cd"				"Stable Pace (Sapphire) Cooldown"

        "DOTA_Tooltip_ability_item_rpc_falcon_boots"                                    "Falcon Boots"

        "item_property_falcon_boot"                 "Falcon Swoop"
        "property_falcon_boot_description"          "5 falcons move with your @Ability3 and collect enemies in their path. At the end of their flight, the falcons drop all enemies in a small space and freeze them for <% ITEM_RPC_FALCON_BOOTS_FREEZE_DURATION %> seconds."

        "item_rpc_falcon_boots_ruby1"                                       "Each point of current movespeed increases Base Attack Damage by @ruby_property1"
        "item_rpc_falcon_boots_emerald1"                                    "Increases Agility and Intelligence by @emerald_property1"
        "item_rpc_falcon_boots_sapphire1"                                   "Increases Attack Speed by @sapphire_property1 and increases the Freeze Duration of Falcon Swoop by @sapphire_property2 seconds"
        "item_rpc_falcon_boots_amethyst1"                                   "Increases falcon fly speed by @amethyst_property1 and enemies take @amethyst_property2% of your Attack Power as damage upon landing"

        "DOTA_Tooltip_modifier_falcon_freeze"       "Falcon Swoop"
        "DOTA_Tooltip_modifier_falcon_freeze_Description"   "Frozen"

    	"DOTA_Tooltip_ability_item_rpc_fire_walkers"									"Fire Walkers"

		"item_property_fire_walkers"				"Lava Path"
		"property_fire_walkers_description"			"Leaves puddles of burning fire as you move. The fire deals <% ITEM_RPC_FIRE_WALKERS_DAMAGE_X_SUM_ATTRIBUTES %>x the sum of all of your attributes every <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> seconds to all enemies who come into contact. Flame puddles last for <% ITEM_RPC_FIRE_WALKERS_DURATION %> seconds."

    	"item_rpc_fire_walkers_ruby1"									"Attacking an enemy has a @ruby_property1% chance to create a Lava Path puddle beneath their feet, and enemies standing in Lava Path have @ruby_property2 reduced Armor"
    	"item_rpc_fire_walkers_emerald1"									"Lava Path puddles last @emerald_property1 seconds longer and deal @emerald_property2 more damage"
    	"item_rpc_fire_walkers_sapphire1"									"Enemies who step in a Lava Path puddle will ignite and additionally take @sapphire_property1% of Lava Path's damage every <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> seconds for <% ITEM_RPC_FIRE_WALKERS_SAPPHIRE_BURN_DURATION %> seconds"
    	"item_rpc_fire_walkers_amethyst1"									"Enemies hit by [Q], [E] or [R] have a @amethyst_property1% chance to have a Lava Path puddle created beneath their feet"

    	"DOTA_Tooltip_modifier_fire_walkers_sapphire"		"Lava Path (Sapphire)"
    	"DOTA_Tooltip_modifier_fire_walkers_sapphire_Description"	"Taking burn damage on a <% ITEM_RPC_FIRE_WALKERS_INTERVAL %> second interval"

    	"DOTA_Tooltip_ability_item_rpc_ghost_slippers"									"Ghost Slippers"
    	"item_property_ghost_slippers"													"Ghost Slippers"
    	"property_ghost_slippers_description"											"No unit collision"

        "item_rpc_ghost_slippers_ruby1"                                       "No Effect"
        "item_rpc_ghost_slippers_emerald1"                                    "No Effect"
        "item_rpc_ghost_slippers_sapphire1"                                   "No Effect"
        "item_rpc_ghost_slippers_amethyst1"                                   "No Effect"

    	"DOTA_Tooltip_ability_item_rpc_giant_hunters_boots_of_resilience"				"Giant Hunter's Boots of Resilience"
		"item_property_giant_hunter_boot"					"Giant Hunter"
		"property_giant_hunter_boot_description"			"When stunned, gain Spell Immunity for <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_IMMUNITY_DURATION %> seconds."
		"DOTA_Tooltip_modifier_giant_hunters_immunity"		"Giant Hunter Spell Immunity"
		
    	"item_rpc_giant_hunters_boots_of_resilience_ruby1"				"Gain Spell Immunity for @ruby_property1 seconds when Rooted"
    	"item_rpc_giant_hunters_boots_of_resilience_emerald1"				"Gain @emerald_property1 Armor Pierce if there is a Boss or Paragon enemy within <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> range"
    	"item_rpc_giant_hunters_boots_of_resilience_sapphire1"				"Gain @sapphire_property1 Spell Pierce if there is a Boss or Paragon enemy within <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> range"
    	"item_rpc_giant_hunters_boots_of_resilience_amethyst1"				"Gain @amethyst_property1 Armor and Magic Armor if there is a Boss or Paragon enemy within <% ITEM_RPC_GIANT_HUNTERS_BOOTS_OF_RESILIENCE_ENEMY_SEARCH_RADIUS %> range"

		"DOTA_Tooltip_ability_item_rpc_gravelfoot_treads"	"Gravelfoot Treads"

		"item_property_gravelfoot"							"Gravelfoot"
		"property_gravelfoot_description"					"Cleanse an enemy debuff every <% ITEM_RPC_GRAVELFOOT_TREADS_DEBUFF_CLEANCE_INTERVAL %> seconds. When a debuff is cleansed, turn to frosty stone for <% ITEM_RPC_GRAVELFOOT_TREADS_SELF_SLOW_DURATION %> seconds, reducing movespeed by <% ITEM_RPC_GRAVELFOOT_TREADS_SELF_SLOW %> and damage taken by <% ITEM_RPC_GRAVELFOOT_TREADS_DMG_REDUCTION %>%."
		"DOTA_Tooltip_modifier_gravelfoot_buff"				"Gravelfoot"
		"DOTA_Tooltip_modifier_gravelfoot_buff_Description"	"Movespeed and damage taken are reduced"

		"item_rpc_gravelfoot_treads_ruby1"	"Increases Max Health by @ruby_property1, and Strength and Spirit by @ruby_property2"
		"item_rpc_gravelfoot_treads_emerald1"	"Reduces the movespeed loss while in Stone Form by @emerald_property1"
		"item_rpc_gravelfoot_treads_sapphire1"	"While in Stone Form gain @sapphire_property1 Armor and Magic Armor"
		"item_rpc_gravelfoot_treads_amethyst1"	"Castiing [E] activates Stone Form for @amethyst_property1 seconds"

    	"DOTA_Tooltip_ability_item_rpc_guardian_greaves"								"Guardian Greaves"

		"item_property_guardian_greaves"			"Guardian's Stride"
		"property_guardien_greaves_description"		"Casting @Ability3 activates Guardian Greaves on yourself and allies within <% ITEM_RPC_GUARDIAN_GREAVES_RADIUS%> range, healing for <% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_STRENGTH %>x your Strength and restoring mana by <% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_INTELLIGENCE %>x your Intelligence. <% ITEM_RPC_GUARDIAN_GREAVES_COOLDOWN %> second cooldown." 
		"DOTA_Tooltip_modifier_guardian_greaves_shield"					"Guardian Greaves"

    	"item_rpc_guardian_greaves_ruby1"								"Moving @ruby_property1 distance activates Guardian Greaves"
    	"item_rpc_guardian_greaves_emerald1"								"Guardian Greaves applies a shield that increases Armor and Armor Pierce by @emerald_property1x your Agility for <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %> seconds"
    	"item_rpc_guardian_greaves_sapphire1"								"Increases Strength and Intelligence by @sapphire_property1"
    	"item_rpc_guardian_greaves_amethyst1"								"Guardian Greaves applies a shield that increases Magic Armor and Spell Pierce by @amethyst_property1x your Spirit for <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %> seconds"

    	"DOTA_Tooltip_ability_item_rpc_harvester_boots"									"Harvester Boots"
    	"item_rpc_harvester_boots_ruby1"									"Increases this item's Property 1 roll by @ruby_property1%"
    	"item_rpc_harvester_boots_emerald1"									"Increases this item's Property 3 roll by @emerald_property1%"
    	"item_rpc_harvester_boots_sapphire1"									"Increases this item's Property 2 roll by @sapphire_property1%"
    	"item_rpc_harvester_boots_amethyst1"									"Increases this item's Property 4 roll by @amethyst_property1%"

		"DOTA_Tooltip_ability_item_rpc_ice_floe_slippers"	"Ice Floe Slippers"

		"item_property_ice_floe_slippers"					"Ice Floe"
		"property_ice_floe_slippers_description"			"Issue two move orders consecutively at the same location to glide on a trail of ice. While gliding you are rooted and all Physical damage taken is reduced to 0. Max distance travelled is <% ITEM_RPC_ICE_FLOE_SLIPPERS_TRAVEL_DISTANCE %>. This ability cannot be activated while stunned or rooted."

		"item_rpc_ice_floe_slippers_ruby1"	"Removes the Rooted restriction and increases max travel distance by @ruby_property1"
		"item_rpc_ice_floe_slippers_emerald1"	"Increaes [E4] rune by @emerald_property1, and Ice Floe's travel speed by @emerald_property2%"
		"item_rpc_ice_floe_slippers_sapphire1"	"Increases <font color=\"#87D9FF\">Ice</font> Elemental damage and Base Ability Damage by @sapphire_property1%, and Ice Floe's travel speed by @sapphire_property2%"
		"item_rpc_ice_floe_slippers_amethyst1"	"When Ice Floe is triggered, gain a shield that absorbs @amethyst_property1 instances of Magic and Pure Damage for <% ITEM_RPC_ICE_FLOE_SLIPPERS_MAGIC_SHIELD_DURATION %> seconds."

		"DOTA_Tooltip_modifier_ice_floe_amethyst_shield"	"Ice Floe (Amethyst)"
		"DOTA_Tooltip_modifier_ice_floe_amethyst_shield_Description"	"Absorbing Magic and Pure damage"

		"DOTA_Tooltip_ability_item_rpc_iron_treads_of_destruction"	"Iron Treads of Destruction"

		"item_property_iron_treads_of_destruction"					"Improved Initiative"
		"property_iron_treads_of_destruction_description"			"@Ability4 does not require channeling to complete."

		"item_rpc_iron_treads_of_destruction_ruby1"	"Increases [R] Base Ability Damage by @ruby_property1%"
		"item_rpc_iron_treads_of_destruction_emerald1"	"Increases all [R] runes by @emerald_property1"
		"item_rpc_iron_treads_of_destruction_sapphire1"	"Increases all attributes by @sapphire_property1"
		"item_rpc_iron_treads_of_destruction_amethyst1"	"Reduce [R] cooldown by @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_mana_striders"									"Mana Striders"
		"item_property_mana_striders"				"Mana Stride"
